system:time_start,lwe_thickness_csr,fitted
"Jan 13, 2015",-10.1,-12.317
"Feb 1, 2015",-9.573,-8.283
"Mar 1, 2015",-9.771,-11.768
"Apr 1, 2015",-11.293,-9.157
"Apr 12, 2015",-12.098,-10.992
"Jun 29, 2015",-18.743,-14.432
"Aug 1, 2015",-20.281,-19.196
"Sep 1, 2015",-20.297,-21.482
"Dec 11, 2015",-13.441,-18.88
"Jan 4, 2016",-11.888,-14.278
"Jan 29, 2016",-10.982,-6.324
"Mar 1, 2016",-11.149,-9.694
"May 7, 2016",-15.673,-19.871
"Jun 1, 2016",-17.95,-18.056
"Jul 1, 2016",-20.279,-24.308
"Aug 8, 2016",-21.776,-21.323
"Nov 13, 2016",-17.016,-11.616
"Dec 11, 2016",-14.74,-15.071
