system:time_start,lwe_thickness_jpl,fitted
"Jan 13, 2015",-12.668,-13.723
"Feb 1, 2015",-12.113,-19.314
"Mar 1, 2015",-12.038,-12.056
"Apr 1, 2015",-13.007,-10.774
"Apr 12, 2015",-13.579,-11.44
"Jun 29, 2015",-18.865,-17.567
"Aug 1, 2015",-20.341,-18.674
"Sep 1, 2015",-20.654,-19.38
"Dec 11, 2015",-15.722,-19.414
"Jan 4, 2016",-14.4,-12.655
"Jan 29, 2016",-13.516,-6.176
"Mar 1, 2016",-13.384,-9.727
"May 7, 2016",-16.579,-22.087
"Jun 1, 2016",-18.386,-21.93
"Jul 1, 2016",-20.361,-20.736
"Aug 8, 2016",-21.86,-20.435
"Nov 13, 2016",-18.816,-19.213
"Dec 11, 2016",-17.011,-18
