system:time_start,lwe_thickness_csr,fitted
"Jan 13, 2015",-9.214,-10.838
"Feb 1, 2015",-8.936,-7.638
"Mar 1, 2015",-9.26,-10.827
"Apr 1, 2015",-10.547,-8.645
"Apr 12, 2015",-11.181,-10.469
"Jun 29, 2015",-15.946,-12.428
"Aug 1, 2015",-16.828,-16.306
"Sep 1, 2015",-16.57,-16.967
"Dec 11, 2015",-11.117,-16.085
"Jan 4, 2016",-10.053,-12.464
"Jan 29, 2016",-9.52,-5.913
"Mar 1, 2016",-9.846,-8.735
"May 7, 2016",-13.422,-16.707
"Jun 1, 2016",-15.06,-14.509
"Jul 1, 2016",-16.627,-20.755
"Aug 8, 2016",-17.43,-17.004
"Nov 13, 2016",-13.309,-8.718
"Dec 11, 2016",-11.642,-11.501
