system:time_start,lwe_thickness_gfz,fitted
"Jan 13, 2015",-9.44,-7.475
"Feb 1, 2015",-9.562,-11.4
"Mar 1, 2015",-10.261,-10.928
"Apr 1, 2015",-11.586,-10.842
"Apr 12, 2015",-12.134,-11.104
"Jun 29, 2015",-15.3,-12.86
"Aug 1, 2015",-15.467,-15.688
"Sep 1, 2015",-14.83,-15.545
"Dec 11, 2015",-10.72,-17.034
"Jan 4, 2016",-10.275,-10.337
"Jan 29, 2016",-10.304,-7.518
"Mar 1, 2016",-11.072,-8.581
"May 7, 2016",-14.214,-17.385
"Jun 1, 2016",-15.305,-17.045
"Jul 1, 2016",-16.133,-17.979
"Aug 8, 2016",-16.16,-13.344
"Nov 13, 2016",-12.463,-9.382
"Dec 11, 2016",-11.484,-12.261
