system:time_start,lwe_thickness_jpl,fitted
"Jan 13, 2015",-11.82,-12.199
"Feb 1, 2015",-11.508,-18.137
"Mar 1, 2015",-11.548,-11.207
"Apr 1, 2015",-12.27,-10.43
"Apr 12, 2015",-12.667,-10.904
"Jun 29, 2015",-16.054,-15.928
"Aug 1, 2015",-16.874,-15.503
"Sep 1, 2015",-16.915,-15.206
"Dec 11, 2015",-13.385,-16.773
"Jan 4, 2016",-12.547,-11.131
"Jan 29, 2016",-12.029,-5.611
"Mar 1, 2016",-12.044,-8.93
"May 7, 2016",-14.266,-18.393
"Jun 1, 2016",-15.427,-18.571
"Jul 1, 2016",-16.636,-17.031
"Aug 8, 2016",-17.441,-15.847
"Nov 13, 2016",-15.04,-15.503
"Dec 11, 2016",-13.841,-15.008
