system:time_start,lwe_thickness_gfz,fitted
"Jan 13, 2015",-13.169,-16.45
"Feb 1, 2015",-11.925,-12.137
"Mar 1, 2015",-11.281,-13.118
"Apr 1, 2015",-12.265,-12.726
"Apr 12, 2015",-12.986,-13.021
"Jun 29, 2015",-20.171,-16.198
"Aug 1, 2015",-22.035,-22.481
"Sep 1, 2015",-22.07,-21.978
"Dec 11, 2015",-12.507,-14.83
"Jan 4, 2016",-9.951,-6.532
"Jan 29, 2016",-8.068,-1.78
"Mar 1, 2016",-7.259,-4.688
"May 7, 2016",-11.181,-15.326
"Jun 1, 2016",-13.665,-14.424
"Jul 1, 2016",-16.359,-17.496
"Aug 8, 2016",-18.187,-16.629
"Nov 13, 2016",-11.777,-11.7
"Dec 11, 2016",-8.393,-11.734
