system:time_start,lwe_thickness_jpl,fitted
"Jan 13, 2015",-14.903,-22.266
"Feb 1, 2015",-13.439,-9.366
"Mar 1, 2015",-12.388,-15.438
"Apr 1, 2015",-12.939,-12.618
"Apr 12, 2015",-13.541,-13.825
"Jun 29, 2015",-20.876,-19.354
"Aug 1, 2015",-23.349,-23.086
"Sep 1, 2015",-24.106,-22.646
"Dec 11, 2015",-16.018,-17.133
"Jan 4, 2016",-13.37,-9.787
"Jan 29, 2016",-11.231,-5.431
"Mar 1, 2016",-9.961,-5.519
"May 7, 2016",-13.181,-18.872
"Jun 1, 2016",-15.702,-17.319
"Jul 1, 2016",-18.712,-17.546
"Aug 8, 2016",-21.281,-19.519
"Nov 13, 2016",-16.773,-19.151
"Dec 11, 2016",-13.511,-16.405
