system:time_start,lwe_thickness_csr,fitted
"Jan 13, 2015",-11.842,-15.55
"Feb 1, 2015",-11.046,-8.035
"Mar 1, 2015",-10.795,-12.821
"Apr 1, 2015",-11.804,-10.388
"Apr 12, 2015",-12.438,-12.09
"Jun 29, 2015",-18.292,-13.945
"Aug 1, 2015",-19.757,-20.677
"Sep 1, 2015",-19.797,-20.537
"Dec 11, 2015",-12.754,-15.353
"Jan 4, 2016",-10.959,-11.867
"Jan 29, 2016",-9.718,-6.638
"Mar 1, 2016",-9.375,-7.765
"May 7, 2016",-12.872,-16.467
"Jun 1, 2016",-14.888,-13.72
"Jul 1, 2016",-17.031,-20.373
"Aug 8, 2016",-18.468,-18.235
"Nov 13, 2016",-13.71,-7.664
"Dec 11, 2016",-11.262,-14.683
