system:time_start,lwe_thickness_gfz,fitted
"Jan 13, 2015",-11.512,-12.04
"Feb 1, 2015",-11.111,-12.424
"Mar 1, 2015",-11.326,-12.479
"Apr 1, 2015",-12.571,-12.401
"Apr 12, 2015",-13.201,-12.496
"Jun 29, 2015",-17.837,-14.433
"Aug 1, 2015",-18.502,-19.375
"Sep 1, 2015",-17.929,-18.279
"Dec 11, 2015",-11.16,-15.149
"Jan 4, 2016",-9.857,-8.154
"Jan 29, 2016",-9.145,-4.68
"Mar 1, 2016",-9.342,-7.049
"May 7, 2016",-12.866,-16.739
"Jun 1, 2016",-14.473,-15.316
"Jul 1, 2016",-15.936,-17.467
"Aug 8, 2016",-16.466,-14.255
"Nov 13, 2016",-11.118,-9.105
"Dec 11, 2016",-9.109,-11.617
