system:time_start,lwe_thickness_jpl,fitted
"Jan 13, 2015",-12.533,-17.631
"Feb 1, 2015",-11.748,-8.627
"Mar 1, 2015",-11.387,-13.331
"Apr 1, 2015",-12.146,-12.055
"Apr 12, 2015",-12.675,-12.639
"Jun 29, 2015",-17.99,-17.15
"Aug 1, 2015",-19.523,-19.563
"Sep 1, 2015",-19.819,-18.655
"Dec 11, 2015",-14.046,-15.681
"Jan 4, 2016",-12.411,-10.455
"Jan 29, 2016",-11.215,-6.432
"Mar 1, 2016",-10.753,-7.328
"May 7, 2016",-13.655,-17.959
"Jun 1, 2016",-15.481,-17.176
"Jul 1, 2016",-17.518,-16.875
"Aug 8, 2016",-19.073,-16.684
"Nov 13, 2016",-15.496,-17.068
"Dec 11, 2016",-13.351,-15.511
