system:time_start,lwe_thickness_csr,fitted
"Jan 13, 2015",-14.401,-19.727
"Feb 1, 2015",-12.868,-9.957
"Mar 1, 2015",-11.849,-14.819
"Apr 1, 2015",-12.592,-11.327
"Apr 12, 2015",-13.288,-13.022
"Jun 29, 2015",-21.225,-16.636
"Aug 1, 2015",-23.695,-23.973
"Sep 1, 2015",-24.248,-24.918
"Dec 11, 2015",-14.808,-16.539
"Jan 4, 2016",-11.93,-11.265
"Jan 29, 2016",-9.667,-4.926
"Mar 1, 2016",-8.426,-5.739
"May 7, 2016",-12.17,-16.669
"Jun 1, 2016",-14.904,-13.99
"Jul 1, 2016",-18.07,-20.703
"Aug 8, 2016",-20.596,-21.017
"Nov 13, 2016",-14.924,-9.013
"Dec 11, 2016",-11.294,-16.718
