,[x]
2002-01,350.366
2002-02,290.39
2002-03,74.81
2002-04,31.824
2002-05,31.235
2002-06,4.364
2002-07,4.682
2002-08,5.306
2002-09,114.556
2002-10,78.998
2002-11,292.165
2002-12,354.53
2003-01,491.904
2003-02,34.946
2003-03,89.34
2003-04,44.647
2003-05,10.463
2003-06,1.543
2003-07,2.38
2003-08,26.716
2003-09,28.571
2003-10,75.888
2003-11,147.503
2003-12,284.563
2004-01,321.646
2004-02,287.394
2004-03,187.975
2004-04,180.227
2004-05,21.064
2004-06,31.799
2004-07,45.398
2004-08,4.309
2004-09,0.475
2004-10,75.109
2004-11,140.861
2004-12,471.144
2005-01,277.533
2005-02,255.734
2005-03,291.217
2005-04,58.189
2005-05,53.103
2005-06,23.242
2005-07,14.058
2005-08,2.842
2005-09,61.235
2005-10,40.035
2005-11,266.719
2005-12,314.688
2006-01,38.062
2006-02,95.227
2006-03,207.9
2006-04,74.07
2006-05,47.674
2006-06,9.609
2006-07,0.709
2006-08,4.868
2006-09,43.991
2006-10,111.789
2006-11,284.013
2006-12,385.551
2007-01,308.976
2007-02,169.224
2007-03,96.823
2007-04,60.958
2007-05,1.514
2007-06,6.063
2007-07,0.979
2007-08,4.558
2007-09,2.294
2007-10,84.02
2007-11,235.566
2007-12,176.48
2008-01,203.388
2008-02,197.114
2008-03,169.334
2008-04,86.189
2008-05,7.597
2008-06,20.819
2008-07,2.455
2008-08,23.878
2008-09,17.803
2008-10,63.542
2008-11,291.642
2008-12,386.095
2009-01,318.533
2009-02,129.932
2009-03,179.767
2009-04,79.325
2009-05,17.086
2009-06,32.396
2009-07,1.083
2009-08,6.549
2009-09,87.78
2009-10,246.715
2009-11,124.44
2009-12,359.955
2010-01,97.712
2010-02,62.355
2010-03,246.96
2010-04,75.687
2010-05,43.704
2010-06,23.897
2010-07,7.194
2010-08,2.53
2010-09,6.846
2010-10,107.393
2010-11,214.378
2010-12,469.989
2011-01,212.41
2011-02,81.234
2011-03,312.469
2011-04,73.626
2011-05,6.637
2011-06,10.517
2011-07,2.651
2011-08,0.307
2011-09,6.4
2011-10,151.711
2011-11,285.322
2011-12,414.984
2012-01,276.393
2012-02,29.47
2012-03,136.396
2012-04,44.988
2012-05,75.808
2012-06,9.543
2012-07,3.755
2012-08,17.966
2012-09,9.184
2012-10,36.378
2012-11,362.389
2012-12,98.049
2013-01,303.977
2013-02,122.855
2013-03,159.668
2013-04,58.705
2013-05,52.319
2013-06,35.577
2013-07,10.196
2013-08,4
2013-09,28.527
2013-10,81.971
2013-11,173.424
2013-12,567.758
2014-01,67.05
2014-02,37.34
2014-03,112.213
2014-04,83.138
2014-05,4.771
2014-06,5.016
2014-07,21.027
2014-08,13.042
2014-09,9.282
2014-10,106.7
2014-11,207.622
2014-12,158.134
2015-01,39.977
2015-02,200.447
2015-03,95.062
2015-04,81.242
2015-05,91.951
2015-06,13.018
2015-07,2.824
2015-08,1.671
2015-09,26.419
2015-10,52.795
2015-11,159.389
2015-12,166.644
2016-01,340.976
2016-02,51.051
2016-03,107.45
2016-04,65.828
2016-05,6.12
2016-06,37.657
2016-07,2.636
2016-08,3.835
2016-09,48.064
2016-10,40.98
2016-11,279.224
2016-12,224.942
2017-01,83.684
2017-02,138.366
2017-03,85.993
2017-04,60.225
2017-05,39.697
2017-06,13.237
2017-07,6.137
2017-08,0.009
2017-09,6.607
2017-10,75.86
2017-11,245.291
2017-12,282.782
2018-01,175.137
2018-02,304.957
2018-03,209.885
2018-04,116.023
2018-05,44.971
2018-06,4.069
2018-07,0.481
2018-08,23.795
2018-09,24.781
2018-10,109.942
2018-11,163.577
2018-12,231.876
2019-01,38.491
2019-02,194.153
2019-03,93.851
2019-04,111.107
2019-05,53.652
2019-06,8.629
2019-07,0.404
2019-08,12.192
2019-09,6.321
2019-10,52.755
2019-11,235.906
2019-12,213.659
2020-01,417.989
2020-02,254.468
2020-03,210.571
2020-04,70.63
2020-05,70.622
2020-06,6.044
2020-07,17.749
2020-08,14.9
2020-09,2.316
2020-10,200.969
2020-11,136.424
2020-12,246.26
2021-01,133.888
2021-02,340.847
2021-03,85.884
2021-04,39.003
2021-05,7.476
2021-06,14.187
2021-07,0.676
2021-08,3.998
2021-09,2.749
