,[x]
2002-01,0.623
2002-02,1.557
2002-03,0.18
2002-04,1.217
2002-05,1.032
2002-06,0.148
2002-07,0.662
2002-08,0.037
2002-09,0.198
2002-10,1.676
2002-11,0.957
2002-12,3.28
2003-01,2.009
2003-02,0.587
2003-03,0.522
2003-04,0.233
2003-05,0.48
2003-06,0.116
2003-07,0.547
2003-08,3.882
2003-09,2.879
2003-10,0.068
2003-11,3.282
2003-12,3.837
2004-01,3.303
2004-02,0.823
2004-03,3.716
2004-04,0.374
2004-05,1.214
2004-06,0.289
2004-07,0.755
2004-08,1.141
2004-09,0.058
2004-10,2.868
2004-11,0.365
2004-12,2.475
2005-01,4.781
2005-02,0.387
2005-03,5.821
2005-04,2.885
2005-05,1.018
2005-06,1.589
2005-07,0.56
2005-08,0.425
2005-09,2.924
2005-10,1.458
2005-11,8.284
2005-12,23.486
2006-01,1.503
2006-02,6.647
2006-03,13.972
2006-04,0.563
2006-05,2.876
2006-06,2.246
2006-07,0.06
2006-08,0.305
2006-09,2.794
2006-10,6.659
2006-11,9.851
2006-12,5.936
2007-01,6.103
2007-02,6.162
2007-03,2.698
2007-04,3.292
2007-05,0.316
2007-06,0.976
2007-07,0.228
2007-08,0.431
2007-09,0.596
2007-10,14.65
2007-11,15.092
2007-12,0.29
2008-01,2.467
2008-02,6.154
2008-03,11.589
2008-04,3.826
2008-05,0.77
2008-06,0.587
2008-07,0.173
2008-08,1.657
2008-09,0.675
2008-10,3.653
2008-11,8.438
2008-12,14.547
2009-01,23.054
2009-02,7.319
2009-03,12.345
2009-04,11.707
2009-05,1.048
2009-06,3.157
2009-07,0.386
2009-08,0.267
2009-09,0.654
2009-10,20.635
2009-11,12.476
2009-12,6.479
2010-01,10.112
2010-02,3.276
2010-03,17.115
2010-04,0.719
2010-05,3.938
2010-06,4.681
2010-07,0.263
2010-08,0.079
2010-09,0.813
2010-10,3.976
2010-11,7.287
2010-12,13.104
2011-01,21.714
2011-02,6.499
2011-03,4.145
2011-04,3.109
2011-05,4.555
2011-06,0.179
2011-07,0.03
2011-08,0.102
2011-09,0.344
2011-10,14.248
2011-11,5.946
2011-12,7.608
2012-01,6.706
2012-02,2.377
2012-03,4.292
2012-04,0.091
2012-05,3.443
2012-06,0.486
2012-07,0.774
2012-08,1.187
2012-09,1.389
2012-10,4.153
2012-11,8.99
2012-12,11.539
2013-01,19.906
2013-02,1.156
2013-03,5.53
2013-04,4.958
2013-05,2.51
2013-06,3.384
2013-07,0.85
2013-08,0.206
2013-09,2.061
2013-10,2.804
2013-11,0.247
2013-12,15.976
2014-01,0.972
2014-02,1.21
2014-03,0.988
2014-04,4.674
2014-05,0.827
2014-06,0.176
2014-07,0.207
2014-08,0.766
2014-09,0.684
2014-10,2.253
2014-11,9.642
2014-12,1.001
2015-01,2.367
2015-02,3.937
2015-03,5.068
2015-04,10.495
2015-05,2.47
2015-06,0.72
2015-07,0.654
2015-08,0.417
2015-09,4.247
2015-10,0.714
2015-11,2.8
2015-12,8.04
2016-01,8.026
2016-02,4.276
2016-03,3.663
2016-04,3.5
2016-05,0.511
2016-06,6.168
2016-07,0.02
2016-08,0.246
2016-09,0.73
2016-10,2.043
2016-11,5.422
2016-12,5.815
2017-01,0.954
2017-02,6.824
2017-03,2.694
2017-04,3.164
2017-05,3.576
2017-06,0.284
2017-07,0.104
2017-08,0.004
2017-09,1.575
2017-10,5.019
2017-11,3.575
2017-12,7.813
2018-01,2.944
2018-02,4.315
2018-03,2.098
2018-04,8.456
2018-05,1.138
2018-06,0.205
2018-07,0.126
2018-08,4.469
2018-09,0.719
2018-10,4.721
2018-11,1.382
2018-12,3.153
2019-01,0.614
2019-02,2.996
2019-03,4.139
2019-04,8.308
2019-05,4.6
2019-06,1.548
2019-07,0.157
2019-08,5.462
2019-09,1.283
2019-10,0.913
2019-11,2.147
2019-12,4.783
2020-01,5.058
2020-02,2.948
2020-03,7.305
2020-04,0.661
2020-05,3.982
2020-06,0.471
2020-07,0.584
2020-08,0.439
2020-09,0.411
2020-10,5.023
2020-11,3.005
2020-12,6.868
2021-01,5.512
2021-02,5.325
2021-03,1.958
2021-04,0.785
2021-05,0.371
2021-06,0.381
2021-07,0.032
2021-08,0.735
2021-09,0.497
