,[x]
2002-01,214.206
2002-02,164.656
2002-03,96.139
2002-04,93.902
2002-05,77.441
2002-06,46.628
2002-07,43.285
2002-08,63.806
2002-09,169.513
2002-10,47.06
2002-11,155.518
2002-12,168.233
2003-01,214.576
2003-02,48.127
2003-03,40.215
2003-04,83.317
2003-05,39.264
2003-06,4.472
2003-07,56.855
2003-08,40.619
2003-09,36.327
2003-10,85.311
2003-11,92.528
2003-12,281.587
2004-01,300.796
2004-02,169.665
2004-03,295.442
2004-04,191.178
2004-05,52.82
2004-06,96.045
2004-07,86.579
2004-08,16.138
2004-09,13.397
2004-10,116.236
2004-11,117.961
2004-12,249.566
2005-01,180.428
2005-02,255.122
2005-03,221.348
2005-04,73.059
2005-05,145.145
2005-06,131.715
2005-07,40.531
2005-08,67.595
2005-09,64.975
2005-10,15.032
2005-11,269.752
2005-12,250.93
2006-01,35.099
2006-02,85.674
2006-03,329.969
2006-04,56.455
2006-05,7.899
2006-06,55.732
2006-07,35.669
2006-08,22.274
2006-09,64.766
2006-10,162.591
2006-11,373.713
2006-12,292.753
2007-01,114.907
2007-02,214.425
2007-03,45.476
2007-04,158.437
2007-05,24.163
2007-06,9.685
2007-07,12.536
2007-08,34.283
2007-09,39.294
2007-10,15.312
2007-11,123.665
2007-12,126.877
2008-01,179.016
2008-02,172.397
2008-03,143.739
2008-04,77.965
2008-05,19.471
2008-06,38.757
2008-07,24.722
2008-08,16.181
2008-09,15.273
2008-10,22.041
2008-11,373.662
2008-12,201.218
2009-01,264.351
2009-02,43.718
2009-03,126.589
2009-04,151.001
2009-05,14.548
2009-06,44.28
2009-07,30.653
2009-08,45.224
2009-09,18.067
2009-10,285.348
2009-11,94.983
2009-12,109.429
2010-01,15.896
2010-02,47.579
2010-03,177.974
2010-04,159.478
2010-05,75.981
2010-06,21.015
2010-07,50.135
2010-08,7.634
2010-09,14.381
2010-10,62.617
2010-11,254.179
2010-12,273.519
2011-01,69.348
2011-02,78.934
2011-03,263.719
2011-04,219.084
2011-05,19.871
2011-06,39.1
2011-07,16.921
2011-08,5.997
2011-09,18.226
2011-10,147.823
2011-11,176.145
2011-12,173.447
2012-01,165.167
2012-02,62.444
2012-03,64.268
2012-04,36.936
2012-05,64.355
2012-06,34.478
2012-07,58
2012-08,149.858
2012-09,23.679
2012-10,26.787
2012-11,396.365
2012-12,20.483
2013-01,202.619
2013-02,57.235
2013-03,111.7
2013-04,34.469
2013-05,34.361
2013-06,17.137
2013-07,55.508
2013-08,52.724
2013-09,35.731
2013-10,95.376
2013-11,222.865
2013-12,529.146
2014-01,82.061
2014-02,81.985
2014-03,95.33
2014-04,62.748
2014-05,11.794
2014-06,64.592
2014-07,59.955
2014-08,64.809
2014-09,15.958
2014-10,230.86
2014-11,110.414
2014-12,89.001
2015-01,20.546
2015-02,118.609
2015-03,131.401
2015-04,38.789
2015-05,103.998
2015-06,68.943
2015-07,19.916
2015-08,25.824
2015-09,3.929
2015-10,19.774
2015-11,47.747
2015-12,66.831
2016-01,233.412
2016-02,21.428
2016-03,68.898
2016-04,7.26
2016-05,16.411
2016-06,19.906
2016-07,40.22
2016-08,7.415
2016-09,11.05
2016-10,62.059
2016-11,242.992
2016-12,144.895
2017-01,42.124
2017-02,116.103
2017-03,82.211
2017-04,54.351
2017-05,112.52
2017-06,88.753
2017-07,87.643
2017-08,21.721
2017-09,46.835
2017-10,20.575
2017-11,144.297
2017-12,295.588
2018-01,102.102
2018-02,235.049
2018-03,141.68
2018-04,187.611
2018-05,118.769
2018-06,44.392
2018-07,15.775
2018-08,53.58
2018-09,20.465
2018-10,166.006
2018-11,264.309
2018-12,275.107
2019-01,20.178
2019-02,93.628
2019-03,108.998
2019-04,83.258
2019-05,103.595
2019-06,53.254
2019-07,21.574
2019-08,68.926
2019-09,23.137
2019-10,92.816
2019-11,318.374
2019-12,164.998
2020-01,336.76
2020-02,117.122
2020-03,174.886
2020-04,46.752
2020-05,30.71
2020-06,38.971
2020-07,38.904
2020-08,47.384
2020-09,27.59
2020-10,169.437
2020-11,106.21
2020-12,92.54
2021-01,51.901
2021-02,241.45
2021-03,109.95
2021-04,51.893
2021-05,25.145
2021-06,20.049
2021-07,7.988
2021-08,37.994
2021-09,25.259
