,[x]
2002-01,6.487
2002-02,5.611
2002-03,1.021
2002-04,3.281
2002-05,0.765
2002-06,2.86
2002-07,4.841
2002-08,0.544
2002-09,2.331
2002-10,1.337
2002-11,3.942
2002-12,6.297
2003-01,1.274
2003-02,1.227
2003-03,2.425
2003-04,3.505
2003-05,3.631
2003-06,0.901
2003-07,4.335
2003-08,5.977
2003-09,3.06
2003-10,6.104
2003-11,0.737
2003-12,2.396
2004-01,0.938
2004-02,3.377
2004-03,4.939
2004-04,8.33
2004-05,4.731
2004-06,6.463
2004-07,3.672
2004-08,0.676
2004-09,0.825
2004-10,5.293
2004-11,1.316
2004-12,3.493
2005-01,5.144
2005-02,4.431
2005-03,2.036
2005-04,0.951
2005-05,0.444
2005-06,2.024
2005-07,0.066
2005-08,7.486
2005-09,0.284
2005-10,0.614
2005-11,3.655
2005-12,25.72
2006-01,2.036
2006-02,6.612
2006-03,19.679
2006-04,0.9
2006-05,1.546
2006-06,5.88
2006-07,0.907
2006-08,0.332
2006-09,5.213
2006-10,4.825
2006-11,18.473
2006-12,31.457
2007-01,23.841
2007-02,0.56
2007-03,1.362
2007-04,12.973
2007-05,1.956
2007-06,0.892
2007-07,0.878
2007-08,0.31
2007-09,0.089
2007-10,1.408
2007-11,8.08
2007-12,5.355
2008-01,2.575
2008-02,14.113
2008-03,9.292
2008-04,2.259
2008-05,4.08
2008-06,2.507
2008-07,1.212
2008-08,0.828
2008-09,1.718
2008-10,0.213
2008-11,3.202
2008-12,1.438
2009-01,2.048
2009-02,2.799
2009-03,8.393
2009-04,11.147
2009-05,0.929
2009-06,1.164
2009-07,1.271
2009-08,0.718
2009-09,1.545
2009-10,10.459
2009-11,2.296
2009-12,5.645
2010-01,1.441
2010-02,1.58
2010-03,1.678
2010-04,38.723
2010-05,1.5
2010-06,0.557
2010-07,0.171
2010-08,0.839
2010-09,0.07
2010-10,0.182
2010-11,10.726
2010-12,36.293
2011-01,3.018
2011-02,7.57
2011-03,26.135
2011-04,3.747
2011-05,0.784
2011-06,3.081
2011-07,0.918
2011-08,0.284
2011-09,0.625
2011-10,1.667
2011-11,7.076
2011-12,0.12
2012-01,17.887
2012-02,0.728
2012-03,2.165
2012-04,0.01
2012-05,3.854
2012-06,1.505
2012-07,4.041
2012-08,0.152
2012-09,0.01
2012-10,1.017
2012-11,9.497
2012-12,1.722
2013-01,44.445
2013-02,15.207
2013-03,11.26
2013-04,1.733
2013-05,0.829
2013-06,0.974
2013-07,5.614
2013-08,1.944
2013-09,4.162
2013-10,5.82
2013-11,1.843
2013-12,16.436
2014-01,2.218
2014-02,3.186
2014-03,0.495
2014-04,8.411
2014-05,2.24
2014-06,0.438
2014-07,0.542
2014-08,0.179
2014-09,1.212
2014-10,19.612
2014-11,2.213
2014-12,4.222
2015-01,2.503
2015-02,1.138
2015-03,7.594
2015-04,3.644
2015-05,1.309
2015-06,2.939
2015-07,3.14
2015-08,1.139
2015-09,0.334
2015-10,0.119
2015-11,1.339
2015-12,4.266
2016-01,1.056
2016-02,1.91
2016-03,3.534
2016-04,0.826
2016-05,1.669
2016-06,0.337
2016-07,5.48
2016-08,1.583
2016-09,1.79
2016-10,0.183
2016-11,1.846
2016-12,3.34
2017-01,3.708
2017-02,0.89
2017-03,7.44
2017-04,4.622
2017-05,2.563
2017-06,1.285
2017-07,4.127
2017-08,2.787
2017-09,0.544
2017-10,1.839
2017-11,0.447
2017-12,6.783
2018-01,4.713
2018-02,9.835
2018-03,6.783
2018-04,5.616
2018-05,7.69
2018-06,0.443
2018-07,5.179
2018-08,0.452
2018-09,4.863
2018-10,6.148
2018-11,5.957
2018-12,0.08
2019-01,1.817
2019-02,22.349
2019-03,0.866
2019-04,0.128
2019-05,2.212
2019-06,0.894
2019-07,1.296
2019-08,0.01
2019-09,0.226
2019-10,4.803
2019-11,7.496
2019-12,15.536
2020-01,6.865
2020-02,7.684
2020-03,1.946
2020-04,2.738
2020-05,0.678
2020-06,0.007
2020-07,0.453
2020-08,1.289
2020-09,0.546
2020-10,5.214
2020-11,8.603
2020-12,9.113
2021-01,3.094
2021-02,5.523
2021-03,3.967
2021-04,0.68
2021-05,0.934
2021-06,1.336
2021-07,0.435
2021-08,3.398
2021-09,0.953
