date,precipitationCal,precipitationCal_gt1
2016-01-01,0,0
2016-01-02,0.035,0
2016-01-03,7.569,7.569
2016-01-04,4.323,4.323
2016-01-05,0.149,0
2016-01-06,0.012,0
2016-01-07,0.31,0
2016-01-08,0.643,0
2016-01-09,1.397,1.397
2016-01-10,0.546,0
2016-01-11,0.026,0
2016-01-12,4.239,4.239
2016-01-13,6.809,6.809
2016-01-14,3.644,3.644
2016-01-15,2.951,2.951
2016-01-16,12.689,12.689
2016-01-17,7.298,7.298
2016-01-18,2.987,2.987
2016-01-19,6.001,6.001
2016-01-20,3.683,3.683
2016-01-21,7.406,7.406
2016-01-22,6.632,6.632
2016-01-23,5.275,5.275
2016-01-24,3.546,3.546
2016-01-25,12.607,12.607
2016-01-26,4.976,4.976
2016-01-27,4.085,4.085
2016-01-28,2.197,2.197
2016-01-29,0.324,0
2016-01-30,0.747,0
2016-01-31,0.174,0
2016-02-01,0.006,0
2016-02-02,0.003,0
2016-02-03,0.021,0
2016-02-04,0,0
2016-02-05,0,0
2016-02-06,0.023,0
2016-02-07,0.043,0
2016-02-08,0.001,0
2016-02-09,0,0
2016-02-10,0,0
2016-02-11,0,0
2016-02-12,0.109,0
2016-02-13,2.894,2.894
2016-02-14,0.29,0
2016-02-15,0.002,0
2016-02-16,0.001,0
2016-02-17,0.001,0
2016-02-18,0.657,0
2016-02-19,1.025,1.025
2016-02-20,0.017,0
2016-02-21,0.018,0
2016-02-22,0.032,0
2016-02-23,0.01,0
2016-02-24,0.034,0
2016-02-25,0.02,0
2016-02-26,0.035,0
2016-02-27,0.019,0
2016-02-28,0.002,0
2016-02-29,0,0
2016-03-01,0,0
2016-03-02,0.012,0
2016-03-03,0.074,0
2016-03-04,0.543,0
2016-03-05,2.752,2.752
2016-03-06,1.091,1.091
2016-03-07,0.345,0
2016-03-08,0.191,0
2016-03-09,0.046,0
2016-03-10,0.001,0
2016-03-11,0,0
2016-03-12,0.04,0
2016-03-13,0.003,0
2016-03-14,0.248,0
2016-03-15,3.622,3.622
2016-03-16,1.091,1.091
2016-03-17,0.67,0
2016-03-18,0.114,0
2016-03-19,0.163,0
2016-03-20,0.003,0
2016-03-21,0,0
2016-03-22,0.056,0
2016-03-23,0.133,0
2016-03-24,0.283,0
2016-03-25,0.215,0
2016-03-26,0.769,0
2016-03-27,0.161,0
2016-03-28,0,0
2016-03-29,0.398,0
2016-03-30,0.29,0
2016-03-31,1.232,1.232
2016-04-01,0.216,0
2016-04-02,0.458,0
2016-04-03,0.211,0
2016-04-04,0.185,0
2016-04-05,0.067,0
2016-04-06,0.24,0
2016-04-07,0.196,0
2016-04-08,0.009,0
2016-04-09,0,0
2016-04-10,0.003,0
2016-04-11,0.021,0
2016-04-12,0.27,0
2016-04-13,0.148,0
2016-04-14,0.001,0
2016-04-15,0,0
2016-04-16,0.307,0
2016-04-17,0.149,0
2016-04-18,0.175,0
2016-04-19,0.333,0
2016-04-20,0.203,0
2016-04-21,0.363,0
2016-04-22,0.091,0
2016-04-23,0.025,0
2016-04-24,0,0
2016-04-25,0,0
2016-04-26,0.003,0
2016-04-27,0,0
2016-04-28,0,0
2016-04-29,0.054,0
2016-04-30,0.405,0
2016-05-01,0.064,0
2016-05-02,0.38,0
2016-05-03,0.034,0
2016-05-04,0.416,0
2016-05-05,0.002,0
2016-05-06,0.265,0
2016-05-07,0.56,0
2016-05-08,0.003,0
2016-05-09,0.041,0
2016-05-10,0.02,0
2016-05-11,0.002,0
2016-05-12,0,0
2016-05-13,0.028,0
2016-05-14,0.687,0
2016-05-15,0.034,0
2016-05-16,0.036,0
2016-05-17,0.004,0
2016-05-18,0.083,0
2016-05-19,0.747,0
2016-05-20,0.259,0
2016-05-21,0.052,0
2016-05-22,1.446,1.446
2016-05-23,0,0
2016-05-24,0.009,0
2016-05-25,0.041,0
2016-05-26,0,0
2016-05-27,0,0
2016-05-28,0.081,0
2016-05-29,0.439,0
2016-05-30,0.069,0
2016-05-31,0,0
2016-06-01,0,0
2016-06-02,0,0
2016-06-03,0.081,0
2016-06-04,0,0
2016-06-05,0.001,0
2016-06-06,0.668,0
2016-06-07,0.053,0
2016-06-08,0.17,0
2016-06-09,1.654,1.654
2016-06-10,1.51,1.51
2016-06-11,5.54,5.54
2016-06-12,2.938,2.938
2016-06-13,0.176,0
2016-06-14,0.085,0
2016-06-15,0.074,0
2016-06-16,0,0
2016-06-17,0,0
2016-06-18,0,0
2016-06-19,0.045,0
2016-06-20,2.306,2.306
2016-06-21,0.704,0
2016-06-22,0.024,0
2016-06-23,0.018,0
2016-06-24,0.091,0
2016-06-25,1.685,1.685
2016-06-26,0.022,0
2016-06-27,0,0
2016-06-28,0.117,0
2016-06-29,0.485,0
2016-06-30,0.345,0
2016-07-01,0.002,0
2016-07-02,1.756,1.756
2016-07-03,0.049,0
2016-07-04,1.233,1.233
2016-07-05,0.201,0
2016-07-06,0,0
2016-07-07,0,0
2016-07-08,0.137,0
2016-07-09,0,0
2016-07-10,0,0
2016-07-11,0,0
2016-07-12,0,0
2016-07-13,1.385,1.385
2016-07-14,0,0
2016-07-15,0,0
2016-07-16,0,0
2016-07-17,0,0
2016-07-18,0.994,0
2016-07-19,0.222,0
2016-07-20,0.075,0
2016-07-21,0.079,0
2016-07-22,2.17,2.17
2016-07-23,2.843,2.843
2016-07-24,7.407,7.407
2016-07-25,4.061,4.061
2016-07-26,0.042,0
2016-07-27,0,0
2016-07-28,0,0
2016-07-29,0.055,0
2016-07-30,6.89,6.89
2016-07-31,0.497,0
2016-08-01,0,0
2016-08-02,1.441,1.441
2016-08-03,0.395,0
2016-08-04,0,0
2016-08-05,0,0
2016-08-06,0,0
2016-08-07,0,0
2016-08-08,0,0
2016-08-09,0,0
2016-08-10,0,0
2016-08-11,0,0
2016-08-12,0.54,0
2016-08-13,0.032,0
2016-08-14,0.396,0
2016-08-15,0.053,0
2016-08-16,0.857,0
2016-08-17,0.191,0
2016-08-18,0.006,0
2016-08-19,0.438,0
2016-08-20,0.376,0
2016-08-21,0,0
2016-08-22,0.529,0
2016-08-23,1.095,1.095
2016-08-24,0,0
2016-08-25,0,0
2016-08-26,0,0
2016-08-27,0,0
2016-08-28,0.352,0
2016-08-29,0,0
2016-08-30,0,0
2016-08-31,0.131,0
2016-09-01,0.097,0
2016-09-02,0.133,0
2016-09-03,0.248,0
2016-09-04,0.002,0
2016-09-05,0.005,0
2016-09-06,0,0
2016-09-07,0,0
2016-09-08,0,0
2016-09-09,0.007,0
2016-09-10,0,0
2016-09-11,0.44,0
2016-09-12,0.014,0
2016-09-13,0,0
2016-09-14,0,0
2016-09-15,0,0
2016-09-16,0.016,0
2016-09-17,0.02,0
2016-09-18,0.151,0
2016-09-19,0,0
2016-09-20,0,0
2016-09-21,0.562,0
2016-09-22,0.216,0
2016-09-23,0.173,0
2016-09-24,0.56,0
2016-09-25,0.294,0
2016-09-26,1.827,1.827
2016-09-27,4.187,4.187
2016-09-28,1.175,1.175
2016-09-29,0.017,0
2016-09-30,0.001,0
2016-10-01,0.168,0
2016-10-02,0.492,0
2016-10-03,0.041,0
2016-10-04,4.733,4.733
2016-10-05,7.552,7.552
2016-10-06,21.341,21.341
2016-10-07,2.922,2.922
2016-10-08,1.696,1.696
2016-10-09,0.013,0
2016-10-10,1.119,1.119
2016-10-11,0.037,0
2016-10-12,0.038,0
2016-10-13,0.032,0
2016-10-14,0.026,0
2016-10-15,0.001,0
2016-10-16,0,0
2016-10-17,0,0
2016-10-18,0,0
2016-10-19,0,0
2016-10-20,0,0
2016-10-21,0.004,0
2016-10-22,0.014,0
2016-10-23,0.001,0
2016-10-24,0.003,0
2016-10-25,0,0
2016-10-26,0,0
2016-10-27,0,0
2016-10-28,0.056,0
2016-10-29,0.984,0
2016-10-30,0.294,0
2016-10-31,0.487,0
2016-11-01,0.255,0
2016-11-02,0.001,0
2016-11-03,0.027,0
2016-11-04,0.002,0
2016-11-05,0.002,0
2016-11-06,0.111,0
2016-11-07,0.465,0
2016-11-08,0.966,0
2016-11-09,0.459,0
2016-11-10,9.133,9.133
2016-11-11,0.544,0
2016-11-12,0.497,0
2016-11-13,5.437,5.437
2016-11-14,2.361,2.361
2016-11-15,6.258,6.258
2016-11-16,9.86,9.86
2016-11-17,4.599,4.599
2016-11-18,8.927,8.927
2016-11-19,25.25,25.25
2016-11-20,1.578,1.578
2016-11-21,0.075,0
2016-11-22,0.011,0
2016-11-23,0.24,0
2016-11-24,0.523,0
2016-11-25,1.37,1.37
2016-11-26,0.018,0
2016-11-27,2.336,2.336
2016-11-28,1.424,1.424
2016-11-29,0,0
2016-11-30,0.168,0
2016-12-01,0.647,0
2016-12-02,0.004,0
2016-12-03,0.159,0
2016-12-04,3.996,3.996
2016-12-05,5.885,5.885
2016-12-06,3.995,3.995
2016-12-07,10.152,10.152
2016-12-08,9.3,9.3
2016-12-09,2.009,2.009
