system:time_start,precipitationCal
"Jan 1, 2016",42.619
"Jan 2, 2016",45.172
"Jan 3, 2016",45.537
"Jan 4, 2016",17.982
"Jan 5, 2016",3.033
"Jan 6, 2016",15.441
"Jan 7, 2016",74.24
"Jan 8, 2016",87.343
"Jan 9, 2016",93.639
"Jan 10, 2016",192.689
"Jan 11, 2016",259.751
"Jan 12, 2016",268.562
"Jan 13, 2016",309.553
"Jan 14, 2016",270.979
"Jan 15, 2016",330.594
"Jan 16, 2016",407.328
"Jan 17, 2016",351.956
"Jan 18, 2016",292.105
"Jan 19, 2016",303.434
"Jan 20, 2016",346.947
"Jan 21, 2016",337.497
"Jan 22, 2016",269.344
"Jan 23, 2016",183.761
"Jan 24, 2016",140.45
"Jan 25, 2016",133.275
"Jan 26, 2016",113.136
"Jan 27, 2016",16.223
"Jan 28, 2016",5.448
"Jan 29, 2016",0.834
"Jan 30, 2016",0.834
"Jan 31, 2016",0.102
"Feb 1, 2016",0
"Feb 2, 2016",0
"Feb 3, 2016",0
"Feb 4, 2016",0
"Feb 5, 2016",0
"Feb 6, 2016",0.171
"Feb 7, 2016",37.378
"Feb 8, 2016",37.486
"Feb 9, 2016",37.486
"Feb 10, 2016",37.486
"Feb 11, 2016",37.486
"Feb 12, 2016",38.143
"Feb 13, 2016",39.066
"Feb 14, 2016",1.859
"Feb 15, 2016",1.751
"Feb 16, 2016",1.751
"Feb 17, 2016",1.751
"Feb 18, 2016",1.751
"Feb 19, 2016",1.094
"Feb 20, 2016",0
"Feb 21, 2016",0
"Feb 22, 2016",0
"Feb 23, 2016",0
"Feb 24, 2016",0
"Feb 25, 2016",0
"Feb 26, 2016",0
"Feb 27, 2016",5.65
"Feb 28, 2016",16.915
"Feb 29, 2016",27.934
"Mar 1, 2016",31.04
"Mar 2, 2016",31.04
"Mar 3, 2016",31.04
"Mar 4, 2016",31.04
"Mar 5, 2016",25.389
"Mar 6, 2016",14.125
"Mar 7, 2016",3.105
"Mar 8, 2016",0
"Mar 9, 2016",7.138
"Mar 10, 2016",8.64
"Mar 11, 2016",8.64
"Mar 12, 2016",8.64
"Mar 13, 2016",8.64
"Mar 14, 2016",8.64
"Mar 15, 2016",8.64
"Mar 16, 2016",1.502
"Mar 17, 2016",0
"Mar 18, 2016",1.08
"Mar 19, 2016",1.08
"Mar 20, 2016",4.572
"Mar 21, 2016",4.572
"Mar 22, 2016",4.572
"Mar 23, 2016",5.066
"Mar 24, 2016",5.066
"Mar 25, 2016",5.293
"Mar 26, 2016",5.622
"Mar 27, 2016",4.137
"Mar 28, 2016",5.833
"Mar 29, 2016",7.236
"Mar 30, 2016",6.742
"Mar 31, 2016",6.742
