system:time_start,precipitationCal
"Jan 1, 2016",100.898
"Jan 2, 2016",101.524
"Jan 3, 2016",102.128
"Jan 4, 2016",48.767
"Jan 5, 2016",1.288
"Jan 6, 2016",3.577
"Jan 7, 2016",11.128
"Jan 8, 2016",11.44
"Jan 9, 2016",10.814
"Jan 10, 2016",12.549
"Jan 11, 2016",63.407
"Jan 12, 2016",99.364
"Jan 13, 2016",98.599
"Jan 14, 2016",108.748
"Jan 15, 2016",166.966
"Jan 16, 2016",230.653
"Jan 17, 2016",264.239
"Jan 18, 2016",277.783
"Jan 19, 2016",314.156
"Jan 20, 2016",316.417
"Jan 21, 2016",298.977
"Jan 22, 2016",240.446
"Jan 23, 2016",176.775
"Jan 24, 2016",140.869
"Jan 25, 2016",76.472
"Jan 26, 2016",4.15
"Jan 27, 2016",0.332
"Jan 28, 2016",0.267
"Jan 29, 2016",0.267
"Jan 30, 2016",4.221
"Jan 31, 2016",4.2
"Feb 1, 2016",4.171
"Feb 2, 2016",4.169
"Feb 3, 2016",4.169
"Feb 4, 2016",3.974
"Feb 5, 2016",3.974
"Feb 6, 2016",0.461
"Feb 7, 2016",0.954
"Feb 8, 2016",0.954
"Feb 9, 2016",0.949
"Feb 10, 2016",0.949
"Feb 11, 2016",0.949
"Feb 12, 2016",2.287
"Feb 13, 2016",2.037
"Feb 14, 2016",2.633
"Feb 15, 2016",2.633
"Feb 16, 2016",2.633
"Feb 17, 2016",2.633
"Feb 18, 2016",2.633
"Feb 19, 2016",1.294
"Feb 20, 2016",1.089
"Feb 21, 2016",0
"Feb 22, 2016",0
"Feb 23, 2016",0
"Feb 24, 2016",0
"Feb 25, 2016",0.093
"Feb 26, 2016",0.093
"Feb 27, 2016",0.425
"Feb 28, 2016",1.937
"Feb 29, 2016",1.937
"Mar 1, 2016",2.958
"Mar 2, 2016",3.829
"Mar 3, 2016",3.86
"Mar 4, 2016",3.86
"Mar 5, 2016",3.527
"Mar 6, 2016",2.016
"Mar 7, 2016",2.016
"Mar 8, 2016",4.054
"Mar 9, 2016",8.459
"Mar 10, 2016",29.674
"Mar 11, 2016",30.541
"Mar 12, 2016",30.541
"Mar 13, 2016",30.541
"Mar 14, 2016",30.541
"Mar 15, 2016",27.481
"Mar 16, 2016",22.207
"Mar 17, 2016",0.868
"Mar 18, 2016",9.9
"Mar 19, 2016",9.9
"Mar 20, 2016",11.56
"Mar 21, 2016",11.56
"Mar 22, 2016",11.56
"Mar 23, 2016",11.56
"Mar 24, 2016",46.244
"Mar 25, 2016",36.344
"Mar 26, 2016",45.2
"Mar 27, 2016",47.439
"Mar 28, 2016",47.542
"Mar 29, 2016",47.542
"Mar 30, 2016",47.542
"Mar 31, 2016",12.858
"Apr 1, 2016",12.858
"Apr 2, 2016",4.002
"Apr 3, 2016",0.103
"Apr 4, 2016",0
"Apr 5, 2016",0.648
"Apr 6, 2016",2.585
"Apr 7, 2016",2.585
"Apr 8, 2016",2.585
"Apr 9, 2016",2.585
"Apr 10, 2016",2.585
"Apr 11, 2016",4.443
"Apr 12, 2016",3.795
"Apr 13, 2016",3.746
"Apr 14, 2016",8.694
"Apr 15, 2016",14.008
"Apr 16, 2016",14.46
"Apr 17, 2016",17.794
"Apr 18, 2016",15.935
"Apr 19, 2016",15.935
"Apr 20, 2016",14.048
"Apr 21, 2016",23.432
"Apr 22, 2016",18.118
"Apr 23, 2016",17.918
"Apr 24, 2016",14.585
"Apr 25, 2016",80.889
"Apr 26, 2016",80.889
"Apr 27, 2016",80.889
"Apr 28, 2016",71.212
"Apr 29, 2016",71.212
"Apr 30, 2016",70.96
"May 1, 2016",70.96
"May 2, 2016",4.656
"May 3, 2016",4.656
"May 4, 2016",4.656
"May 5, 2016",0
"May 6, 2016",0
"May 7, 2016",0
"May 8, 2016",0
