system:time_start,precipitationCal
"Jan 1, 2016",0
"Jan 2, 2016",13.352
"Jan 3, 2016",2.66
"Jan 4, 2016",4.856
"Jan 5, 2016",0
"Jan 6, 2016",0
"Jan 7, 2016",0
"Jan 8, 2016",1.082
"Jan 9, 2016",0.004
"Jan 10, 2016",0
"Jan 11, 2016",1.19
"Jan 12, 2016",13.684
"Jan 13, 2016",1.002
"Jan 14, 2016",0.151
"Jan 15, 2016",8.606
"Jan 16, 2016",5.477
"Jan 17, 2016",12.757
"Jan 18, 2016",3.22
"Jan 19, 2016",3.78
"Jan 20, 2016",8.835
"Jan 21, 2016",0.043
"Jan 22, 2016",2.748
"Jan 23, 2016",3.587
"Jan 24, 2016",1.851
"Jan 25, 2016",3.621
"Jan 26, 2016",4.725
"Jan 27, 2016",0.271
"Jan 28, 2016",6.16
"Jan 29, 2016",0.037
"Jan 30, 2016",0
"Jan 31, 2016",0
"Feb 1, 2016",0
"Feb 2, 2016",0
"Feb 3, 2016",0.711
"Feb 4, 2016",0
"Feb 5, 2016",0
"Feb 6, 2016",0
"Feb 7, 2016",0.003
"Feb 8, 2016",0.003
"Feb 9, 2016",0
"Feb 10, 2016",0
"Feb 11, 2016",0.002
"Feb 12, 2016",3.12
"Feb 13, 2016",6.25
"Feb 14, 2016",0
"Feb 15, 2016",0
"Feb 16, 2016",0.011
"Feb 17, 2016",0
"Feb 18, 2016",0.741
"Feb 19, 2016",0.098
"Feb 20, 2016",0
"Feb 21, 2016",0.007
"Feb 22, 2016",0.013
"Feb 23, 2016",0
"Feb 24, 2016",0
"Feb 25, 2016",0
"Feb 26, 2016",3.851
"Feb 27, 2016",0.295
"Feb 28, 2016",0.086
"Feb 29, 2016",0.006
"Mar 1, 2016",0.372
"Mar 2, 2016",0.473
"Mar 3, 2016",0.385
"Mar 4, 2016",4.516
"Mar 5, 2016",3.879
"Mar 6, 2016",0
"Mar 7, 2016",0.142
"Mar 8, 2016",0.995
"Mar 9, 2016",0
"Mar 10, 2016",0
"Mar 11, 2016",1.842
"Mar 12, 2016",2.125
"Mar 13, 2016",8.915
"Mar 14, 2016",11.601
"Mar 15, 2016",0
"Mar 16, 2016",2.483
"Mar 17, 2016",0.532
"Mar 18, 2016",1.488
"Mar 19, 2016",0
"Mar 20, 2016",0
"Mar 21, 2016",0
"Mar 22, 2016",0
"Mar 23, 2016",1.535
"Mar 24, 2016",2.586
"Mar 25, 2016",0.071
"Mar 26, 2016",3.301
"Mar 27, 2016",0.486
"Mar 28, 2016",0.644
"Mar 29, 2016",0
"Mar 30, 2016",0
"Mar 31, 2016",0.717
"Apr 1, 2016",0
"Apr 2, 2016",0
"Apr 3, 2016",0
"Apr 4, 2016",0.002
"Apr 5, 2016",0
"Apr 6, 2016",0.326
"Apr 7, 2016",0
"Apr 8, 2016",0
"Apr 9, 2016",0
"Apr 10, 2016",0.304
"Apr 11, 2016",0
"Apr 12, 2016",0
"Apr 13, 2016",0
"Apr 14, 2016",0
"Apr 15, 2016",0
"Apr 16, 2016",0
"Apr 17, 2016",0
"Apr 18, 2016",0
"Apr 19, 2016",0.182
"Apr 20, 2016",0
"Apr 21, 2016",0
"Apr 22, 2016",0
"Apr 23, 2016",0
"Apr 24, 2016",0
"Apr 25, 2016",0
"Apr 26, 2016",0.819
"Apr 27, 2016",0.025
"Apr 28, 2016",2.283
"Apr 29, 2016",8.69
"Apr 30, 2016",2.944
"May 1, 2016",0
"May 2, 2016",0
"May 3, 2016",0
"May 4, 2016",0
"May 5, 2016",0
"May 6, 2016",0
"May 7, 2016",0
"May 8, 2016",0
"May 9, 2016",0
"May 10, 2016",0
"May 11, 2016",0
"May 12, 2016",0
"May 13, 2016",0
"May 14, 2016",1.468
"May 15, 2016",0
"May 16, 2016",0
"May 17, 2016",0
"May 18, 2016",0.053
"May 19, 2016",0.591
"May 20, 2016",0
"May 21, 2016",0
"May 22, 2016",0
"May 23, 2016",0.056
"May 24, 2016",0
"May 25, 2016",0
"May 26, 2016",0
"May 27, 2016",0
