system:time_start,precipitationCal
"Jan 1, 2016",115.968
"Jan 2, 2016",117.05
"Jan 3, 2016",64.734
"Jan 4, 2016",41.522
"Jan 5, 2016",2.78
"Jan 6, 2016",115.876
"Jan 7, 2016",120.664
"Jan 8, 2016",120.869
"Jan 9, 2016",173.175
"Jan 10, 2016",266.431
"Jan 11, 2016",355.865
"Jan 12, 2016",364.976
"Jan 13, 2016",319.39
"Jan 14, 2016",379.867
"Jan 15, 2016",379.714
"Jan 16, 2016",332.617
"Jan 17, 2016",246.145
"Jan 18, 2016",161.847
"Jan 19, 2016",170.496
"Jan 20, 2016",108.729
"Jan 21, 2016",43.734
"Jan 22, 2016",59.95
"Jan 23, 2016",53.766
"Jan 24, 2016",46.978
"Jan 25, 2016",41.842
"Jan 26, 2016",22.388
"Jan 27, 2016",16.646
"Jan 28, 2016",17.471
"Jan 29, 2016",1.203
"Jan 30, 2016",1.095
"Jan 31, 2016",1.095
"Feb 1, 2016",1.099
"Feb 2, 2016",1.102
"Feb 3, 2016",1.102
"Feb 4, 2016",0.007
"Feb 5, 2016",0.009
"Feb 6, 2016",25.331
"Feb 7, 2016",47.921
"Feb 8, 2016",47.917
"Feb 9, 2016",47.914
"Feb 10, 2016",47.925
"Feb 11, 2016",47.925
"Feb 12, 2016",50.754
"Feb 13, 2016",25.61
"Feb 14, 2016",3.02
"Feb 15, 2016",3.027
"Feb 16, 2016",3.056
"Feb 17, 2016",3.045
"Feb 18, 2016",3.045
"Feb 19, 2016",0.214
"Feb 20, 2016",41.926
"Feb 21, 2016",43.342
"Feb 22, 2016",43.437
"Feb 23, 2016",43.423
"Feb 24, 2016",43.795
"Feb 25, 2016",44.537
"Feb 26, 2016",45.079
"Feb 27, 2016",34.082
"Feb 28, 2016",83.064
"Feb 29, 2016",82.963
"Mar 1, 2016",83.413
"Mar 2, 2016",84.313
"Mar 3, 2016",83.571
"Mar 4, 2016",83.03
"Mar 5, 2016",57.615
"Mar 6, 2016",23.772
"Mar 7, 2016",55.474
"Mar 8, 2016",88.372
"Mar 9, 2016",87.099
"Mar 10, 2016",92.316
"Mar 11, 2016",93.397
"Mar 12, 2016",95.7
"Mar 13, 2016",79.144
"Mar 14, 2016",47.443
"Mar 15, 2016",14.08
"Mar 16, 2016",14.08
"Mar 17, 2016",14.736
"Mar 18, 2016",28.066
"Mar 19, 2016",20.355
"Mar 20, 2016",27.793
"Mar 21, 2016",28.282
"Mar 22, 2016",28.944
"Mar 23, 2016",28.944
"Mar 24, 2016",23.072
"Mar 25, 2016",9.483
"Mar 26, 2016",9.411
