,[x][0],[x][1]
2016-01,NaN,340.976
2016-02,NaN,51.051
2016-03,NaN,107.45
2016-04,NaN,65.828
2016-05,NaN,6.12
2016-06,NaN,37.657
2016-07,NaN,2.636
2016-08,NaN,3.835
2016-09,NaN,48.064
2016-10,NaN,40.98
2016-11,NaN,279.224
2016-12,NaN,224.942
2017-01,NaN,83.684
2017-02,NaN,138.366
2017-03,NaN,85.993
2017-04,NaN,60.225
2017-05,NaN,39.697
2017-06,NaN,13.237
2017-07,NaN,6.137
2017-08,NaN,0.009
2017-09,NaN,6.607
2017-10,NaN,75.86
2017-11,NaN,245.291
2017-12,NaN,282.782
2018-01,NaN,175.137
2018-02,NaN,304.957
2018-03,NaN,209.885
2018-04,NaN,116.023
2018-05,NaN,44.971
2018-06,NaN,4.069
2018-07,NaN,0.481
2018-08,NaN,23.795
2018-09,NaN,24.781
2018-10,NaN,109.942
2018-11,NaN,163.577
2018-12,NaN,231.876
2019-01,NaN,38.491
2019-02,NaN,194.153
2019-03,NaN,93.851
2019-04,NaN,111.107
2019-05,NaN,53.652
2019-06,NaN,8.629
2019-07,NaN,0.404
2019-08,NaN,12.192
2019-09,NaN,6.321
2019-10,NaN,52.755
2019-11,NaN,235.906
2019-12,NaN,213.659
2020-01,NaN,417.989
2020-02,NaN,254.468
2020-03,NaN,210.571
2020-04,NaN,70.63
2020-05,NaN,70.622
2020-06,NaN,6.044
2020-07,NaN,17.749
2020-08,NaN,14.9
2020-09,NaN,2.316
2020-10,NaN,200.969
2020-11,NaN,136.424
2020-12,NaN,246.26
2021-01,NaN,133.888
2021-02,NaN,340.847
2021-03,NaN,85.884
2021-04,NaN,39.003
2021-05,NaN,7.476
2021-06,NaN,14.187
2021-07,NaN,0.676
2021-08,NaN,3.998
2021-09,NaN,2.749
