,[x]
2016-01,8.026
2016-02,4.276
2016-03,3.663
2016-04,3.5
2016-05,0.511
2016-06,6.168
2016-07,0.02
2016-08,0.246
2016-09,0.73
2016-10,2.043
2016-11,5.422
2016-12,5.815
2017-01,0.954
2017-02,6.824
2017-03,2.694
2017-04,3.164
2017-05,3.576
2017-06,0.284
2017-07,0.104
2017-08,0.004
2017-09,1.575
2017-10,5.019
2017-11,3.575
2017-12,7.813
2018-01,2.944
2018-02,4.315
2018-03,2.098
2018-04,8.456
2018-05,1.138
2018-06,0.205
2018-07,0.126
2018-08,4.469
2018-09,0.719
2018-10,4.721
2018-11,1.382
2018-12,3.153
2019-01,0.614
2019-02,2.996
2019-03,4.139
2019-04,8.308
2019-05,4.6
2019-06,1.548
2019-07,0.157
2019-08,5.462
2019-09,1.283
2019-10,0.913
2019-11,2.147
2019-12,4.783
2020-01,5.058
2020-02,2.948
2020-03,7.305
2020-04,0.661
2020-05,3.982
2020-06,0.471
2020-07,0.584
2020-08,0.439
2020-09,0.411
2020-10,5.023
2020-11,3.005
2020-12,6.868
2021-01,5.512
2021-02,5.325
2021-03,1.958
2021-04,0.785
2021-05,0.371
2021-06,0.381
2021-07,0.032
2021-08,0.735
2021-09,0.497
