system:time_start,precipitationCal
"Jan 1, 2016",41.359
"Jan 2, 2016",41.359
"Jan 3, 2016",41.886
"Jan 4, 2016",26.644
"Jan 5, 2016",1.711
"Jan 6, 2016",31.18
"Jan 7, 2016",78.551
"Jan 8, 2016",78.551
"Jan 9, 2016",83.889
"Jan 10, 2016",92.413
"Jan 11, 2016",106.982
"Jan 12, 2016",110.213
"Jan 13, 2016",99.327
"Jan 14, 2016",193.849
"Jan 15, 2016",233.572
"Jan 16, 2016",269.838
"Jan 17, 2016",275.865
"Jan 18, 2016",260.88
"Jan 19, 2016",264.514
"Jan 20, 2016",278.942
"Jan 21, 2016",137.657
"Jan 22, 2016",98.243
"Jan 23, 2016",56.639
"Jan 24, 2016",41.563
"Jan 25, 2016",41.232
"Jan 26, 2016",33.929
"Jan 27, 2016",0.918
"Jan 28, 2016",0.31
"Jan 29, 2016",0.393
"Jan 30, 2016",0.393
"Jan 31, 2016",0.393
"Feb 1, 2016",3.07
"Feb 2, 2016",3.07
"Feb 3, 2016",3.07
"Feb 4, 2016",3.07
"Feb 5, 2016",2.677
"Feb 6, 2016",31.48
"Feb 7, 2016",42.087
"Feb 8, 2016",39.41
"Feb 9, 2016",39.41
"Feb 10, 2016",39.41
"Feb 11, 2016",39.41
"Feb 12, 2016",39.422
"Feb 13, 2016",10.619
"Feb 14, 2016",0.012
"Feb 15, 2016",0.028
"Feb 16, 2016",0.705
"Feb 17, 2016",2.82
"Feb 18, 2016",2.82
"Feb 19, 2016",2.808
"Feb 20, 2016",2.808
"Feb 21, 2016",2.817
"Feb 22, 2016",2.802
"Feb 23, 2016",2.125
"Feb 24, 2016",0.01
"Feb 25, 2016",0.01
"Feb 26, 2016",0.01
"Feb 27, 2016",0.381
"Feb 28, 2016",19.953
"Feb 29, 2016",21.354
"Mar 1, 2016",21.356
"Mar 2, 2016",21.356
"Mar 3, 2016",21.356
"Mar 4, 2016",21.356
"Mar 5, 2016",20.985
"Mar 6, 2016",1.404
"Mar 7, 2016",0.003
"Mar 8, 2016",0.437
"Mar 9, 2016",28.576
"Mar 10, 2016",46.647
"Mar 11, 2016",49.459
"Mar 12, 2016",50.062
"Mar 13, 2016",51.312
"Mar 14, 2016",60.3
"Mar 15, 2016",59.864
"Mar 16, 2016",31.724
"Mar 17, 2016",13.653
"Mar 18, 2016",34.436
"Mar 19, 2016",33.833
"Mar 20, 2016",32.582
"Mar 21, 2016",25.632
"Mar 22, 2016",25.632
"Mar 23, 2016",25.632
"Mar 24, 2016",55.569
"Mar 25, 2016",35.401
"Mar 26, 2016",36.201
"Mar 27, 2016",36.201
"Mar 28, 2016",34.164
"Mar 29, 2016",37.86
"Mar 30, 2016",37.86
"Mar 31, 2016",12.24
"Apr 1, 2016",8.813
"Apr 2, 2016",8.014
"Apr 3, 2016",8.014
"Apr 4, 2016",8.014
"Apr 5, 2016",4.317
"Apr 6, 2016",5.158
"Apr 7, 2016",0.841
"Apr 8, 2016",0.841
"Apr 9, 2016",0.841
"Apr 10, 2016",0.841
"Apr 11, 2016",0.862
"Apr 12, 2016",0.862
"Apr 13, 2016",0.041
"Apr 14, 2016",0.041
"Apr 15, 2016",1.726
"Apr 16, 2016",1.774
"Apr 17, 2016",1.774
"Apr 18, 2016",1.753
"Apr 19, 2016",1.753
"Apr 20, 2016",1.733
"Apr 21, 2016",1.733
"Apr 22, 2016",0.048
"Apr 23, 2016",1.04
"Apr 24, 2016",1.311
"Apr 25, 2016",1.311
"Apr 26, 2016",14.306
"Apr 27, 2016",14.306
"Apr 28, 2016",14.306
"Apr 29, 2016",14.306
"Apr 30, 2016",13.266
"May 1, 2016",12.995
"May 2, 2016",12.995
"May 3, 2016",0.635
"May 4, 2016",0.635
"May 5, 2016",0.635
"May 6, 2016",0.635
"May 7, 2016",0.635
"May 8, 2016",12.166
"May 9, 2016",12.166
"May 10, 2016",11.531
"May 11, 2016",11.531
"May 12, 2016",13.364
"May 13, 2016",15.984
"May 14, 2016",15.984
"May 15, 2016",4.459
"May 16, 2016",4.459
"May 17, 2016",4.813
"May 18, 2016",4.813
"May 19, 2016",2.981
"May 20, 2016",0.361
"May 21, 2016",0.361
"May 22, 2016",1.08
"May 23, 2016",2.945
"May 24, 2016",3.13
"May 25, 2016",3.13
"May 26, 2016",3.13
"May 27, 2016",9.68
"May 28, 2016",21.631
"May 29, 2016",20.905
"May 30, 2016",19.383
"May 31, 2016",19.072
"Jun 1, 2016",25.277
"Jun 2, 2016",25.277
"Jun 3, 2016",18.73
"Jun 4, 2016",6.795
"Jun 5, 2016",6.795
"Jun 6, 2016",15.167
"Jun 7, 2016",14.939
"Jun 8, 2016",8.734
"Jun 9, 2016",8.734
"Jun 10, 2016",8.731
"Jun 11, 2016",8.715
"Jun 12, 2016",8.715
"Jun 13, 2016",0.036
"Jun 14, 2016",0.059
"Jun 15, 2016",0.059
"Jun 16, 2016",0.059
"Jun 17, 2016",0.059
"Jun 18, 2016",0.059
"Jun 19, 2016",0.059
"Jun 20, 2016",0.023
"Jun 21, 2016",0
"Jun 22, 2016",0.43
"Jun 23, 2016",2.793
"Jun 24, 2016",4.705
"Jun 25, 2016",4.705
"Jun 26, 2016",4.705
"Jun 27, 2016",4.705
"Jun 28, 2016",4.705
"Jun 29, 2016",4.275
"Jun 30, 2016",1.912
"Jul 1, 2016",0
"Jul 2, 2016",0
"Jul 3, 2016",0
"Jul 4, 2016",0
"Jul 5, 2016",0
"Jul 6, 2016",0
"Jul 7, 2016",0
"Jul 8, 2016",0
"Jul 9, 2016",0
"Jul 10, 2016",0
"Jul 11, 2016",0
"Jul 12, 2016",0
"Jul 13, 2016",0
"Jul 14, 2016",0
"Jul 15, 2016",0.782
"Jul 16, 2016",0.782
"Jul 17, 2016",0.782
"Jul 18, 2016",0.782
"Jul 19, 2016",0.782
"Jul 20, 2016",0.782
"Jul 21, 2016",0.782
"Jul 22, 2016",0
"Jul 23, 2016",0
"Jul 24, 2016",16.245
"Jul 25, 2016",16.245
"Jul 26, 2016",16.245
"Jul 27, 2016",16.245
"Jul 28, 2016",16.245
"Jul 29, 2016",16.245
"Jul 30, 2016",16.245
"Jul 31, 2016",0
"Aug 1, 2016",0
"Aug 2, 2016",0
"Aug 3, 2016",0
"Aug 4, 2016",0
"Aug 5, 2016",0
"Aug 6, 2016",0
"Aug 7, 2016",6.207
"Aug 8, 2016",8.193
"Aug 9, 2016",8.23
"Aug 10, 2016",12.184
"Aug 11, 2016",12.184
"Aug 12, 2016",12.184
"Aug 13, 2016",12.184
"Aug 14, 2016",5.977
"Aug 15, 2016",3.991
"Aug 16, 2016",3.955
"Aug 17, 2016",0.656
"Aug 18, 2016",0.656
"Aug 19, 2016",0.656
"Aug 20, 2016",0.656
"Aug 21, 2016",0.656
"Aug 22, 2016",0.656
"Aug 23, 2016",0.655
"Aug 24, 2016",0
"Aug 25, 2016",0
"Aug 26, 2016",0.003
"Aug 27, 2016",0.003
"Aug 28, 2016",0.003
"Aug 29, 2016",0.003
"Aug 30, 2016",3.33
"Aug 31, 2016",3.33
"Sep 1, 2016",3.33
"Sep 2, 2016",3.328
"Sep 3, 2016",3.328
"Sep 4, 2016",3.328
"Sep 5, 2016",3.328
"Sep 6, 2016",0
"Sep 7, 2016",0
"Sep 8, 2016",0
"Sep 9, 2016",0
"Sep 10, 2016",1.658
"Sep 11, 2016",3.498
"Sep 12, 2016",5.102
"Sep 13, 2016",5.102
"Sep 14, 2016",5.102
"Sep 15, 2016",6.37
"Sep 16, 2016",6.37
"Sep 17, 2016",4.712
"Sep 18, 2016",2.93
"Sep 19, 2016",3.472
"Sep 20, 2016",11.401
"Sep 21, 2016",11.984
"Sep 22, 2016",10.717
"Sep 23, 2016",10.717
"Sep 24, 2016",10.945
"Sep 25, 2016",19.495
"Sep 26, 2016",24.021
"Sep 27, 2016",16.092
"Sep 28, 2016",42.95
"Sep 29, 2016",57.344
"Sep 30, 2016",59.032
"Oct 1, 2016",72.886
"Oct 2, 2016",64.277
"Oct 3, 2016",57.605
"Oct 4, 2016",57.605
"Oct 5, 2016",30.164
"Oct 6, 2016",15.771
"Oct 7, 2016",14.915
"Oct 8, 2016",0.833
"Oct 9, 2016",0.833
