,[x][0],[x][1]
2016-01,NaN,233.412
2016-02,NaN,21.428
2016-03,NaN,68.898
2016-04,NaN,7.26
2016-05,NaN,16.411
2016-06,NaN,19.906
2016-07,NaN,40.22
2016-08,NaN,7.415
2016-09,NaN,11.05
2016-10,NaN,62.059
2016-11,NaN,242.992
2016-12,NaN,144.895
2017-01,NaN,42.124
2017-02,NaN,116.103
2017-03,NaN,82.211
2017-04,NaN,54.351
2017-05,NaN,112.52
2017-06,NaN,88.753
2017-07,NaN,87.643
2017-08,NaN,21.721
2017-09,NaN,46.835
2017-10,NaN,20.575
2017-11,NaN,144.297
2017-12,NaN,295.588
2018-01,NaN,102.102
2018-02,NaN,235.049
2018-03,NaN,141.68
2018-04,NaN,187.611
2018-05,NaN,118.769
2018-06,NaN,44.392
2018-07,NaN,15.775
2018-08,NaN,53.58
2018-09,NaN,20.465
2018-10,NaN,166.006
2018-11,NaN,264.309
2018-12,NaN,275.107
2019-01,NaN,20.178
2019-02,NaN,93.628
2019-03,NaN,108.998
2019-04,NaN,83.258
2019-05,NaN,103.595
2019-06,NaN,53.254
2019-07,NaN,21.574
2019-08,NaN,68.926
2019-09,NaN,23.137
2019-10,NaN,92.816
2019-11,NaN,318.374
2019-12,NaN,164.998
2020-01,NaN,336.76
2020-02,NaN,117.122
2020-03,NaN,174.886
2020-04,NaN,46.752
2020-05,NaN,30.71
2020-06,NaN,38.971
2020-07,NaN,38.904
2020-08,NaN,47.384
2020-09,NaN,27.59
2020-10,NaN,169.437
2020-11,NaN,106.21
2020-12,NaN,92.54
2021-01,NaN,51.901
2021-02,NaN,241.45
2021-03,NaN,109.95
2021-04,NaN,51.893
2021-05,NaN,25.145
2021-06,NaN,20.049
2021-07,NaN,7.988
2021-08,NaN,37.994
2021-09,NaN,25.259
