,[x]
2016-01,1.056
2016-02,1.91
2016-03,3.534
2016-04,0.826
2016-05,1.669
2016-06,0.337
2016-07,5.48
2016-08,1.583
2016-09,1.79
2016-10,0.183
2016-11,1.846
2016-12,3.34
2017-01,3.708
2017-02,0.89
2017-03,7.44
2017-04,4.622
2017-05,2.563
2017-06,1.285
2017-07,4.127
2017-08,2.787
2017-09,0.544
2017-10,1.839
2017-11,0.447
2017-12,6.783
2018-01,4.713
2018-02,9.835
2018-03,6.783
2018-04,5.616
2018-05,7.69
2018-06,0.443
2018-07,5.179
2018-08,0.452
2018-09,4.863
2018-10,6.148
2018-11,5.957
2018-12,0.08
2019-01,1.817
2019-02,22.349
2019-03,0.866
2019-04,0.128
2019-05,2.212
2019-06,0.894
2019-07,1.296
2019-08,0.01
2019-09,0.226
2019-10,4.803
2019-11,7.496
2019-12,15.536
2020-01,6.865
2020-02,7.684
2020-03,1.946
2020-04,2.738
2020-05,0.678
2020-06,0.007
2020-07,0.453
2020-08,1.289
2020-09,0.546
2020-10,5.214
2020-11,8.603
2020-12,9.113
2021-01,3.094
2021-02,5.523
2021-03,3.967
2021-04,0.68
2021-05,0.934
2021-06,1.336
2021-07,0.435
2021-08,3.398
2021-09,0.953
