"","date","RVI","day"
"1",2016-01-04,NA,4
"2",2016-01-10,0.97668225,10
"3",2016-01-16,NA,16
"4",2016-01-22,0.940849581395349,22
"5",2016-01-28,NA,28
"6",2016-02-03,0.852176287401575,34
"7",2016-02-09,NA,40
"8",2016-02-15,0.839900779527559,46
"9",2016-02-21,NA,52
"10",2016-02-27,0.8565915625,58
"11",2016-03-04,NA,64
"12",2016-03-10,0.871029858267717,70
"13",2016-03-16,NA,76
"14",2016-03-22,NA,82
"15",2016-03-28,NA,88
"16",2016-04-03,0.8519153046875,94
"17",2016-04-09,NA,100
"18",2016-04-15,0.872205086614173,106
"19",2016-04-21,NA,112
"20",2016-04-27,0.87468505511811,118
"21",2016-05-03,NA,124
"22",2016-05-09,0.901268354330709,130
"23",2016-05-15,NA,136
"24",2016-05-21,0.914720640625,142
"25",2016-05-27,NA,148
"26",2016-06-02,0.925301921875,154
"27",2016-06-08,NA,160
"28",2016-06-14,0.934495992125984,166
"29",2016-06-20,NA,172
"30",2016-06-26,NA,178
"31",2016-07-02,NA,184
"32",2016-07-08,0.915366582677165,190
"33",2016-07-14,NA,196
"34",2016-07-20,0.9454151328125,202
"35",2016-07-26,NA,208
"36",2016-08-01,0.874139476190476,214
"37",2016-08-07,NA,220
"38",2016-08-13,0.93554996875,226
"39",2016-08-19,NA,232
"40",2016-08-25,0.941300173228346,238
"41",2016-08-31,NA,244
"42",2016-09-06,0.91286421875,250
"43",2016-09-12,NA,256
"44",2016-09-18,0.984411496062992,262
"45",2016-09-24,NA,268
"46",2016-09-30,NA,274
"47",2016-10-06,0.893455031007752,280
"48",2016-10-12,NA,286
"49",2016-10-18,0.891716224806202,292
"50",2016-10-24,NA,298
"51",2016-10-30,0.921642976744186,304
"52",2016-11-05,NA,310
"53",2016-11-11,0.83971823255814,316
"54",2016-11-17,NA,322
"55",2016-11-23,0.801919418604651,328
"56",2016-11-29,NA,334
"57",2016-12-05,0.779857736434108,340
"58",2016-12-11,NA,346
"59",2016-12-17,0.806434790697674,352
"60",2016-12-23,NA,358
"61",2016-12-29,0.724773015503876,364
"62",2017-01-04,NA,370
"63",2017-01-10,0.745008852713178,376
"64",2017-01-16,NA,382
"65",2017-01-22,0.712612054263566,388
"66",2017-01-28,NA,394
"67",2017-02-03,0.740684248062015,400
"68",2017-02-09,NA,406
"69",2017-02-15,0.77452703875969,412
"70",2017-02-21,NA,418
"71",2017-02-27,0.722960519379845,424
"72",2017-03-05,NA,430
"73",2017-03-11,0.699543558139535,436
"74",2017-03-17,NA,442
"75",2017-03-23,0.751540751937985,448
"76",2017-03-29,NA,454
"77",2017-04-04,0.716722472868217,460
"78",2017-04-10,NA,466
"79",2017-04-16,0.767480829457364,472
"80",2017-04-22,NA,478
"81",2017-04-28,0.828643217054264,484
"82",2017-05-04,NA,490
"83",2017-05-10,0.727703302325581,496
"84",2017-05-16,NA,502
"85",2017-05-22,0.839848418604651,508
"86",2017-05-28,NA,514
"87",2017-06-03,0.735220410852713,520
"88",2017-06-09,NA,526
"89",2017-06-15,0.736554100775194,532
"90",2017-06-21,NA,538
"91",2017-06-27,0.781963031007752,544
"92",2017-07-03,NA,550
"93",2017-07-09,0.775860457364341,556
"94",2017-07-15,NA,562
"95",2017-07-21,0.702163627906977,568
"96",2017-07-27,NA,574
"97",2017-08-02,0.739373062015504,580
"98",2017-08-08,NA,586
"99",2017-08-14,0.735288186046512,592
"100",2017-08-20,NA,598
"101",2017-08-26,NA,604
"102",2017-09-01,NA,610
"103",2017-09-07,0.75224511627907,616
"104",2017-09-13,NA,622
"105",2017-09-19,0.838169147286822,628
"106",2017-09-25,NA,634
"107",2017-10-01,0.796515759689922,640
"108",2017-10-07,NA,646
"109",2017-10-13,0.810620736434108,652
"110",2017-10-19,NA,658
"111",2017-10-25,0.86289323255814,664
"112",2017-10-31,NA,670
"113",2017-11-06,0.868077542635659,676
"114",2017-11-12,NA,682
"115",2017-11-18,0.791565472868217,688
"116",2017-11-24,NA,694
"117",2017-11-30,0.805456852713178,700
"118",2017-12-06,NA,706
"119",2017-12-12,0.843397635658915,712
"120",2017-12-18,NA,718
"121",2017-12-24,0.771943945736434,724
"122",2017-12-30,NA,730
"123",2018-01-05,0.769981294573643,736
"124",2018-01-11,NA,742
"125",2018-01-17,0.735541813953488,748
"126",2018-01-23,NA,754
"127",2018-01-29,0.735129124031008,760
"128",2018-02-04,NA,766
"129",2018-02-10,0.730845658914729,772
"130",2018-02-16,NA,778
"131",2018-02-22,0.709267372093023,784
"132",2018-02-28,NA,790
"133",2018-03-06,0.726884550387597,796
"134",2018-03-12,NA,802
"135",2018-03-18,0.705454100775194,808
"136",2018-03-24,NA,814
"137",2018-03-30,0.676460868217054,820
"138",2018-04-05,NA,826
"139",2018-04-11,0.704264356589147,832
"140",2018-04-17,NA,838
"141",2018-04-23,0.678730434108527,844
"142",2018-04-29,NA,850
"143",2018-05-05,0.70035296124031,856
"144",2018-05-11,NA,862
"145",2018-05-17,0.64064188372093,868
"146",2018-05-23,NA,874
"147",2018-05-29,0.688299503875969,880
"148",2018-06-04,NA,886
"149",2018-06-10,0.675011007751938,892
"150",2018-06-16,NA,898
"151",2018-06-22,0.624913651162791,904
"152",2018-06-28,NA,910
"153",2018-07-04,0.646846085271318,916
"154",2018-07-10,NA,922
"155",2018-07-16,0.677508031007752,928
"156",2018-07-22,NA,934
"157",2018-07-28,0.644218697674419,940
