"","date","VHVV_ratio_hectareID_27","VHVV_ratio_sd_hectareID_27","VHVV_ratio_hectareID_26","VHVV_ratio_sd_hectareID_26","VHVV_ratio_hectareID_17","VHVV_ratio_sd_hectareID_17","VHVV_ratio_hectareID_24","VHVV_ratio_sd_hectareID_24","VHVV_ratio_hectareID_09","VHVV_ratio_sd_hectareID_09","VHVV_ratio_hectareID_11","VHVV_ratio_sd_hectareID_11","VHVV_ratio_hectareID_31","VHVV_ratio_sd_hectareID_31","VHVV_ratio_hectareID_07","VHVV_ratio_sd_hectareID_07","VHVV_ratio_hectareID_08","VHVV_ratio_sd_hectareID_08","VHVV_ratio_hectareID_12","VHVV_ratio_sd_hectareID_12","VHVV_ratio_hectareID_24","VHVV_ratio_sd_hectareID_24","VHVV_ratio_hectareID_25","VHVV_ratio_sd_hectareID_25","VHVV_ratio_hectareID_28","VHVV_ratio_sd_hectareID_28","VHVV_ratio_hectareID_18","VHVV_ratio_sd_hectareID_18","VHVV_ratio_hectareID_03","VHVV_ratio_sd_hectareID_03","VHVV_ratio_hectareID_30","VHVV_ratio_sd_hectareID_30","VHVV_ratio_hectareID_14","VHVV_ratio_sd_hectareID_14","VHVV_ratio_hectareID_04","VHVV_ratio_sd_hectareID_04","VHVV_ratio_hectareID_06","VHVV_ratio_sd_hectareID_06","VHVV_ratio_hectareID_20","VHVV_ratio_sd_hectareID_20","VHVV_ratio_hectareID_23","VHVV_ratio_sd_hectareID_23","VHVV_ratio_hectareID_05","VHVV_ratio_sd_hectareID_05","VHVV_ratio_hectareID_16","VHVV_ratio_sd_hectareID_16","VHVV_ratio_hectareID_01","VHVV_ratio_sd_hectareID_01","VHVV_ratio_hectareID_21","VHVV_ratio_sd_hectareID_21","VHVV_ratio_hectareID_02","VHVV_ratio_sd_hectareID_02","VHVV_ratio_hectareID_15","VHVV_ratio_sd_hectareID_15","VHVV_ratio_hectareID_13","VHVV_ratio_sd_hectareID_13","VHVV_ratio_hectareID_22","VHVV_ratio_sd_hectareID_22","VHVV_ratio_hectareID_19","VHVV_ratio_sd_hectareID_19","VHVV_ratio_hectareID_10","VHVV_ratio_sd_hectareID_10","VHVV_ratio_hectareID_29","VHVV_ratio_sd_hectareID_29"
"1",2016-01-10,0.267909,0.084994,0.301471,0.122501,0.333727,0.091045,0.244638,0.070524,0.31241,0.076093,0.257649,0.08712,0.255027,0.067374,0.302234,0.112657,0.273864,0.143455,0.234714,0.061199,0.278122,0.091149,0.219565,0.048538,0.237185,0.064353,0.268551,0.079295,0.282251,0.086177,0.223795,0.059051,0.32883,0.087885,0.266315,0.087068,0.340714,0.07629,0.270554,0.06866,0.294966,0.123604,0.362174,0.12588,0.333493,0.087895,0.294889,0.125753,0.254686,0.096574,0.273793,0.085843,0.372733,0.10997,0.254498,0.055466,0.242909,0.075827,0.328816,0.095412,0.305766,0.098869,0.26357,0.05991
"2",2016-01-22,0.300236,0.076355,0.350471,0.161647,0.329431,0.092887,0.214319,0.063098,0.276717,0.149708,0.243321,0.063759,0.278177,0.05427,0.249657,0.063527,0.286326,0.081476,0.258969,0.064324,0.293931,0.104727,0.276232,0.076476,0.252784,0.063629,0.243908,0.0714,0.260128,0.101769,0.196294,0.073346,0.253552,0.092566,0.264518,0.053322,0.294523,0.101227,0.266219,0.060269,0.294538,0.090756,0.279836,0.147835,0.311858,0.109826,0.249975,0.096129,0.201493,0.093071,0.250863,0.127818,0.225759,0.078103,0.333258,0.088673,0.277211,0.11503,0.317125,0.101349,0.291925,0.053214,0.278118,0.109703
"3",2016-02-03,0.2384585,0.0848655,0.271189,0.1137725,0.289897,0.070529,0.2857865,0.101429,0.275099,0.1111205,0.2627135,0.088982,0.2314485,0.0676265,0.231888,0.0891625,0.2747605,0.1057645,0.295254,0.090248,0.248185,0.1072075,0.2500575,0.066971,0.2561905,0.081501,0.297688,0.0877455,0.257372,0.0670605,0.1941035,0.0619535,0.307332,0.1007435,0.225328,0.1091995,0.272622,0.0756915,0.2584595,0.095211,0.3456205,0.0926915,0.297075,0.0838385,0.2764075,0.0636675,0.2831245,0.0821285,0.250932,0.098621,0.2950765,0.1247945,0.2755305,0.082613,0.279123,0.0762215,0.2807825,0.0897945,0.2835155,0.0827335,0.253005,0.059201,0.2853185,0.09438
"4",2016-02-15,0.259996,0.093036,0.288443,0.104167,0.314897,0.103321,0.268201,0.089958,0.237646,0.142835,0.266893,0.066892,0.247137,0.075645,0.261219,0.077671,0.300023,0.153837,0.23576,0.080072,0.293228,0.098531,0.282877,0.069958,0.233749,0.077797,0.244122,0.07843,0.288112,0.071431,0.274085,0.068627,0.327079,0.077828,0.258128,0.08735,0.284013,0.073087,0.240293,0.05046,0.264061,0.073003,0.266529,0.090824,0.251661,0.066675,0.350335,0.095376,0.294363,0.098112,0.268154,0.088526,0.241517,0.076002,0.295792,0.081914,0.325653,0.077096,0.290494,0.127116,0.276491,0.088245,0.227817,0.062348
"5",2016-02-27,0.285434,0.116107,0.302393,0.08874,0.290099,0.075564,0.23313,0.071258,0.270882,0.139395,0.248907,0.099927,0.238891,0.069506,0.260563,0.056512,0.240135,0.098744,0.225232,0.041808,0.281904,0.07421,0.264418,0.05858,0.286672,0.092351,0.315822,0.079787,0.270007,0.073228,0.199233,0.059536,0.27465,0.07302,0.318142,0.089438,0.250408,0.062557,0.215646,0.059526,0.275257,0.087781,0.277885,0.097706,0.254784,0.078427,0.30594,0.067653,0.239299,0.079205,0.351091,0.109021,0.246559,0.083548,0.374658,0.090071,0.345141,0.076518,0.256404,0.097066,0.270222,0.094488,0.244168,0.0639
"6",2016-03-10,0.241878,0.086618,0.212678,0.093993,0.227642,0.058467,0.263003,0.103634,0.224792,0.070455,0.26319,0.103857,0.196924,0.046237,0.258654,0.056357,0.242839,0.066266,0.276933,0.056372,0.249133,0.06374,0.365153,0.15565,0.275262,0.098206,0.275199,0.083791,0.282789,0.116073,0.22422,0.082951,0.269156,0.095477,0.319545,0.099066,0.276669,0.078219,0.184797,0.051645,0.322802,0.185856,0.33961,0.093977,0.176329,0.051887,0.275104,0.084103,0.230571,0.080866,0.275609,0.101784,0.270914,0.057879,0.26855,0.065233,0.245286,0.065535,0.257598,0.072075,0.239355,0.087853,0.268748,0.071137
"7",2016-04-03,0.260867,0.069742,0.279985,0.108741,0.280878,0.070805,0.322462,0.108668,0.249271,0.082727,0.283198,0.120664,0.290214,0.088926,0.263517,0.098688,0.269201,0.082004,0.200166,0.056632,0.276318,0.083503,0.338842,0.073257,0.266835,0.081113,0.233242,0.062281,0.239096,0.063012,0.21733,0.074562,0.227541,0.0624,0.258192,0.063387,0.256871,0.08885,0.249328,0.07061,0.286179,0.102799,0.335065,0.087908,0.228873,0.053783,0.272958,0.076911,0.299838,0.091663,0.218397,0.102541,0.285932,0.079776,0.225048,0.060061,0.260162,0.049489,0.258473,0.067374,0.229765,0.068254,0.226079,0.075674
"8",2016-04-15,0.243837,0.063947,0.265617,0.130782,0.26834,0.058658,0.30892,0.110925,0.23147,0.082573,0.239678,0.122304,0.281411,0.068221,0.227158,0.051148,0.307979,0.056868,0.241687,0.055284,0.280697,0.055977,0.250779,0.069242,0.270726,0.094333,0.227958,0.051213,0.290096,0.089752,0.212041,0.079093,0.319776,0.076244,0.25833,0.085721,0.264857,0.087039,0.265889,0.046522,0.256858,0.091791,0.248464,0.126081,0.236288,0.092582,0.303442,0.091823,0.245622,0.074509,0.282334,0.094462,0.266348,0.068183,0.301829,0.079008,0.291041,0.083666,0.188311,0.049804,0.218957,0.064293,0.20744,0.068991
"9",2016-04-27,0.272595,0.065382,0.241324,0.072955,0.272612,0.088208,0.264402,0.091272,0.274282,0.111108,0.284124,0.090717,0.20992,0.056024,0.280389,0.070757,0.239537,0.053056,0.259085,0.074967,0.24926,0.089657,0.3105,0.092279,0.215616,0.059966,0.221831,0.065935,0.246877,0.078627,0.227971,0.055821,0.26306,0.079069,0.209331,0.076968,0.236078,0.057888,0.259749,0.077824,0.290159,0.088694,0.307607,0.097282,0.265874,0.075981,0.266826,0.070947,0.213199,0.060558,0.215768,0.078687,0.266585,0.074174,0.283655,0.054717,0.245251,0.073208,0.227518,0.048753,0.267093,0.119411,0.229252,0.048283
"10",2016-05-09,0.255863,0.096886,0.227483,0.120855,0.283444,0.131129,0.248934,0.079872,0.247169,0.055106,0.290123,0.085383,0.246158,0.075772,0.292182,0.079251,0.225875,0.093503,0.244559,0.085925,0.33208,0.100872,0.250868,0.080956,0.211472,0.07598,0.233648,0.067535,0.310228,0.109834,0.235031,0.074074,0.246536,0.08465,0.253132,0.070846,0.224935,0.065473,0.19237,0.06817,0.285983,0.076187,0.299071,0.098988,0.243438,0.071809,0.322884,0.097367,0.307624,0.092193,0.262733,0.098485,0.205598,0.070915,0.229326,0.049658,0.197095,0.058272,0.228406,0.052489,0.23563,0.057488,0.245311,0.068897
