system:time_start,RVI_median,fitted
"Jan 10, 2016",-0.537,-0.682
"Jan 22, 2016",-0.295,-0.719
"Feb 3, 2016",-0.746,-0.756
"Feb 3, 2016",-0.744,-0.756
"Feb 15, 2016",-0.743,-0.793
"Feb 27, 2016",-0.905,-0.827
"Mar 10, 2016",-0.926,-0.859
"Apr 3, 2016",-0.97,-0.906
"Apr 15, 2016",-0.822,-0.92
"Apr 27, 2016",-0.98,-0.926
"May 9, 2016",-0.811,-0.925
"May 21, 2016",-0.684,-0.916
"Jun 2, 2016",-0.925,-0.9
"Jun 14, 2016",-0.719,-0.878
"Jul 8, 2016",-0.926,-0.82
"Jul 20, 2016",-0.713,-0.787
"Aug 1, 2016",-0.962,-0.753
"Aug 13, 2016",-0.705,-0.719
"Aug 25, 2016",-0.741,-0.688
"Sep 6, 2016",-0.677,-0.66
"Sep 18, 2016",-0.498,-0.637
"Sep 30, 2016",-0.81,-0.62
"Oct 12, 2016",-0.577,-0.609
"Oct 24, 2016",-0.699,-0.605
"Nov 5, 2016",-0.683,-0.608
"Nov 17, 2016",-0.611,-0.618
"Nov 29, 2016",-0.782,-0.634
"Dec 11, 2016",-0.727,-0.657
"Dec 23, 2016",-0.845,-0.685
"Jan 4, 2017",-0.837,-0.718
"Jan 16, 2017",-0.947,-0.754
"Jan 28, 2017",-0.887,-0.791
"Feb 9, 2017",-0.499,-0.829
"Feb 21, 2017",-0.642,-0.865
"Mar 5, 2017",-0.897,-0.898
"Mar 17, 2017",-0.864,-0.928
"Mar 29, 2017",-0.666,-0.951
"Apr 10, 2017",-0.929,-0.968
"Apr 22, 2017",-0.851,-0.978
"May 4, 2017",-0.768,-0.98
"May 16, 2017",-0.785,-0.974
"May 28, 2017",-0.822,-0.961
"Jun 9, 2017",-0.95,-0.942
"Jun 21, 2017",-0.946,-0.916
"Jul 3, 2017",-0.733,-0.887
"Jul 15, 2017",-0.708,-0.854
"Jul 27, 2017",-0.95,-0.819
"Aug 8, 2017",-1.013,-0.785
"Aug 20, 2017",-0.831,-0.752
"Sep 1, 2017",-0.771,-0.723
"Sep 13, 2017",-0.501,-0.697
"Sep 25, 2017",-0.78,-0.677
"Oct 7, 2017",-0.762,-0.663
"Oct 19, 2017",-0.679,-0.656
"Oct 31, 2017",-0.577,-0.655
"Nov 12, 2017",-0.303,-0.662
"Nov 24, 2017",-0.725,-0.676
"Dec 6, 2017",-0.596,-0.697
"Dec 18, 2017",-0.87,-0.723
"Dec 30, 2017",-0.958,-0.754
"Jan 11, 2018",-0.928,-0.789
"Jan 23, 2018",-0.908,-0.827
"Feb 4, 2018",-0.571,-0.865
"Feb 16, 2018",-0.869,-0.902
"Feb 28, 2018",-0.856,-0.938
"Mar 12, 2018",-0.745,-0.969
"Mar 24, 2018",-0.928,-0.996
"Apr 5, 2018",-1.044,-1.016
"Apr 17, 2018",-0.805,-1.029
"Apr 29, 2018",-1.124,-1.035
"May 11, 2018",-1.106,-1.032
"May 23, 2018",-0.937,-1.022
"Jun 4, 2018",-1.016,-1.005
"Jun 16, 2018",-1.21,-0.982
"Jun 28, 2018",-1.133,-0.954
"Jul 10, 2018",-1.042,-0.922
"Jul 22, 2018",-0.936,-0.887
"Aug 3, 2018",-1.02,-0.852
"Aug 15, 2018",-0.794,-0.818
"Aug 27, 2018",-0.867,-0.787
"Sep 8, 2018",-0.779,-0.759
"Sep 20, 2018",-0.678,-0.736
"Oct 2, 2018",-0.685,-0.719
"Oct 14, 2018",-0.684,-0.708
"Oct 26, 2018",-0.707,-0.705
"Nov 7, 2018",-0.627,-0.709
"Nov 19, 2018",-0.813,-0.72
"Dec 1, 2018",-0.831,-0.738
"Dec 13, 2018",-0.928,-0.762
"Dec 25, 2018",-1.068,-0.792
"Jan 6, 2019",-0.974,-0.826
"Jan 18, 2019",-1.063,-0.863
"Jan 30, 2019",-0.972,-0.901
"Feb 11, 2019",-0.893,-0.939
"Feb 23, 2019",-1.148,-0.976
"Mar 7, 2019",-1.129,-1.01
"Mar 19, 2019",-1.031,-1.039
"Mar 31, 2019",-1.19,-1.063
"Apr 12, 2019",-0.95,-1.079
"Apr 24, 2019",-1.277,-1.088
"May 6, 2019",-1.227,-1.089
"May 18, 2019",-1.125,-1.083
"May 30, 2019",-1.137,-1.068
"Jun 11, 2019",-0.804,-1.047
"Jun 23, 2019",-0.928,-1.021
"Jul 5, 2019",-1.144,-0.99
"Jul 17, 2019",-1.001,-0.956
"Jul 29, 2019",-1.212,-0.921
"Aug 10, 2019",-0.764,-0.886
"Aug 22, 2019",-1.004,-0.852
"Sep 3, 2019",-1.017,-0.822
"Sep 15, 2019",-1.144,-0.797
"Sep 27, 2019",-0.969,-0.777
"Oct 9, 2019",-0.886,-0.763
"Oct 21, 2019",-0.897,-0.757
"Nov 2, 2019",-0.886,-0.758
"Nov 14, 2019",-0.749,-0.766
"Nov 26, 2019",-0.684,-0.781
"Dec 8, 2019",-0.665,-0.803
"Dec 20, 2019",-0.883,-0.83
"Jan 1, 2020",-0.981,-0.863
"Jan 13, 2020",-1.085,-0.899
"Feb 6, 2020",-1.08,-0.976
"Feb 18, 2020",-1.058,-1.015
"Mar 1, 2020",-1.075,-1.05
"Mar 13, 2020",-0.932,-1.082
"Mar 25, 2020",-1.038,-1.109
"Apr 6, 2020",-1.167,-1.129
"Apr 18, 2020",-0.981,-1.141
"Apr 30, 2020",-1.324,-1.146
"May 12, 2020",-1.21,-1.142
"May 24, 2020",-1.14,-1.131
"Jun 5, 2020",-1.2,-1.113
"Jun 17, 2020",-0.976,-1.088
"Jun 29, 2020",-1.075,-1.059
"Jul 11, 2020",-1.31,-1.025
"Jul 23, 2020",-1.305,-0.99
"Aug 4, 2020",-1.231,-0.954
"Aug 16, 2020",-1.134,-0.92
"Aug 28, 2020",-1.07,-0.888
"Sep 9, 2020",-0.474,-0.86
"Sep 21, 2020",-0.254,-0.837
"Oct 15, 2020",-0.266,-0.811
"Oct 27, 2020",-0.079,-0.808
"Nov 8, 2020",-0.123,-0.813
"Nov 20, 2020",-0.885,-0.825
"Dec 2, 2020",-1.02,-0.845
"Dec 14, 2020",-1.225,-0.87
"Dec 26, 2020",-1.209,-0.901
"Jan 7, 2021",-1.209,-0.936
