system:time_start,VH_median,fitted
"Jan 10, 2016",-12.656,-12.95
"Jan 22, 2016",-11.413,-12.968
"Feb 3, 2016",-13.306,-12.995
"Feb 3, 2016",-13.313,-12.995
"Feb 15, 2016",-13.226,-13.029
"Feb 27, 2016",-13.321,-13.069
"Mar 10, 2016",-13.402,-13.115
"Apr 3, 2016",-13.643,-13.214
"Apr 15, 2016",-13.681,-13.263
"Apr 27, 2016",-13.544,-13.31
"May 9, 2016",-13.819,-13.353
"May 21, 2016",-12.843,-13.389
"Jun 2, 2016",-13.849,-13.416
"Jun 14, 2016",-13.329,-13.435
"Jul 8, 2016",-13.553,-13.44
"Jul 20, 2016",-13.041,-13.428
"Aug 1, 2016",-13.73,-13.406
"Aug 13, 2016",-13.429,-13.376
"Aug 25, 2016",-13.962,-13.339
"Sep 6, 2016",-13.601,-13.297
"Sep 18, 2016",-13.659,-13.252
"Sep 30, 2016",-13.235,-13.207
"Oct 12, 2016",-12.594,-13.162
"Oct 24, 2016",-13.284,-13.121
"Nov 5, 2016",-13.399,-13.084
"Nov 17, 2016",-12.347,-13.054
"Nov 29, 2016",-12.999,-13.032
"Dec 11, 2016",-12.611,-13.018
"Dec 23, 2016",-12.85,-13.013
"Jan 4, 2017",-13.504,-13.018
"Jan 16, 2017",-13.634,-13.032
"Jan 28, 2017",-13.487,-13.055
"Feb 9, 2017",-12.099,-13.087
"Feb 21, 2017",-12.338,-13.125
"Mar 5, 2017",-13.559,-13.17
"Mar 17, 2017",-13.325,-13.218
"Mar 29, 2017",-12.566,-13.269
"Apr 10, 2017",-13.268,-13.32
"Apr 22, 2017",-13.646,-13.369
"May 4, 2017",-12.847,-13.415
"May 16, 2017",-13.64,-13.454
"May 28, 2017",-12.809,-13.486
"Jun 9, 2017",-13.322,-13.509
"Jun 21, 2017",-13.653,-13.522
"Jul 3, 2017",-13.451,-13.525
"Jul 15, 2017",-12.517,-13.516
"Jul 27, 2017",-13.731,-13.498
"Aug 8, 2017",-13.756,-13.471
"Aug 20, 2017",-13.755,-13.436
"Sep 1, 2017",-13.807,-13.395
"Sep 13, 2017",-12.68,-13.351
"Sep 25, 2017",-13.742,-13.304
"Oct 7, 2017",-13.568,-13.258
"Oct 19, 2017",-13.597,-13.214
"Oct 31, 2017",-13.5,-13.175
"Nov 12, 2017",-11.964,-13.141
"Nov 24, 2017",-13.167,-13.115
"Dec 6, 2017",-12.262,-13.097
"Dec 18, 2017",-13.37,-13.088
"Dec 30, 2017",-13.709,-13.089
"Jan 11, 2018",-13.356,-13.099
"Jan 23, 2018",-13.845,-13.119
"Feb 4, 2018",-11.988,-13.147
"Feb 16, 2018",-12.915,-13.183
"Feb 28, 2018",-13.505,-13.226
"Mar 12, 2018",-12.487,-13.274
"Mar 24, 2018",-12.876,-13.325
"Apr 5, 2018",-13.496,-13.377
"Apr 17, 2018",-12.757,-13.428
"Apr 29, 2018",-13.499,-13.476
"May 11, 2018",-13.961,-13.52
"May 23, 2018",-13.187,-13.556
"Jun 4, 2018",-13.555,-13.583
"Jun 16, 2018",-13.83,-13.601
"Jun 28, 2018",-13.704,-13.608
"Jul 10, 2018",-13.556,-13.605
"Jul 22, 2018",-13.324,-13.59
"Aug 3, 2018",-13.988,-13.566
"Aug 15, 2018",-13.783,-13.534
"Aug 27, 2018",-13.939,-13.495
"Sep 8, 2018",-13.9,-13.451
"Sep 20, 2018",-13.677,-13.404
"Oct 2, 2018",-13.627,-13.357
"Oct 14, 2018",-13.784,-13.311
"Oct 26, 2018",-12.836,-13.269
"Nov 7, 2018",-12.593,-13.232
"Nov 19, 2018",-13.414,-13.202
"Dec 1, 2018",-13.501,-13.18
"Dec 13, 2018",-13.543,-13.166
"Dec 25, 2018",-13.364,-13.163
"Jan 6, 2019",-13.584,-13.169
"Jan 18, 2019",-13.823,-13.185
"Jan 30, 2019",-12.972,-13.21
"Feb 11, 2019",-13.607,-13.243
"Feb 23, 2019",-13.83,-13.284
"Mar 7, 2019",-13.573,-13.331
"Mar 19, 2019",-13.608,-13.381
"Mar 31, 2019",-13.601,-13.434
"Apr 12, 2019",-12.97,-13.487
"Apr 24, 2019",-13.829,-13.538
"May 6, 2019",-13.856,-13.584
"May 18, 2019",-13.458,-13.625
"May 30, 2019",-13.852,-13.657
"Jun 11, 2019",-12.974,-13.679
"Jun 23, 2019",-13.9,-13.691
"Jul 5, 2019",-14.04,-13.692
