system:time_start,RVI_median,fitted
"Jan 10, 2016",-0.674,-0.781
"Jan 22, 2016",-0.671,-0.799
"Feb 3, 2016",-0.755,-0.822
"Feb 3, 2016",-0.742,-0.822
"Feb 15, 2016",-0.786,-0.85
"Feb 27, 2016",-0.802,-0.881
"Mar 10, 2016",-0.878,-0.916
"Apr 3, 2016",-0.946,-0.988
"Apr 15, 2016",-0.943,-1.022
"Apr 27, 2016",-1.122,-1.055
"May 9, 2016",-1.066,-1.083
"May 21, 2016",-0.8,-1.107
"Jun 2, 2016",-1.09,-1.124
"Jun 14, 2016",-1.036,-1.135
"Jul 8, 2016",-1.142,-1.137
"Jul 20, 2016",-1.001,-1.128
"Aug 1, 2016",-1.155,-1.113
"Aug 13, 2016",-1.033,-1.093
"Aug 25, 2016",-1.076,-1.068
"Sep 6, 2016",-1.01,-1.041
"Sep 18, 2016",-0.877,-1.013
"Sep 30, 2016",-1.077,-0.985
"Oct 12, 2016",-1.001,-0.958
"Oct 24, 2016",-0.991,-0.933
"Nov 5, 2016",-0.93,-0.913
"Nov 17, 2016",-0.643,-0.897
"Nov 29, 2016",-0.973,-0.887
"Dec 11, 2016",-0.958,-0.883
"Dec 23, 2016",-0.989,-0.886
"Jan 4, 2017",-0.989,-0.894
"Jan 16, 2017",-1.039,-0.91
"Jan 28, 2017",-0.974,-0.931
"Feb 9, 2017",-0.703,-0.958
"Feb 21, 2017",-0.76,-0.988
"Mar 5, 2017",-1.111,-1.023
"Mar 17, 2017",-0.845,-1.059
"Mar 29, 2017",-0.903,-1.096
"Apr 10, 2017",-1.091,-1.133
"Apr 22, 2017",-1.214,-1.167
"May 4, 2017",-1.046,-1.199
"May 16, 2017",-1.142,-1.225
"May 28, 2017",-1.154,-1.246
"Jun 9, 2017",-1.345,-1.26
"Jun 21, 2017",-1.442,-1.268
"Jul 3, 2017",-1.09,-1.268
"Jul 15, 2017",-1.076,-1.262
"Jul 27, 2017",-1.266,-1.249
"Aug 8, 2017",-1.441,-1.23
"Aug 20, 2017",-1.418,-1.207
"Sep 1, 2017",-1.185,-1.18
"Sep 13, 2017",-1.125,-1.151
"Sep 25, 2017",-1.15,-1.122
"Oct 7, 2017",-1.133,-1.094
"Oct 19, 2017",-1.233,-1.067
"Oct 31, 2017",-1.022,-1.044
"Nov 12, 2017",-0.874,-1.026
"Nov 24, 2017",-1.048,-1.013
"Dec 6, 2017",-1.045,-1.006
"Dec 18, 2017",-0.905,-1.005
"Dec 30, 2017",-1.252,-1.012
"Jan 11, 2018",-1.101,-1.025
"Jan 23, 2018",-1.189,-1.044
"Feb 4, 2018",-0.843,-1.069
"Feb 16, 2018",-1.278,-1.099
"Feb 28, 2018",-1.238,-1.133
"Mar 12, 2018",-1.059,-1.169
"Mar 24, 2018",-1.142,-1.208
"Apr 5, 2018",-1.365,-1.246
"Apr 17, 2018",-1.145,-1.282
"Apr 29, 2018",-1.405,-1.316
"May 11, 2018",-1.335,-1.346
"May 23, 2018",-1.14,-1.37
"Jun 4, 2018",-1.184,-1.388
"Jun 16, 2018",-1.484,-1.399
"Jun 28, 2018",-1.472,-1.402
"Jul 10, 2018",-1.549,-1.399
"Jul 22, 2018",-1.51,-1.388
"Aug 3, 2018",-1.599,-1.371
"Aug 15, 2018",-1.42,-1.349
"Aug 27, 2018",-1.442,-1.323
"Sep 8, 2018",-1.356,-1.294
"Sep 20, 2018",-1.371,-1.264
"Oct 2, 2018",-1.393,-1.234
"Oct 14, 2018",-1.301,-1.206
"Oct 26, 2018",-0.983,-1.181
"Nov 7, 2018",-0.96,-1.159
"Nov 19, 2018",-1.167,-1.144
"Dec 1, 2018",-1.16,-1.134
"Dec 13, 2018",-1.368,-1.13
"Dec 25, 2018",-1.342,-1.134
"Jan 6, 2019",-1.285,-1.144
"Jan 18, 2019",-1.355,-1.161
"Jan 30, 2019",-1.061,-1.184
"Feb 11, 2019",-1.201,-1.213
"Feb 23, 2019",-1.288,-1.246
"Mar 7, 2019",-1.533,-1.283
"Mar 19, 2019",-1.278,-1.322
"Mar 31, 2019",-1.438,-1.361
"Apr 12, 2019",-1.426,-1.4
"Apr 24, 2019",-1.466,-1.436
"May 6, 2019",-1.347,-1.469
"May 18, 2019",-1.545,-1.496
"May 30, 2019",-1.719,-1.518
"Jun 11, 2019",-1.41,-1.532
"Jun 23, 2019",-1.428,-1.539
"Jul 5, 2019",-1.746,-1.539
"Jul 17, 2019",-1.902,-1.531
"Jul 29, 2019",-1.43,-1.516
"Aug 10, 2019",-1.478,-1.496
"Aug 22, 2019",-1.44,-1.47
"Sep 3, 2019",-1.662,-1.441
"Sep 15, 2019",-1.809,-1.411
"Sep 27, 2019",-1.585,-1.38
"Oct 9, 2019",-1.452,-1.35
"Oct 21, 2019",-1.674,-1.322
"Nov 2, 2019",-1.415,-1.298
"Nov 14, 2019",-1.43,-1.279
"Nov 26, 2019",-1.477,-1.266
"Dec 8, 2019",-1.178,-1.26
"Dec 20, 2019",-1.477,-1.26
"Jan 1, 2020",-1.251,-1.268
"Jan 13, 2020",-1.46,-1.282
"Feb 6, 2020",-1.432,-1.331
"Feb 18, 2020",-1.344,-1.363
"Mar 1, 2020",-1.551,-1.4
"Mar 13, 2020",-1.242,-1.439
"Mar 25, 2020",-1.546,-1.48
"Apr 6, 2020",-1.442,-1.52
"Apr 18, 2020",-1.391,-1.559
"Apr 30, 2020",-1.824,-1.594
"May 12, 2020",-1.764,-1.625
"May 24, 2020",-1.84,-1.65
"Jun 5, 2020",-1.745,-1.668
"Jun 17, 2020",-1.406,-1.679
"Jun 29, 2020",-1.818,-1.682
"Jul 11, 2020",-1.91,-1.677
"Jul 23, 2020",-1.931,-1.665
"Aug 4, 2020",-1.775,-1.646
"Aug 16, 2020",-1.773,-1.622
"Aug 28, 2020",-1.509,-1.594
"Sep 9, 2020",-1.217,-1.563
"Sep 21, 2020",-1.11,-1.53
"Oct 15, 2020",-0.998,-1.469
"Oct 27, 2020",-0.896,-1.443
"Nov 8, 2020",-0.898,-1.421
"Nov 20, 2020",-1.312,-1.405
"Dec 2, 2020",-1.552,-1.395
"Dec 14, 2020",-1.682,-1.392
"Dec 26, 2020",-1.477,-1.397
"Jan 7, 2021",-1.547,-1.409
"Jan 19, 2021",-1.598,-1.428
"Jan 31, 2021",-1.612,-1.453
"Feb 12, 2021",-1.637,-1.484
"Feb 24, 2021",-1.679,-1.52
"Mar 8, 2021",-1.54,-1.56
"Mar 20, 2021",-1.522,-1.601
"Apr 1, 2021",-1.615,-1.643
"Apr 13, 2021",-1.773,-1.684
"Apr 25, 2021",-1.717,-1.723
"May 7, 2021",-1.629,-1.757
"Aug 23, 2021",-1.563,-1.751
"Sep 4, 2021",-1.605,-1.72
"Sep 16, 2021",-1.735,-1.687
"Sep 28, 2021",-1.393,-1.654
"Oct 10, 2021",-1.189,-1.622
"Oct 22, 2021",-1.514,-1.593
"Nov 3, 2021",-1.333,-1.568
"Nov 15, 2021",-1.405,-1.549
"Nov 27, 2021",-1.511,-1.536
"Dec 9, 2021",-1.281,-1.53
"Dec 21, 2021",-1.321,-1.531
