system:time_start,VH_median,fitted
"Jan 10, 2016",-12.293,-12.621
"Jan 22, 2016",-12.119,-12.626
"Feb 3, 2016",-12.502,-12.635
"Feb 3, 2016",-12.501,-12.635
"Feb 15, 2016",-12.623,-12.645
"Feb 27, 2016",-12.726,-12.656
"Mar 10, 2016",-12.855,-12.669
"Apr 3, 2016",-12.542,-12.697
"Apr 15, 2016",-12.63,-12.711
"Apr 27, 2016",-12.826,-12.725
"May 9, 2016",-12.872,-12.737
"May 21, 2016",-12.289,-12.747
"Jun 2, 2016",-12.587,-12.756
"Jun 14, 2016",-13.18,-12.762
"Jul 8, 2016",-12.516,-12.767
"Jul 20, 2016",-12.918,-12.766
"Aug 1, 2016",-13.208,-12.762
"Aug 13, 2016",-13.178,-12.756
"Aug 25, 2016",-13.107,-12.748
"Sep 6, 2016",-12.953,-12.739
"Sep 18, 2016",-13.098,-12.729
"Sep 30, 2016",-12.915,-12.719
"Oct 12, 2016",-12.866,-12.709
"Oct 24, 2016",-12.773,-12.699
"Nov 5, 2016",-12.736,-12.691
"Nov 17, 2016",-12.215,-12.684
"Nov 29, 2016",-12.731,-12.679
"Dec 11, 2016",-13.228,-12.676
"Dec 23, 2016",-12.548,-12.676
"Jan 4, 2017",-12.963,-12.678
"Jan 16, 2017",-12.936,-12.683
"Jan 28, 2017",-12.813,-12.69
"Feb 9, 2017",-12.219,-12.699
"Feb 21, 2017",-12.401,-12.711
"Mar 5, 2017",-13.063,-12.723
"Mar 17, 2017",-12.404,-12.737
"Mar 29, 2017",-12.77,-12.751
"Apr 10, 2017",-12.735,-12.766
"Apr 22, 2017",-13.491,-12.78
"May 4, 2017",-12.876,-12.792
"May 16, 2017",-13.362,-12.804
"May 28, 2017",-12.24,-12.813
"Jun 9, 2017",-12.53,-12.821
"Jun 21, 2017",-13.026,-12.826
"Jul 3, 2017",-12.745,-12.828
"Jul 15, 2017",-12.443,-12.828
"Jul 27, 2017",-12.676,-12.825
"Aug 8, 2017",-13.078,-12.82
"Aug 20, 2017",-13.047,-12.813
"Sep 1, 2017",-12.838,-12.804
"Sep 13, 2017",-12.888,-12.794
"Sep 25, 2017",-12.843,-12.784
"Oct 7, 2017",-12.693,-12.773
"Oct 19, 2017",-12.796,-12.763
"Oct 31, 2017",-13.078,-12.754
"Nov 12, 2017",-12.49,-12.747
"Nov 24, 2017",-12.591,-12.741
"Dec 6, 2017",-12.79,-12.737
"Dec 18, 2017",-12.22,-12.736
"Dec 30, 2017",-12.974,-12.737
"Jan 11, 2018",-12.629,-12.74
"Jan 23, 2018",-13.179,-12.747
"Feb 4, 2018",-12.102,-12.755
"Feb 16, 2018",-12.903,-12.766
"Feb 28, 2018",-12.91,-12.778
"Mar 12, 2018",-12.587,-12.792
"Mar 24, 2018",-12.499,-12.806
"Apr 5, 2018",-12.654,-12.82
"Apr 17, 2018",-12.726,-12.835
"Apr 29, 2018",-12.628,-12.848
"May 11, 2018",-13.297,-12.861
"May 23, 2018",-12.487,-12.871
"Jun 4, 2018",-12.494,-12.88
"Jun 16, 2018",-12.661,-12.886
"Jun 28, 2018",-12.493,-12.889
"Jul 10, 2018",-12.847,-12.89
"Jul 22, 2018",-12.484,-12.888
"Aug 3, 2018",-12.998,-12.884
"Aug 15, 2018",-13.411,-12.878
"Aug 27, 2018",-13.083,-12.87
"Sep 8, 2018",-13.136,-12.86
"Sep 20, 2018",-13.116,-12.85
"Oct 2, 2018",-12.865,-12.839
"Oct 14, 2018",-13.118,-12.829
"Oct 26, 2018",-12.461,-12.819
"Nov 7, 2018",-12.409,-12.811
"Nov 19, 2018",-12.651,-12.804
"Dec 1, 2018",-12.813,-12.799
"Dec 13, 2018",-12.618,-12.797
"Dec 25, 2018",-13.094,-12.797
"Jan 6, 2019",-12.928,-12.799
"Jan 18, 2019",-13.205,-12.804
"Jan 30, 2019",-12.493,-12.812
"Feb 11, 2019",-12.878,-12.822
"Feb 23, 2019",-12.794,-12.834
"Mar 7, 2019",-13.037,-12.847
"Mar 19, 2019",-13.4,-12.861
"Mar 31, 2019",-13.057,-12.876
"Apr 12, 2019",-12.916,-12.891
"Apr 24, 2019",-12.761,-12.905
"May 6, 2019",-12.556,-12.918
"May 18, 2019",-12.931,-12.93
"May 30, 2019",-12.723,-12.939
"Jun 11, 2019",-12.524,-12.946
"Jun 23, 2019",-12.672,-12.951
"Jul 5, 2019",-13.212,-12.953
"Jul 17, 2019",-13.494,-12.952
"Jul 29, 2019",-12.726,-12.949
"Aug 10, 2019",-12.884,-12.944
"Aug 22, 2019",-12.755,-12.936
"Sep 3, 2019",-13.066,-12.927
"Sep 15, 2019",-13.187,-12.917
"Sep 27, 2019",-12.729,-12.906
"Oct 9, 2019",-12.716,-12.895
"Oct 21, 2019",-13.047,-12.885
"Nov 2, 2019",-12.593,-12.876
"Nov 14, 2019",-12.959,-12.868
"Nov 26, 2019",-13.183,-12.862
"Dec 8, 2019",-12.412,-12.859
"Dec 20, 2019",-13.041,-12.858
"Jan 1, 2020",-12.569,-12.859
"Jan 13, 2020",-13.171,-12.864
"Feb 6, 2020",-13.168,-12.879
"Feb 18, 2020",-12.828,-12.89
"Mar 1, 2020",-13.341,-12.903
"Mar 13, 2020",-12.472,-12.917
"Mar 25, 2020",-13.348,-12.932
"Apr 6, 2020",-12.854,-12.947
"Apr 18, 2020",-12.608,-12.962
"Apr 30, 2020",-13.207,-12.976
"May 12, 2020",-13.363,-12.988
"May 24, 2020",-12.932,-12.999
"Jun 5, 2020",-13.182,-13.007
"Jun 17, 2020",-12.826,-13.013
"Jun 29, 2020",-13.039,-13.016
"Jul 11, 2020",-12.897,-13.017
"Jul 23, 2020",-13.288,-13.015
"Aug 4, 2020",-13.324,-13.01
"Aug 16, 2020",-12.689,-13.003
"Aug 28, 2020",-12.823,-12.995
"Sep 9, 2020",-13.054,-12.985
"Sep 21, 2020",-13.202,-12.974
"Oct 15, 2020",-12.892,-12.952
"Oct 27, 2020",-12.993,-12.943
"Nov 8, 2020",-12.825,-12.934
"Nov 20, 2020",-12.638,-12.927
"Dec 2, 2020",-12.996,-12.923
"Dec 14, 2020",-13.164,-12.92
"Dec 26, 2020",-13.043,-12.921
"Jan 7, 2021",-13.249,-12.924
"Jan 19, 2021",-13.191,-12.93
"Jan 31, 2021",-13.165,-12.938
"Feb 12, 2021",-13.353,-12.948
"Feb 24, 2021",-13.268,-12.96
"Mar 8, 2021",-13.481,-12.974
"Mar 20, 2021",-12.849,-12.989
"Apr 1, 2021",-13.391,-13.004
"Apr 13, 2021",-13.491,-13.019
"Apr 25, 2021",-13.08,-13.034
"May 7, 2021",-12.913,-13.047
"Aug 23, 2021",-12.801,-13.063
"Sep 4, 2021",-12.887,-13.054
"Sep 16, 2021",-13.086,-13.043
"Sep 28, 2021",-12.785,-13.032
"Oct 10, 2021",-12.56,-13.021
"Oct 22, 2021",-13.058,-13.011
"Nov 3, 2021",-12.686,-13.001
"Nov 15, 2021",-12.997,-12.994
"Nov 27, 2021",-13.207,-12.988
"Dec 9, 2021",-12.401,-12.985
"Dec 21, 2021",-12.586,-12.984
