system:time_start,VV_median,fitted
"Jan 10, 2016",-6.654,-6.869
"Jan 22, 2016",-6.404,-6.85
"Feb 3, 2016",-6.866,-6.825
"Feb 3, 2016",-6.871,-6.825
"Feb 15, 2016",-6.844,-6.797
"Feb 27, 2016",-6.928,-6.766
"Mar 10, 2016",-6.994,-6.732
"Apr 3, 2016",-6.514,-6.666
"Apr 15, 2016",-6.636,-6.635
"Apr 27, 2016",-6.668,-6.607
"May 9, 2016",-6.782,-6.584
"May 21, 2016",-6.623,-6.565
"Jun 2, 2016",-6.369,-6.552
"Jun 14, 2016",-7.174,-6.544
"Jul 8, 2016",-6.271,-6.547
"Jul 20, 2016",-6.907,-6.557
"Aug 1, 2016",-6.974,-6.572
"Aug 13, 2016",-7.152,-6.591
"Aug 25, 2016",-6.936,-6.613
"Sep 6, 2016",-6.812,-6.638
"Sep 18, 2016",-7.192,-6.664
"Sep 30, 2016",-6.765,-6.69
"Oct 12, 2016",-6.822,-6.714
"Oct 24, 2016",-6.758,-6.736
"Nov 5, 2016",-6.865,-6.754
"Nov 17, 2016",-6.627,-6.768
"Nov 29, 2016",-6.784,-6.776
"Dec 11, 2016",-7.187,-6.777
"Dec 23, 2016",-6.547,-6.773
"Jan 4, 2017",-6.982,-6.762
"Jan 16, 2017",-6.756,-6.746
"Jan 28, 2017",-6.764,-6.724
"Feb 9, 2017",-6.517,-6.698
"Feb 21, 2017",-6.584,-6.669
"Mar 5, 2017",-6.809,-6.637
"Mar 17, 2017",-6.651,-6.604
"Mar 29, 2017",-6.871,-6.572
"Apr 10, 2017",-6.46,-6.541
"Apr 22, 2017",-7.092,-6.512
"May 4, 2017",-6.744,-6.487
"May 16, 2017",-6.99,-6.467
"May 28, 2017",-6.023,-6.451
"Jun 9, 2017",-6.116,-6.442
"Jun 21, 2017",-6.495,-6.438
"Jul 3, 2017",-6.545,-6.439
"Jul 15, 2017",-6.346,-6.447
"Jul 27, 2017",-6.334,-6.459
"Aug 8, 2017",-6.379,-6.476
"Aug 20, 2017",-6.528,-6.497
"Sep 1, 2017",-6.418,-6.52
"Sep 13, 2017",-6.72,-6.545
"Sep 25, 2017",-6.604,-6.57
"Oct 7, 2017",-6.381,-6.595
"Oct 19, 2017",-6.53,-6.617
"Oct 31, 2017",-6.913,-6.637
"Nov 12, 2017",-6.61,-6.652
"Nov 24, 2017",-6.462,-6.662
"Dec 6, 2017",-6.649,-6.666
"Dec 18, 2017",-6.276,-6.665
"Dec 30, 2017",-6.514,-6.657
