system:time_start,RVI_median,fitted
"Jan 3, 2016",-0.8,-0.931
"Jan 15, 2016",-0.869,-0.989
"Jan 27, 2016",-1.087,-1.048
"Jan 27, 2016",-1.094,-1.048
"Feb 8, 2016",-1.224,-1.106
"Feb 20, 2016",-1.27,-1.16
"Mar 3, 2016",-1.081,-1.207
"Mar 27, 2016",-1.045,-1.275
"Apr 8, 2016",-1.285,-1.292
"Apr 20, 2016",-1.184,-1.297
"May 2, 2016",-1.148,-1.29
"May 14, 2016",-1.098,-1.271
"May 26, 2016",-1.094,-1.241
"Jun 7, 2016",-1.137,-1.202
"Jul 1, 2016",-1.015,-1.105
"Jul 13, 2016",-1.141,-1.051
"Jul 25, 2016",-0.993,-0.997
"Aug 6, 2016",-0.873,-0.946
"Aug 18, 2016",-0.802,-0.899
"Aug 30, 2016",-0.524,-0.859
"Sep 11, 2016",-0.441,-0.827
"Sep 23, 2016",-0.719,-0.804
"Sep 29, 2016",-0.826,-0.797
"Oct 11, 2016",-0.678,-0.79
"Oct 23, 2016",-0.805,-0.794
"Nov 4, 2016",-0.84,-0.809
"Nov 16, 2016",-0.754,-0.834
"Nov 28, 2016",-1.05,-0.87
"Dec 10, 2016",-0.964,-0.913
"Dec 22, 2016",-1.316,-0.965
"Jan 3, 2017",-1.414,-1.021
"Jan 15, 2017",-1.048,-1.08
"Jan 27, 2017",-1.408,-1.141
"Feb 8, 2017",-1.004,-1.199
"Feb 20, 2017",-1.273,-1.254
"Mar 4, 2017",-1.353,-1.302
"Mar 16, 2017",-1.318,-1.341
"Mar 28, 2017",-1.01,-1.37
"Apr 9, 2017",-1.318,-1.387
"May 3, 2017",-1.182,-1.383
"May 15, 2017",-1.411,-1.363
"May 27, 2017",-1.602,-1.331
"Jun 8, 2017",-1.409,-1.291
"Jun 20, 2017",-1.185,-1.243
"Jul 2, 2017",-1.413,-1.191
"Jul 14, 2017",-1.315,-1.136
"Jul 26, 2017",-1.271,-1.081
"Aug 7, 2017",-1.05,-1.029
"Aug 19, 2017",-1.002,-0.982
"Aug 31, 2017",-0.967,-0.941
"Sep 12, 2017",-0.799,-0.909
