system:time_start,VH_median,fitted
"Jan 3, 2016",-12.332,-12.82
"Jan 15, 2016",-12.44,-12.85
"Jan 27, 2016",-12.721,-12.891
"Jan 27, 2016",-12.675,-12.891
"Feb 8, 2016",-13.098,-12.944
"Feb 20, 2016",-12.844,-13.005
"Mar 3, 2016",-13.181,-13.073
"Mar 27, 2016",-13.142,-13.218
"Apr 8, 2016",-13.141,-13.289
"Apr 20, 2016",-13.487,-13.354
"May 2, 2016",-13.133,-13.411
"May 14, 2016",-12.599,-13.457
"May 26, 2016",-13.313,-13.488
"Jun 7, 2016",-12.887,-13.505
"Jul 1, 2016",-12.952,-13.49
"Jul 13, 2016",-13.5,-13.459
"Jul 25, 2016",-13.556,-13.415
"Aug 6, 2016",-13.592,-13.359
"Aug 18, 2016",-13.418,-13.294
"Aug 30, 2016",-13.143,-13.223
"Sep 11, 2016",-13.358,-13.151
"Sep 23, 2016",-12.961,-13.079
"Sep 29, 2016",-13.091,-13.044
"Oct 11, 2016",-12.716,-12.979
"Oct 23, 2016",-12.758,-12.921
"Nov 4, 2016",-12.999,-12.873
"Nov 16, 2016",-11.873,-12.837
"Nov 28, 2016",-13.176,-12.813
"Dec 10, 2016",-12.023,-12.803
"Dec 22, 2016",-13.188,-12.807
"Jan 3, 2017",-13.358,-12.824
"Jan 15, 2017",-12.753,-12.854
"Jan 27, 2017",-13.405,-12.897
"Feb 8, 2017",-12.267,-12.95
"Feb 20, 2017",-13.398,-13.012
"Mar 4, 2017",-13.274,-13.08
"Mar 16, 2017",-13.446,-13.152
"Mar 28, 2017",-12.374,-13.225
"Apr 9, 2017",-13.455,-13.296
"May 3, 2017",-13.398,-13.417
"May 15, 2017",-13.455,-13.462
"May 27, 2017",-13.266,-13.493
"Jun 8, 2017",-13.406,-13.508
"Jun 20, 2017",-13.541,-13.508
"Jul 2, 2017",-13.797,-13.491
"Jul 14, 2017",-13.643,-13.46
"Jul 26, 2017",-13.899,-13.414
"Aug 7, 2017",-13.904,-13.357
"Aug 19, 2017",-13.696,-13.292
"Aug 31, 2017",-13.84,-13.222
"Sep 12, 2017",-13.598,-13.149
"Sep 24, 2017",-13.094,-13.077
"Oct 6, 2017",-12.882,-13.009
"Oct 18, 2017",-12.801,-12.948
"Oct 30, 2017",-12.726,-12.895
"Nov 11, 2017",-12.276,-12.854
"Nov 23, 2017",-12.103,-12.824
"Dec 5, 2017",-12.519,-12.808
"Dec 17, 2017",-13.269,-12.806
"Dec 29, 2017",-13.406,-12.817
"Jan 10, 2018",-13.45,-12.842
"Jan 22, 2018",-13.642,-12.879
"Feb 3, 2018",-12.338,-12.928
"Feb 15, 2018",-13.403,-12.986
"Feb 27, 2018",-12.412,-13.052
"Mar 11, 2018",-12.296,-13.123
"Mar 23, 2018",-12.998,-13.196
"Apr 4, 2018",-12.678,-13.268
"Apr 16, 2018",-13.406,-13.336
"Apr 28, 2018",-13.314,-13.396
"May 10, 2018",-13.361,-13.446
"May 22, 2018",-13.451,-13.484
"Jun 3, 2018",-13.359,-13.506
"Jun 15, 2018",-13.462,-13.513
"Jun 27, 2018",-13.696,-13.503
"Jul 9, 2018",-13.739,-13.478
"Jul 21, 2018",-13.75,-13.438
"Aug 2, 2018",-12.984,-13.386
"Aug 14, 2018",-13.593,-13.324
"Aug 26, 2018",-13.642,-13.255
"Sep 7, 2018",-13.639,-13.183
"Sep 19, 2018",-12.683,-13.111
"Oct 1, 2018",-13.308,-13.041
"Oct 13, 2018",-13.269,-12.976
"Oct 25, 2018",-12.486,-12.919
"Nov 6, 2018",-12.289,-12.873
"Nov 18, 2018",-12.684,-12.838
"Nov 30, 2018",-13.504,-12.816
"Dec 12, 2018",-13.495,-12.807
"Dec 24, 2018",-13.505,-12.813
"Jan 5, 2019",-12.799,-12.832
"Jan 17, 2019",-13.54,-12.864
"Jan 29, 2019",-13.601,-12.908
"Feb 10, 2019",-13.441,-12.962
"Feb 22, 2019",-13.453,-13.025
"Mar 6, 2019",-13.499,-13.094
"Mar 18, 2019",-13.274,-13.167
"Mar 30, 2019",-13.742,-13.24
"Apr 11, 2019",-13.503,-13.31
"Apr 23, 2019",-13.539,-13.374
"May 5, 2019",-13.5,-13.429
"May 17, 2019",-13.004,-13.472
"May 29, 2019",-13.693,-13.501
"Jun 10, 2019",-14.061,-13.515
"Jun 22, 2019",-13.901,-13.512
"Jul 4, 2019",-13.952,-13.494
"Jul 16, 2019",-14.177,-13.46
"Jul 28, 2019",-14.169,-13.413
"Aug 9, 2019",-13.795,-13.355
"Aug 21, 2019",-13.691,-13.289
"Sep 2, 2019",-13.647,-13.217
"Sep 14, 2019",-13.181,-13.145
"Sep 26, 2019",-13.278,-13.073
"Oct 8, 2019",-13.003,-13.006
"Oct 20, 2019",-13.116,-12.945
"Nov 1, 2019",-13.051,-12.894
"Nov 13, 2019",-13.177,-12.854
"Nov 25, 2019",-12.606,-12.826
"Dec 19, 2019",-13.644,-12.811
"Dec 31, 2019",-13.649,-12.824
"Jan 12, 2020",-13.646,-12.85
"Jan 24, 2020",-12.454,-12.89
"Feb 5, 2020",-13.635,-12.94
"Feb 17, 2020",-13.542,-12.999
"Feb 29, 2020",-12.386,-13.066
"Mar 12, 2020",-13.318,-13.137
"Mar 24, 2020",-13.083,-13.21
"Apr 5, 2020",-13.354,-13.282
"Apr 17, 2020",-13.446,-13.349
"Apr 29, 2020",-13.593,-13.409
"May 11, 2020",-14.11,-13.457
"May 23, 2020",-13.311,-13.493
"Jun 4, 2020",-13.221,-13.513
"Jun 16, 2020",-13.178,-13.518
"Jun 28, 2020",-13.408,-13.506
"Jul 10, 2020",-13.128,-13.479
"Jul 22, 2020",-13.227,-13.438
"Aug 3, 2020",-13.499,-13.384
"Aug 15, 2020",-13.186,-13.321
"Aug 27, 2020",-13.361,-13.252
"Sep 8, 2020",-13.134,-13.179
"Sep 20, 2020",-13.222,-13.106
"Oct 2, 2020",-12.964,-13.037
"Oct 14, 2020",-12.677,-12.973
"Oct 26, 2020",-11.806,-12.918
"Nov 7, 2020",-12.145,-12.873
"Nov 19, 2020",-12.376,-12.839
"Dec 1, 2020",-13.273,-12.819
"Dec 13, 2020",-13.003,-12.812
"Dec 25, 2020",-12.716,-12.819
"Jan 6, 2021",-13.05,-12.84
"Jan 18, 2021",-13.314,-12.873
"Jan 30, 2021",-13.355,-12.919
"Feb 11, 2021",-13.091,-12.975
"Feb 23, 2021",-12.344,-13.039
"Mar 7, 2021",-12.496,-13.108
"Mar 19, 2021",-13.224,-13.181
"Mar 31, 2021",-13.229,-13.254
"Apr 12, 2021",-13.316,-13.323
"Apr 24, 2021",-13.094,-13.386
"May 6, 2021",-13.269,-13.44
"May 18, 2021",-13.407,-13.482
"May 30, 2021",-13.174,-13.509
"Jun 11, 2021",-13.185,-13.521
"Jun 23, 2021",-13.316,-13.516
"Jul 5, 2021",-13.742,-13.496
"Jul 17, 2021",-13.404,-13.46
"Jul 29, 2021",-13.319,-13.411
"Aug 10, 2021",-13.404,-13.352
"Aug 22, 2021",-13.363,-13.285
"Sep 3, 2021",-13.225,-13.213
"Sep 15, 2021",-13.044,-13.14
"Sep 27, 2021",-12.972,-13.069
"Oct 9, 2021",-12.842,-13.003
"Oct 21, 2021",-12.058,-12.943
"Nov 2, 2021",-12.086,-12.893
"Nov 14, 2021",-12.529,-12.855
"Nov 26, 2021",-13.175,-12.828
"Dec 8, 2021",-12.489,-12.815
"Dec 20, 2021",-12.722,-12.816
