system:time_start,VV_median,fitted
"Jan 3, 2016",-6.512,-6.779
"Jan 15, 2016",-6.378,-6.735
"Jan 27, 2016",-6.451,-6.704
"Jan 27, 2016",-6.448,-6.704
"Feb 8, 2016",-6.786,-6.686
"Feb 20, 2016",-6.439,-6.681
"Mar 3, 2016",-6.78,-6.691
"Mar 27, 2016",-7.023,-6.749
"Apr 8, 2016",-6.638,-6.795
"Apr 20, 2016",-6.995,-6.851
"May 2, 2016",-6.743,-6.913
"May 14, 2016",-6.385,-6.98
"May 26, 2016",-7.09,-7.049
"Jun 7, 2016",-6.471,-7.116
"Jul 1, 2016",-6.748,-7.234
"Jul 13, 2016",-7.154,-7.278
"Jul 25, 2016",-7.464,-7.309
"Aug 6, 2016",-7.629,-7.326
"Aug 18, 2016",-7.552,-7.326
"Aug 30, 2016",-7.566,-7.311
"Sep 11, 2016",-7.962,-7.28
"Sep 23, 2016",-7.214,-7.236
"Sep 29, 2016",-7.163,-7.209
"Oct 11, 2016",-7.173,-7.148
"Oct 23, 2016",-7.059,-7.079
"Nov 4, 2016",-7.103,-7.005
"Nov 16, 2016",-6.15,-6.93
"Nov 28, 2016",-7.082,-6.857
"Dec 10, 2016",-5.755,-6.788
"Dec 22, 2016",-6.681,-6.726
"Jan 3, 2017",-6.763,-6.673
"Jan 15, 2017",-6.765,-6.631
"Jan 27, 2017",-6.741,-6.601
"Feb 8, 2017",-6.215,-6.584
"Feb 20, 2017",-7.001,-6.581
"Mar 4, 2017",-6.715,-6.591
"Mar 16, 2017",-7.082,-6.614
"Mar 28, 2017",-6.158,-6.649
"Apr 9, 2017",-6.776,-6.695
"May 3, 2017",-7.084,-6.811
"May 15, 2017",-6.756,-6.877
"May 27, 2017",-6.438,-6.944
"Jun 8, 2017",-6.758,-7.009
"Jun 20, 2017",-7.19,-7.07
"Jul 2, 2017",-7.074,-7.122
"Jul 14, 2017",-7.088,-7.165
"Jul 26, 2017",-7.461,-7.194
"Aug 7, 2017",-7.845,-7.209
"Aug 19, 2017",-7.469,-7.209
"Aug 31, 2017",-7.74,-7.193
"Sep 12, 2017",-7.838,-7.162
"Sep 24, 2017",-7.548,-7.118
"Oct 6, 2017",-7.078,-7.063
"Oct 18, 2017",-7.163,-6.999
"Oct 30, 2017",-7.069,-6.928
"Nov 11, 2017",-6.446,-6.856
"Nov 23, 2017",-6.234,-6.783
"Dec 5, 2017",-6.16,-6.713
"Dec 17, 2017",-6.751,-6.649
"Dec 29, 2017",-7.077,-6.594
"Jan 10, 2018",-7.081,-6.548
"Jan 22, 2018",-7.017,-6.513
"Feb 3, 2018",-6.158,-6.491
"Feb 15, 2018",-6.738,-6.482
"Feb 27, 2018",-5.893,-6.486
"Mar 11, 2018",-6.084,-6.503
"Mar 23, 2018",-6.406,-6.533
"Apr 4, 2018",-6.228,-6.573
"Apr 16, 2018",-6.76,-6.623
"Apr 28, 2018",-6.449,-6.68
"May 10, 2018",-6.769,-6.743
"May 22, 2018",-6.438,-6.808
"Jun 3, 2018",-6.381,-6.873
"Jun 15, 2018",-6.748,-6.934
"Jun 27, 2018",-6.965,-6.99
"Jul 9, 2018",-6.859,-7.036
"Jul 21, 2018",-6.757,-7.07
"Aug 2, 2018",-6.45,-7.091
"Aug 14, 2018",-6.76,-7.098
"Aug 26, 2018",-7.067,-7.089
"Sep 7, 2018",-7.171,-7.065
"Sep 19, 2018",-6.456,-7.027
"Oct 1, 2018",-6.831,-6.978
"Oct 13, 2018",-7.1,-6.919
"Oct 25, 2018",-6.449,-6.852
"Nov 6, 2018",-6.298,-6.782
"Nov 18, 2018",-6.447,-6.711
"Nov 30, 2018",-6.834,-6.641
"Dec 12, 2018",-6.801,-6.576
"Dec 24, 2018",-7.11,-6.518
"Jan 5, 2019",-6.438,-6.468
"Jan 17, 2019",-6.775,-6.43
"Jan 29, 2019",-7.017,-6.403
"Feb 10, 2019",-6.85,-6.388
"Feb 22, 2019",-6.78,-6.387
"Mar 6, 2019",-7.073,-6.398
"Mar 18, 2019",-6.682,-6.421
"Mar 30, 2019",-7.066,-6.456
"Apr 11, 2019",-6.763,-6.501
"Apr 23, 2019",-6.83,-6.554
"May 5, 2019",-6.775,-6.614
"May 17, 2019",-6.375,-6.677
"May 29, 2019",-6.739,-6.74
"Jun 10, 2019",-7.566,-6.802
"Jun 22, 2019",-7.551,-6.859
"Jul 4, 2019",-7.189,-6.908
"Jul 16, 2019",-7.482,-6.947
"Jul 28, 2019",-7.853,-6.973
"Aug 9, 2019",-7.724,-6.986
"Aug 21, 2019",-7.843,-6.984
"Sep 2, 2019",-7.752,-6.967
"Sep 14, 2019",-7.552,-6.936
"Sep 26, 2019",-7.835,-6.892
"Oct 8, 2019",-7.546,-6.838
"Oct 20, 2019",-7.536,-6.776
"Nov 1, 2019",-7.186,-6.709
"Nov 13, 2019",-7.083,-6.64
"Nov 25, 2019",-6.362,-6.57
"Dec 19, 2019",-6.75,-6.444
"Dec 31, 2019",-6.831,-6.392
"Jan 12, 2020",-6.755,-6.35
"Jan 24, 2020",-5.879,-6.318
"Feb 5, 2020",-6.793,-6.298
"Feb 17, 2020",-6.778,-6.291
"Feb 29, 2020",-5.953,-6.297
"Mar 12, 2020",-6.761,-6.315
"Mar 24, 2020",-6.271,-6.344
"Apr 5, 2020",-6.553,-6.384
"Apr 17, 2020",-6.806,-6.433
"Apr 29, 2020",-6.642,-6.489
"May 11, 2020",-7.122,-6.549
"May 23, 2020",-6.441,-6.611
"Jun 4, 2020",-6.246,-6.673
"Jun 16, 2020",-6.433,-6.731
"Jun 28, 2020",-6.141,-6.782
"Jul 10, 2020",-6.151,-6.825
"Jul 22, 2020",-6.267,-6.856
"Aug 3, 2020",-6.556,-6.874
"Aug 15, 2020",-6.529,-6.879
"Aug 27, 2020",-6.518,-6.868
"Sep 8, 2020",-6.63,-6.844
"Sep 20, 2020",-6.775,-6.807
"Oct 2, 2020",-6.717,-6.758
"Oct 14, 2020",-6.522,-6.701
"Oct 26, 2020",-5.729,-6.637
"Nov 7, 2020",-6.163,-6.57
"Nov 19, 2020",-5.893,-6.502
"Dec 1, 2020",-6.412,-6.435
"Dec 13, 2020",-6.127,-6.374
"Dec 25, 2020",-5.778,-6.319
"Jan 6, 2021",-6.062,-6.273
"Jan 18, 2021",-6.526,-6.237
"Jan 30, 2021",-6.669,-6.213
"Feb 11, 2021",-6.216,-6.201
"Feb 23, 2021",-5.796,-6.201
"Mar 7, 2021",-5.851,-6.213
"Mar 19, 2021",-6.41,-6.237
"Mar 31, 2021",-6.463,-6.272
"Apr 12, 2021",-6.259,-6.316
"Apr 24, 2021",-6.136,-6.368
"May 6, 2021",-6.39,-6.425
"May 18, 2021",-6.416,-6.485
"May 30, 2021",-6.367,-6.546
"Jun 11, 2021",-6.34,-6.605
"Jun 23, 2021",-6.565,-6.658
"Jul 5, 2021",-6.84,-6.704
"Jul 17, 2021",-6.701,-6.739
"Jul 29, 2021",-6.837,-6.763
"Aug 10, 2021",-6.837,-6.773
"Aug 22, 2021",-6.989,-6.769
"Sep 3, 2021",-6.989,-6.751
"Sep 15, 2021",-6.821,-6.72
"Sep 27, 2021",-6.897,-6.678
"Oct 9, 2021",-6.801,-6.625
"Oct 21, 2021",-6.15,-6.565
"Nov 2, 2021",-6.124,-6.5
"Nov 14, 2021",-6.178,-6.434
"Nov 26, 2021",-6.229,-6.368
"Dec 8, 2021",-5.886,-6.306
"Dec 20, 2021",-6.123,-6.249
