system:time_start,RVI_median,fitted
"Jan 10, 2016",-0.116,-0.787
"Jan 22, 2016",-0.241,-0.841
"Feb 3, 2016",-0.654,-0.894
"Feb 3, 2016",-0.665,-0.894
"Feb 15, 2016",-0.814,-0.945
"Feb 27, 2016",-0.764,-0.992
"Mar 10, 2016",-0.623,-1.032
"Apr 3, 2016",-0.695,-1.086
"Apr 15, 2016",-0.605,-1.098
"Apr 27, 2016",-0.564,-1.099
"May 9, 2016",-0.462,-1.09
"May 21, 2016",-0.362,-1.07
"Jun 2, 2016",-0.307,-1.043
"Jun 14, 2016",-0.236,-1.008
"Jul 8, 2016",-0.383,-0.924
"Jul 20, 2016",-0.249,-0.88
"Aug 1, 2016",-0.584,-0.836
"Aug 13, 2016",-0.293,-0.796
"Aug 25, 2016",-0.257,-0.761
"Sep 6, 2016",-0.339,-0.732
"Sep 18, 2016",-0.008,-0.711
"Oct 6, 2016",-0.513,-0.696
"Oct 18, 2016",-0.435,-0.698
"Oct 30, 2016",-0.417,-0.71
"Nov 11, 2016",-0.781,-0.731
"Nov 23, 2016",-1.024,-0.762
"Dec 5, 2016",-1.077,-0.801
"Dec 17, 2016",-0.971,-0.846
"Dec 29, 2016",-1.324,-0.897
"Jan 10, 2017",-1.29,-0.952
"Jan 22, 2017",-1.42,-1.008
"Feb 3, 2017",-1.358,-1.063
"Feb 15, 2017",-1.108,-1.116
"Feb 27, 2017",-1.451,-1.164
"Mar 11, 2017",-1.584,-1.205
"Mar 23, 2017",-1.268,-1.238
"Apr 4, 2017",-1.524,-1.26
"Apr 16, 2017",-1.221,-1.272
"Apr 28, 2017",-0.874,-1.272
"May 10, 2017",-1.405,-1.262
"May 22, 2017",-0.783,-1.241
"Jun 3, 2017",-1.322,-1.212
"Jun 15, 2017",-1.346,-1.175
"Jun 27, 2017",-1.067,-1.133
"Jul 9, 2017",-1.142,-1.088
"Jul 21, 2017",-1.535,-1.042
"Aug 2, 2017",-1.377,-0.997
"Aug 14, 2017",-1.403,-0.955
"Sep 7, 2017",-1.328,-0.89
"Sep 19, 2017",-0.826,-0.868
"Oct 1, 2017",-0.959,-0.856
"Oct 13, 2017",-0.982,-0.854
"Oct 25, 2017",-0.692,-0.862
"Nov 6, 2017",-0.614,-0.88
"Nov 18, 2017",-1.045,-0.908
"Nov 30, 2017",-0.915,-0.944
"Dec 12, 2017",-0.775,-0.988
"Dec 24, 2017",-1.123,-1.039
"Jan 5, 2018",-1.198,-1.094
"Jan 17, 2018",-1.369,-1.152
"Jan 29, 2018",-1.417,-1.21
"Feb 10, 2018",-1.464,-1.267
"Feb 22, 2018",-1.563,-1.319
"Mar 6, 2018",-1.51,-1.365
"Mar 18, 2018",-1.598,-1.403
"Mar 30, 2018",-1.737,-1.432
"Apr 11, 2018",-1.566,-1.449
"Apr 23, 2018",-1.733,-1.454
"May 5, 2018",-1.589,-1.448
"May 17, 2018",-1.955,-1.432
"May 29, 2018",-1.71,-1.405
"Jun 10, 2018",-1.821,-1.369
"Jun 22, 2018",-2.039,-1.328
"Jul 4, 2018",-1.967,-1.282
"Jul 16, 2018",-1.773,-1.234
"Jul 28, 2018",-1.938,-1.187
"Aug 9, 2018",-1.384,-1.142
"Aug 21, 2018",-1.847,-1.101
"Sep 2, 2018",-1.593,-1.067
"Sep 14, 2018",-1.733,-1.041
"Sep 26, 2018",-1.646,-1.025
"Oct 8, 2018",-1.339,-1.018
"Oct 20, 2018",-1.088,-1.021
"Nov 1, 2018",-1.266,-1.035
"Nov 13, 2018",-1.211,-1.06
"Nov 25, 2018",-1.28,-1.094
"Dec 7, 2018",-1.415,-1.137
"Dec 19, 2018",-1.696,-1.187
"Dec 31, 2018",-1.452,-1.242
"Jan 12, 2019",-1.745,-1.302
"Jan 24, 2019",-1.569,-1.362
"Feb 5, 2019",-1.759,-1.422
"Feb 17, 2019",-1.443,-1.479
"Mar 1, 2019",-1.875,-1.53
"Mar 13, 2019",-1.772,-1.574
"Mar 25, 2019",-1.823,-1.608
"Apr 6, 2019",-1.887,-1.631
"Apr 30, 2019",-1.785,-1.641
"May 12, 2019",-1.86,-1.628
"May 24, 2019",-2.024,-1.605
"Jun 5, 2019",-1.737,-1.572
"Jun 17, 2019",-1.792,-1.531
"Jul 11, 2019",-1.786,-1.435
"Jul 23, 2019",-1.842,-1.385
"Aug 4, 2019",-1.948,-1.337
"Aug 16, 2019",-1.635,-1.293
"Aug 28, 2019",-1.519,-1.254
"Sep 9, 2019",-1.749,-1.224
"Sep 21, 2019",-1.311,-1.202
"Oct 3, 2019",-1.467,-1.19
"Oct 15, 2019",-1.322,-1.189
"Oct 27, 2019",-1.278,-1.199
"Nov 8, 2019",-1.211,-1.22
"Nov 20, 2019",-0.971,-1.251
"Dec 2, 2019",-1.143,-1.291
"Dec 14, 2019",-1.647,-1.34
"Dec 26, 2019",-1.477,-1.396
"Jan 7, 2020",-1.372,-1.456
"Jan 19, 2020",-1.822,-1.519
"Jan 25, 2020",-1.378,-1.551
"Jan 31, 2020",-1.898,-1.583
"Feb 12, 2020",-1.788,-1.644
"Feb 24, 2020",-1.744,-1.7
"Mar 7, 2020",-1.542,-1.749
"Mar 19, 2020",-1.967,-1.789
"Mar 31, 2020",-2.029,-1.819
"Apr 12, 2020",-1.953,-1.836
"Apr 24, 2020",-2.082,-1.841
"May 6, 2020",-2.048,-1.832
"May 18, 2020",-2.131,-1.813
"May 30, 2020",-2.19,-1.782
"Jun 11, 2020",-1.97,-1.742
"Jun 23, 2020",-2.156,-1.696
"Jul 5, 2020",-1.979,-1.646
"Jul 17, 2020",-2.055,-1.594
"Jul 29, 2020",-2.109,-1.542
"Aug 10, 2020",-1.926,-1.494
"Aug 22, 2020",-1.559,-1.451
"Sep 3, 2020",-1.606,-1.415
"Sep 15, 2020",-1.289,-1.388
"Sep 27, 2020",-1.559,-1.371
"Oct 9, 2020",-1.068,-1.365
"Oct 21, 2020",-0.979,-1.371
"Nov 2, 2020",-1.177,-1.387
"Nov 14, 2020",-1.561,-1.415
"Nov 26, 2020",-1.838,-1.453
"Dec 20, 2020",-1.646,-1.556
"Jan 1, 2021",-1.518,-1.617
"Jan 13, 2021",-1.279,-1.682
"Jan 25, 2021",-1.264,-1.749
"Feb 6, 2021",-0.909,-1.814
"Feb 18, 2021",-1.326,-1.875
"Mar 2, 2021",-1.661,-1.93
"Mar 14, 2021",-1.736,-1.977
"Mar 26, 2021",-1.863,-2.013
"Apr 7, 2021",-1.956,-2.036
"Apr 19, 2021",-2.083,-2.047
"May 1, 2021",-2.027,-2.044
"May 13, 2021",-1.943,-2.029
"May 25, 2021",-1.494,-2.001
"Jun 6, 2021",-1.772,-1.964
"Jun 18, 2021",-1.202,-1.918
"Jun 30, 2021",-1.177,-1.867
"Jul 12, 2021",-1.187,-1.813
"Jul 24, 2021",-1.088,-1.758
"Aug 5, 2021",-0.874,-1.706
"Aug 17, 2021",-0.958,-1.659
"Aug 29, 2021",-0.951,-1.618
"Sep 10, 2021",-1.188,-1.585
"Sep 22, 2021",-0.885,-1.563
"Oct 4, 2021",-0.707,-1.552
"Oct 16, 2021",-1.168,-1.552
"Oct 28, 2021",-1.111,-1.564
"Nov 9, 2021",-1.535,-1.588
"Nov 21, 2021",-1.348,-1.624
"Dec 3, 2021",-1.635,-1.669
"Dec 15, 2021",-1.632,-1.723
