system:time_start,VH_median,fitted
"Jan 10, 2016",-12.495,-12.862
"Jan 22, 2016",-11.483,-12.908
"Feb 3, 2016",-12.553,-12.965
"Feb 3, 2016",-12.555,-12.965
"Feb 15, 2016",-12.677,-13.032
"Feb 27, 2016",-12.976,-13.105
"Mar 10, 2016",-13.439,-13.182
"Apr 3, 2016",-13.485,-13.337
"Apr 15, 2016",-13.698,-13.408
"Apr 27, 2016",-13.779,-13.47
"May 9, 2016",-13.96,-13.52
"May 21, 2016",-13.401,-13.556
"Jun 2, 2016",-13.499,-13.576
"Jun 14, 2016",-13.689,-13.579
"Jul 8, 2016",-13.192,-13.536
"Jul 20, 2016",-13.559,-13.492
"Aug 1, 2016",-13.609,-13.436
"Aug 13, 2016",-13.828,-13.371
"Aug 25, 2016",-14.014,-13.3
"Sep 6, 2016",-13.262,-13.226
"Sep 18, 2016",-13.451,-13.154
"Oct 6, 2016",-13.04,-13.053
"Oct 18, 2016",-13.167,-12.996
"Oct 30, 2016",-12.158,-12.949
"Nov 11, 2016",-12.766,-12.913
"Nov 23, 2016",-12.956,-12.891
"Dec 5, 2016",-12.997,-12.884
"Dec 17, 2016",-12.57,-12.89
"Dec 29, 2016",-13.483,-12.911
"Jan 10, 2017",-13.583,-12.946
"Jan 22, 2017",-13.756,-12.994
"Feb 3, 2017",-13.58,-13.053
"Feb 15, 2017",-12.552,-13.121
"Feb 27, 2017",-13.437,-13.196
"Mar 11, 2017",-13.917,-13.275
"Mar 23, 2017",-13.679,-13.355
"Apr 4, 2017",-13.963,-13.433
"Apr 16, 2017",-14.156,-13.505
"Apr 28, 2017",-12.974,-13.567
"May 10, 2017",-13.46,-13.618
"May 22, 2017",-12.189,-13.654
"Jun 3, 2017",-13.658,-13.673
"Jun 15, 2017",-13.515,-13.675
"Jun 27, 2017",-12.671,-13.66
"Jul 9, 2017",-12.807,-13.629
"Jul 21, 2017",-13.652,-13.583
"Aug 2, 2017",-13.15,-13.525
"Aug 14, 2017",-13.968,-13.458
"Sep 7, 2017",-13.911,-13.31
"Sep 19, 2017",-12.667,-13.237
"Oct 1, 2017",-13.324,-13.167
"Oct 13, 2017",-13.583,-13.105
"Oct 25, 2017",-12.679,-13.052
"Nov 6, 2017",-11.998,-13.01
"Nov 18, 2017",-13.059,-12.982
"Nov 30, 2017",-13.039,-12.967
"Dec 12, 2017",-12.19,-12.968
"Dec 24, 2017",-12.997,-12.983
"Jan 5, 2018",-13.234,-13.012
"Jan 17, 2018",-13.465,-13.055
