system:time_start,VV_median,fitted
"Jan 10, 2016",-7.583,-7.048
"Jan 22, 2016",-6.43,-7.022
"Feb 3, 2016",-6.932,-7.008
"Feb 3, 2016",-6.914,-7.008
"Feb 15, 2016",-6.89,-7.006
"Feb 27, 2016",-7.216,-7.017
"Mar 10, 2016",-7.889,-7.039
"Apr 3, 2016",-7.837,-7.115
"Apr 15, 2016",-8.163,-7.165
"Apr 27, 2016",-8.328,-7.221
"May 9, 2016",-8.653,-7.28
"May 21, 2016",-8.143,-7.34
"Jun 2, 2016",-8.386,-7.397
"Jun 14, 2016",-8.626,-7.45
"Jul 8, 2016",-7.921,-7.53
"Jul 20, 2016",-8.48,-7.553
"Aug 1, 2016",-8.082,-7.563
"Aug 13, 2016",-8.685,-7.559
"Aug 25, 2016",-8.941,-7.541
"Sep 6, 2016",-8.032,-7.51
"Sep 18, 2016",-8.653,-7.467
"Oct 6, 2016",-7.638,-7.385
"Oct 18, 2016",-7.769,-7.322
"Oct 30, 2016",-6.862,-7.255
"Nov 11, 2016",-7.055,-7.188
"Nov 23, 2016",-6.893,-7.123
"Dec 5, 2016",-6.891,-7.062
"Dec 17, 2016",-6.551,-7.008
"Dec 29, 2016",-6.996,-6.962
"Jan 10, 2017",-7.124,-6.926
"Jan 22, 2017",-7.099,-6.901
"Feb 3, 2017",-7.081,-6.888
"Feb 15, 2017",-6.354,-6.888
"Feb 27, 2017",-6.83,-6.899
"Mar 11, 2017",-7.147,-6.921
"Mar 23, 2017",-7.213,-6.954
"Apr 4, 2017",-7.216,-6.996
"Apr 16, 2017",-7.772,-7.045
"Apr 28, 2017",-7.061,-7.1
"May 10, 2017",-6.931,-7.157
"May 22, 2017",-6.389,-7.215
"Jun 3, 2017",-7.171,-7.271
"Jun 15, 2017",-7.035,-7.321
"Jun 27, 2017",-6.474,-7.365
"Jul 9, 2017",-6.582,-7.398
"Jul 21, 2017",-6.976,-7.42
"Aug 2, 2017",-6.701,-7.429
"Aug 14, 2017",-7.397,-7.424
"Sep 7, 2017",-7.438,-7.375
"Sep 19, 2017",-6.867,-7.332
"Oct 1, 2017",-7.325,-7.28
"Oct 13, 2017",-7.539,-7.221
"Oct 25, 2017",-7.03,-7.158
"Nov 6, 2017",-6.462,-7.093
"Nov 18, 2017",-6.977,-7.028
"Nov 30, 2017",-7.038,-6.967
"Dec 12, 2017",-6.355,-6.911
"Dec 24, 2017",-6.771,-6.862
"Jan 5, 2018",-6.932,-6.823
"Jan 17, 2018",-6.934,-6.794
"Jan 29, 2018",-7.037,-6.777
"Feb 10, 2018",-6.285,-6.771
"Feb 22, 2018",-6.827,-6.777
"Mar 6, 2018",-6.954,-6.794
"Mar 18, 2018",-6.4,-6.821
"Mar 30, 2018",-6.44,-6.858
"Apr 11, 2018",-6.357,-6.903
"Apr 23, 2018",-6.713,-6.955
"May 5, 2018",-6.401,-7.01
"May 17, 2018",-6.239,-7.066
"May 29, 2018",-6.478,-7.121
"Jun 10, 2018",-6.886,-7.173
"Jun 22, 2018",-6.746,-7.218
"Jul 4, 2018",-6.471,-7.255
"Jul 16, 2018",-6.469,-7.281
"Jul 28, 2018",-6.809,-7.296
"Aug 9, 2018",-6.389,-7.297
"Aug 21, 2018",-6.991,-7.285
"Sep 2, 2018",-7.038,-7.26
"Sep 14, 2018",-7.124,-7.223
"Sep 26, 2018",-6.944,-7.177
"Oct 8, 2018",-6.616,-7.122
"Oct 20, 2018",-6.468,-7.062
"Nov 1, 2018",-6.435,-6.999
"Nov 13, 2018",-6.247,-6.936
"Nov 25, 2018",-6.575,-6.874
"Dec 7, 2018",-6.979,-6.817
"Dec 19, 2018",-6.85,-6.767
"Dec 31, 2018",-6.326,-6.725
"Jan 12, 2019",-6.572,-6.692
"Jan 24, 2019",-6.495,-6.67
"Feb 5, 2019",-6.943,-6.659
"Feb 17, 2019",-6.466,-6.66
"Mar 1, 2019",-6.932,-6.672
"Mar 13, 2019",-6.392,-6.694
"Mar 25, 2019",-7.104,-6.727
"Apr 6, 2019",-6.792,-6.767
"Apr 30, 2019",-6.861,-6.867
"May 12, 2019",-7.079,-6.922
"May 24, 2019",-6.279,-6.976
"Jun 5, 2019",-7.436,-7.028
"Jun 17, 2019",-6.585,-7.075
"Jul 11, 2019",-7.421,-7.145
"Jul 23, 2019",-6.54,-7.164
"Aug 4, 2019",-6.991,-7.171
"Aug 16, 2019",-7.537,-7.165
"Aug 28, 2019",-7.443,-7.146
"Sep 9, 2019",-7.13,-7.115
"Sep 21, 2019",-7.661,-7.074
"Oct 3, 2019",-7.442,-7.024
"Oct 15, 2019",-7.155,-6.968
"Oct 27, 2019",-6.901,-6.907
"Nov 8, 2019",-7.716,-6.846
"Nov 20, 2019",-6.361,-6.785
"Dec 2, 2019",-6.397,-6.727
"Dec 14, 2019",-6.811,-6.675
"Dec 26, 2019",-6.47,-6.63
"Jan 7, 2020",-6.554,-6.594
"Jan 19, 2020",-7.104,-6.568
"Jan 25, 2020",-6.285,-6.559
"Jan 31, 2020",-6.514,-6.553
"Feb 12, 2020",-6.952,-6.548
"Feb 24, 2020",-7.039,-6.555
"Mar 7, 2020",-6.545,-6.573
"Mar 19, 2020",-6.421,-6.6
"Mar 31, 2020",-6.496,-6.637
"Apr 12, 2020",-6.849,-6.68
"Apr 24, 2020",-6.549,-6.729
"May 6, 2020",-6.662,-6.782
"May 18, 2020",-6.176,-6.835
"May 30, 2020",-6.586,-6.887
"Jun 11, 2020",-6.456,-6.935
"Jun 23, 2020",-6.283,-6.977
"Jul 5, 2020",-6.234,-7.011
"Jul 17, 2020",-6.455,-7.034
"Jul 29, 2020",-6.278,-7.046
"Aug 10, 2020",-6.737,-7.046
"Aug 22, 2020",-7.471,-7.033
"Sep 3, 2020",-7.241,-7.008
"Sep 15, 2020",-7.724,-6.972
"Sep 27, 2020",-6.544,-6.927
"Oct 9, 2020",-7.352,-6.875
"Oct 21, 2020",-6.351,-6.817
"Nov 2, 2020",-6.624,-6.757
"Nov 14, 2020",-6.692,-6.697
"Nov 26, 2020",-6.039,-6.64
"Dec 20, 2020",-6.829,-6.539
"Jan 1, 2021",-7.371,-6.5
"Jan 13, 2021",-7.862,-6.47
"Jan 25, 2021",-6.701,-6.451
"Feb 6, 2021",-7.075,-6.442
"Feb 18, 2021",-6.062,-6.444
"Mar 2, 2021",-6.178,-6.456
"Mar 14, 2021",-6.457,-6.479
