system:time_start,VH_median,fitted
"Jan 6, 2019",-13.241,-13.13
"Jan 18, 2019",-13.232,-13.156
"Jan 30, 2019",-12.813,-13.183
"Feb 11, 2019",-13.238,-13.209
"Feb 23, 2019",-13.142,-13.233
"Mar 7, 2019",-13.245,-13.255
"Mar 19, 2019",-13.802,-13.273
"Mar 31, 2019",-13.428,-13.287
"Apr 12, 2019",-13.254,-13.295
"Apr 24, 2019",-13.07,-13.299
"May 6, 2019",-12.833,-13.298
"May 18, 2019",-13.337,-13.291
"May 30, 2019",-12.745,-13.279
"Jun 11, 2019",-12.988,-13.264
"Jun 23, 2019",-13.077,-13.245
"Jul 5, 2019",-13.61,-13.224
"Jul 17, 2019",-13.92,-13.201
"Jul 29, 2019",-12.91,-13.178
"Aug 10, 2019",-12.986,-13.155
"Aug 22, 2019",-12.905,-13.134
"Sep 3, 2019",-13.246,-13.116
"Sep 15, 2019",-13.545,-13.102
"Sep 27, 2019",-13.063,-13.091
"Oct 9, 2019",-13.158,-13.085
"Oct 21, 2019",-13.071,-13.084
"Nov 2, 2019",-12.66,-13.088
"Nov 14, 2019",-13.149,-13.097
"Nov 26, 2019",-13.5,-13.111
"Dec 8, 2019",-12.822,-13.129
"Dec 20, 2019",-13.528,-13.15
"Jan 1, 2020",-12.907,-13.175
"Jan 13, 2020",-13.42,-13.201
"Feb 6, 2020",-13.239,-13.254
"Feb 18, 2020",-12.975,-13.28
"Mar 1, 2020",-13.631,-13.303
"Mar 13, 2020",-12.902,-13.323
"Mar 25, 2020",-13.7,-13.339
"Apr 6, 2020",-12.985,-13.35
"Apr 18, 2020",-12.814,-13.356
"Apr 30, 2020",-13.399,-13.357
"May 12, 2020",-13.841,-13.353
"May 24, 2020",-13.252,-13.343
"Jun 5, 2020",-13.359,-13.329
"Jun 17, 2020",-13.07,-13.311
"Jun 29, 2020",-13.428,-13.29
"Jul 11, 2020",-13.256,-13.268
"Jul 23, 2020",-13.827,-13.244
"Aug 4, 2020",-13.516,-13.221
"Aug 16, 2020",-12.893,-13.199
"Aug 28, 2020",-13.077,-13.18
"Sep 9, 2020",-13.249,-13.163
"Sep 21, 2020",-13.515,-13.151
"Oct 15, 2020",-13.138,-13.14
"Oct 27, 2020",-13.445,-13.141
"Nov 8, 2020",-12.903,-13.148
"Nov 20, 2020",-12.802,-13.16
"Dec 2, 2020",-13.498,-13.176
"Dec 14, 2020",-13.529,-13.197
"Dec 26, 2020",-13.402,-13.22
"Jan 7, 2021",-13.361,-13.246
"Jan 19, 2021",-13.347,-13.273
"Jan 31, 2021",-13.454,-13.3
"Feb 12, 2021",-13.516,-13.327
"Feb 24, 2021",-13.521,-13.351
"Mar 8, 2021",-13.818,-13.373
"Mar 20, 2021",-13.155,-13.391
"Apr 1, 2021",-13.939,-13.405
"Apr 13, 2021",-13.748,-13.413
"Apr 25, 2021",-13.322,-13.416
"May 7, 2021",-13.332,-13.414
"Aug 23, 2021",-13.323,-13.245
"Sep 4, 2021",-13.076,-13.227
"Sep 16, 2021",-13.255,-13.212
"Sep 28, 2021",-13.248,-13.202
"Oct 10, 2021",-12.743,-13.196
"Oct 22, 2021",-13.157,-13.196
"Nov 3, 2021",-12.995,-13.201
"Nov 15, 2021",-13.337,-13.211
"Nov 27, 2021",-13.308,-13.225
"Dec 9, 2021",-12.823,-13.244
"Dec 21, 2021",-12.678,-13.267
