system:time_start,VH_median,fitted
"Jan 5, 2019",-12.799,-13.221
"Jan 17, 2019",-13.54,-13.25
"Jan 29, 2019",-13.601,-13.291
"Feb 10, 2019",-13.441,-13.341
"Feb 22, 2019",-13.453,-13.399
"Mar 6, 2019",-13.499,-13.463
"Mar 18, 2019",-13.274,-13.528
"Mar 30, 2019",-13.742,-13.593
"Apr 11, 2019",-13.503,-13.654
"Apr 23, 2019",-13.539,-13.707
"May 5, 2019",-13.5,-13.751
"May 17, 2019",-13.004,-13.781
"May 29, 2019",-13.693,-13.797
"Jun 10, 2019",-14.061,-13.797
"Jun 22, 2019",-13.901,-13.781
"Jul 4, 2019",-13.952,-13.749
"Jul 16, 2019",-14.177,-13.703
"Jul 28, 2019",-14.169,-13.644
"Aug 9, 2019",-13.795,-13.576
"Aug 21, 2019",-13.691,-13.501
"Sep 2, 2019",-13.647,-13.422
"Sep 14, 2019",-13.181,-13.342
"Sep 26, 2019",-13.278,-13.265
"Oct 8, 2019",-13.003,-13.194
"Oct 20, 2019",-13.116,-13.13
"Nov 1, 2019",-13.051,-13.075
"Nov 13, 2019",-13.177,-13.032
"Nov 25, 2019",-12.606,-13.002
"Dec 19, 2019",-13.644,-12.981
"Dec 31, 2019",-13.649,-12.99
"Jan 12, 2020",-13.646,-13.013
"Jan 24, 2020",-12.454,-13.046
"Feb 5, 2020",-13.635,-13.09
"Feb 17, 2020",-13.542,-13.143
"Feb 29, 2020",-12.386,-13.201
"Mar 12, 2020",-13.318,-13.262
"Mar 24, 2020",-13.083,-13.325
"Apr 5, 2020",-13.354,-13.384
"Apr 17, 2020",-13.446,-13.438
"Apr 29, 2020",-13.593,-13.483
"May 11, 2020",-14.11,-13.518
"May 23, 2020",-13.311,-13.539
"Jun 4, 2020",-13.221,-13.546
"Jun 16, 2020",-13.178,-13.537
"Jun 28, 2020",-13.408,-13.514
"Jul 10, 2020",-13.128,-13.476
"Jul 22, 2020",-13.227,-13.425
"Aug 3, 2020",-13.499,-13.364
"Aug 15, 2020",-13.186,-13.295
"Aug 27, 2020",-13.361,-13.222
"Sep 8, 2020",-13.134,-13.146
"Sep 20, 2020",-13.222,-13.072
"Oct 2, 2020",-12.964,-13.001
"Oct 14, 2020",-12.677,-12.937
"Oct 26, 2020",-11.806,-12.881
"Nov 7, 2020",-12.145,-12.835
"Nov 19, 2020",-12.376,-12.801
"Dec 1, 2020",-13.273,-12.779
"Dec 13, 2020",-13.003,-12.77
"Dec 25, 2020",-12.716,-12.773
"Jan 6, 2021",-13.05,-12.789
"Jan 18, 2021",-13.314,-12.817
"Jan 30, 2021",-13.355,-12.855
"Feb 11, 2021",-13.091,-12.901
"Feb 23, 2021",-12.344,-12.954
"Mar 7, 2021",-12.496,-13.012
"Mar 19, 2021",-13.224,-13.071
"Mar 31, 2021",-13.229,-13.129
"Apr 12, 2021",-13.316,-13.183
"Apr 24, 2021",-13.094,-13.229
"May 6, 2021",-13.269,-13.267
"May 18, 2021",-13.407,-13.293
"May 30, 2021",-13.174,-13.305
"Jun 11, 2021",-13.185,-13.303
"Jun 23, 2021",-13.316,-13.287
"Jul 5, 2021",-13.742,-13.257
"Jul 17, 2021",-13.404,-13.214
"Jul 29, 2021",-13.319,-13.16
"Aug 10, 2021",-13.404,-13.098
"Aug 22, 2021",-13.363,-13.03
"Sep 3, 2021",-13.225,-12.959
"Sep 15, 2021",-13.044,-12.887
"Sep 27, 2021",-12.972,-12.818
"Oct 9, 2021",-12.842,-12.754
"Oct 21, 2021",-12.058,-12.697
"Nov 2, 2021",-12.086,-12.649
"Nov 14, 2021",-12.529,-12.611
"Nov 26, 2021",-13.175,-12.585
"Dec 8, 2021",-12.489,-12.571
"Dec 20, 2021",-12.722,-12.569
