"","Date","detrend"
"1",2016-01-10,NA
"2",2016-01-22,-0.00800000000000001
"3",2016-02-03,-0.00700000000000001
"4",2016-02-15,-0.00700000000000001
"5",2016-02-27,-0.00600000000000001
"6",2016-03-10,-0.00600000000000001
"7",2016-04-03,-0.0089999999999999
"8",2016-04-15,-0.003
"9",2016-04-27,-0.001
"10",2016-05-09,0
"11",2016-05-21,0.002
"12",2016-06-02,0.00299999999999989
"13",2016-06-14,0.004
"14",2016-07-08,0.011
"15",2016-07-20,0.00600000000000001
"16",2016-08-01,0.00700000000000001
"17",2016-08-13,0.00600000000000001
"18",2016-08-25,0.00600000000000001
"19",2016-09-06,0.00600000000000001
"20",2016-09-18,0.005
"21",2016-09-30,0.003
"22",2016-10-12,0.002
"23",2016-10-24,0.001
"24",2016-11-05,-0.001
"25",2016-11-17,-0.002
"26",2016-11-29,-0.003
"27",2016-12-11,-0.004
"28",2016-12-23,-0.00600000000000001
"29",2017-01-04,-0.00600000000000001
"30",2017-01-16,-0.00700000000000001
"31",2017-01-28,-0.00800000000000001
"32",2017-02-09,-0.00700000000000001
"33",2017-02-21,-0.00700000000000001
"34",2017-03-05,-0.00600000000000001
"35",2017-03-17,-0.00499999999999989
"36",2017-03-29,-0.005
"37",2017-04-10,-0.003
"38",2017-04-22,-0.002
"39",2017-05-04,0
"40",2017-05-16,0.001
"41",2017-05-28,0.002
"42",2017-06-09,0.004
"43",2017-06-21,0.005
"44",2017-07-03,0.00499999999999989
"45",2017-07-15,0.00700000000000001
"46",2017-07-27,0.00600000000000001
"47",2017-08-08,0.00700000000000001
"48",2017-08-20,0.00600000000000001
"49",2017-09-01,0.00600000000000001
"50",2017-09-13,0.005
"51",2017-09-25,0.004
"52",2017-10-07,0.002
"53",2017-10-19,0.002
"54",2017-10-31,0
"55",2017-11-12,-0.001
"56",2017-11-24,-0.003
"57",2017-12-06,-0.004
"58",2017-12-18,-0.005
"59",2017-12-30,-0.00600000000000001
"60",2018-01-11,-0.00700000000000001
"61",2018-01-23,-0.00700000000000001
"62",2018-02-04,-0.00800000000000001
"63",2018-02-16,-0.0069999999999999
"64",2018-02-28,-0.00600000000000001
"65",2018-03-12,-0.00600000000000001
"66",2018-03-24,-0.005
"67",2018-04-05,-0.004
"68",2018-04-17,-0.002
"69",2018-04-29,-0.001
"70",2018-05-11,0
"71",2018-05-23,0.002
"72",2018-06-04,0.003
"73",2018-06-16,0.005
"74",2018-06-28,0.005
"75",2018-07-10,0.00600000000000001
"76",2018-07-22,0.00599999999999989
"77",2018-08-03,0.00700000000000001
"78",2018-08-15,0.00600000000000001
"79",2018-08-27,0.00600000000000001
"80",2018-09-08,0.00600000000000001
"81",2018-09-20,0.004
"82",2018-10-02,0.003
"83",2018-10-14,0.002
"84",2018-10-26,0.001
"85",2018-11-07,-0.001
"86",2018-11-19,-0.002
"87",2018-12-01,-0.003
"88",2018-12-13,-0.005
"89",2018-12-25,-0.00600000000000001
"90",2019-01-06,-0.00600000000000001
"91",2019-01-18,-0.00700000000000001
"92",2019-01-30,-0.00700000000000001
"93",2019-02-11,-0.0079999999999999
"94",2019-02-23,-0.00600000000000001
"95",2019-03-07,-0.00700000000000001
"96",2019-03-19,-0.005
"97",2019-03-31,-0.004
"98",2019-04-12,-0.003
"99",2019-04-24,-0.002
"100",2019-05-06,0
"101",2019-05-18,0.001
"102",2019-05-30,0.003
"103",2019-06-11,0.004
"104",2019-06-23,0.005
"105",2019-07-05,0.005
"106",2019-07-17,0.00600000000000001
"107",2019-07-29,0.00700000000000001
"108",2019-08-10,0.0069999999999999
"109",2019-08-22,0.00600000000000001
"110",2019-09-03,0.005
"111",2019-09-15,0.005
"112",2019-09-27,0.004
"113",2019-10-09,0.003
"114",2019-10-21,0.001
"115",2019-11-02,0
"116",2019-11-14,-0.002
"117",2019-11-26,-0.003
"118",2019-12-08,-0.004
"119",2019-12-20,-0.005
"120",2020-01-01,-0.00600000000000001
"121",2020-01-13,-0.00700000000000001
"122",2020-02-06,-0.0139999999999999
"123",2020-02-18,-0.00700000000000001
"124",2020-03-01,-0.00700000000000001
"125",2020-03-13,-0.00600000000000001
"126",2020-03-25,-0.004
"127",2020-04-06,-0.004
"128",2020-04-18,-0.002
"129",2020-04-30,-0.001
"130",2020-05-12,0.001
"131",2020-05-24,0.002
"132",2020-06-05,0.003
"133",2020-06-17,0.004
"134",2020-06-29,0.00600000000000001
"135",2020-07-11,0.00600000000000001
"136",2020-07-23,0.00600000000000001
"137",2020-08-04,0.00700000000000001
"138",2020-08-16,0.00600000000000001
"139",2020-08-28,0.00599999999999989
"140",2020-09-09,0.005
"141",2020-09-21,0.005
"142",2020-10-15,0.005
"143",2020-10-27,0
"144",2020-11-08,-0.001
"145",2020-11-20,-0.002
"146",2020-12-02,-0.004
"147",2020-12-14,-0.005
"148",2020-12-26,-0.005
"149",2021-01-07,-0.0069999999999999
"150",2021-01-19,-0.00700000000000001
"151",2021-01-31,-0.00700000000000001
"152",2021-02-12,-0.00700000000000001
"153",2021-02-24,-0.00700000000000001
"154",2021-03-08,-0.00600000000000001
"155",2021-03-20,-0.005
"156",2021-04-01,-0.004
"157",2021-04-13,-0.003
"158",2021-04-25,-0.002
"159",2021-05-07,0
"160",2021-08-23,0.045
"161",2021-09-04,0.005
"162",2021-09-16,0.00499999999999989
"163",2021-09-28,0.004
"164",2021-10-10,0.002
"165",2021-10-22,0.001
"166",2021-11-03,0
"167",2021-11-15,-0.002
"168",2021-11-27,-0.003
"169",2021-12-09,-0.00399999999999989
"170",2021-12-21,-0.00600000000000001
