"","Date","trend"
"1",2016-01-10,-13.23145727842
"2",2016-01-22,-13.2334995126422
"3",2016-02-03,-13.2355417468645
"4",2016-02-15,-13.2375839810867
"5",2016-02-27,-13.2396262153089
"6",2016-03-10,-13.2416684495312
"7",2016-04-03,-13.2457529179756
"8",2016-04-15,-13.2477951521979
"9",2016-04-27,-13.2498373864201
"10",2016-05-09,-13.2518796206423
"11",2016-05-21,-13.2539218548646
"12",2016-06-02,-13.2559640890868
"13",2016-06-14,-13.258006323309
"14",2016-07-08,-13.2620907917535
"15",2016-07-20,-13.2641330259757
"16",2016-08-01,-13.266175260198
"17",2016-08-13,-13.2682174944202
"18",2016-08-25,-13.2702597286424
"19",2016-09-06,-13.2723019628647
"20",2016-09-18,-13.2743441970869
"21",2016-09-30,-13.2763864313091
"22",2016-10-12,-13.2784286655314
"23",2016-10-24,-13.2804708997536
"24",2016-11-05,-13.2825131339758
"25",2016-11-17,-13.2845553681981
"26",2016-11-29,-13.2865976024203
"27",2016-12-11,-13.2886398366425
"28",2016-12-23,-13.2906820708647
"29",2017-01-04,-13.292724305087
"30",2017-01-16,-13.2947665393092
"31",2017-01-28,-13.2968087735314
"32",2017-02-09,-13.2988510077537
"33",2017-02-21,-13.3008932419759
"34",2017-03-05,-13.3029354761981
"35",2017-03-17,-13.3049777104204
"36",2017-03-29,-13.3070199446426
"37",2017-04-10,-13.3090621788648
"38",2017-04-22,-13.3111044130871
"39",2017-05-04,-13.3131466473093
"40",2017-05-16,-13.3151888815315
"41",2017-05-28,-13.3172311157538
"42",2017-06-09,-13.319273349976
"43",2017-06-21,-13.3213155841982
"44",2017-07-03,-13.3233578184205
"45",2017-07-15,-13.3254000526427
"46",2017-07-27,-13.3274422868649
"47",2017-08-08,-13.3294845210872
"48",2017-08-20,-13.3315267553094
"49",2017-09-01,-13.3335689895316
"50",2017-09-13,-13.3356112237539
"51",2017-09-25,-13.3376534579761
"52",2017-10-07,-13.3396956921983
"53",2017-10-19,-13.3417379264206
"54",2017-10-31,-13.3437801606428
"55",2017-11-12,-13.345822394865
"56",2017-11-24,-13.3478646290873
"57",2017-12-06,-13.3499068633095
"58",2017-12-18,-13.3519490975317
"59",2017-12-30,-13.353991331754
"60",2018-01-11,-13.3560335659762
"61",2018-01-23,-13.3580758001984
"62",2018-02-04,-13.3601180344207
"63",2018-02-16,-13.3621602686429
"64",2018-02-28,-13.3642025028651
"65",2018-03-12,-13.3662447370874
"66",2018-03-24,-13.3682869713096
"67",2018-04-05,-13.3703292055318
"68",2018-04-17,-13.3723714397541
"69",2018-04-29,-13.3744136739763
"70",2018-05-11,-13.3764559081985
"71",2018-05-23,-13.3784981424208
"72",2018-06-04,-13.380540376643
"73",2018-06-16,-13.3825826108652
"74",2018-06-28,-13.3846248450875
"75",2018-07-10,-13.3866670793097
"76",2018-07-22,-13.3887093135319
"77",2018-08-03,-13.3907515477542
"78",2018-08-15,-13.3927937819764
"79",2018-08-27,-13.3948360161986
"80",2018-09-08,-13.3968782504208
"81",2018-09-20,-13.3989204846431
"82",2018-10-02,-13.4009627188653
"83",2018-10-14,-13.4030049530875
"84",2018-10-26,-13.4050471873098
"85",2018-11-07,-13.407089421532
"86",2018-11-19,-13.4091316557542
"87",2018-12-01,-13.4111738899765
"88",2018-12-13,-13.4132161241987
"89",2018-12-25,-13.4152583584209
"90",2019-01-06,-13.4173005926432
"91",2019-01-18,-13.4193428268654
"92",2019-01-30,-13.4213850610876
"93",2019-02-11,-13.4234272953099
"94",2019-02-23,-13.4254695295321
"95",2019-03-07,-13.4275117637543
"96",2019-03-19,-13.4295539979766
"97",2019-03-31,-13.4315962321988
"98",2019-04-12,-13.433638466421
"99",2019-04-24,-13.4356807006433
"100",2019-05-06,-13.4377229348655
"101",2019-05-18,-13.4397651690877
"102",2019-05-30,-13.44180740331
"103",2019-06-11,-13.4438496375322
"104",2019-06-23,-13.4458918717544
"105",2019-07-05,-13.4479341059767
"106",2019-07-17,-13.4499763401989
"107",2019-07-29,-13.4520185744211
"108",2019-08-10,-13.4540608086434
"109",2019-08-22,-13.4561030428656
"110",2019-09-03,-13.4581452770878
"111",2019-09-15,-13.4601875113101
"112",2019-09-27,-13.4622297455323
"113",2019-10-09,-13.4642719797545
"114",2019-10-21,-13.4663142139768
"115",2019-11-02,-13.468356448199
"116",2019-11-14,-13.4703986824212
