system:time_start,VV_median,fitted
"Jan 10, 2016",-7.304,-7.337
"Jan 22, 2016",-6.388,-7.306
"Feb 3, 2016",-7.445,-7.283
"Feb 3, 2016",-7.443,-7.283
"Feb 15, 2016",-7.265,-7.27
"Feb 27, 2016",-7.55,-7.267
"Mar 10, 2016",-7.446,-7.273
"Apr 3, 2016",-7.607,-7.316
"Apr 15, 2016",-7.795,-7.349
"Apr 27, 2016",-7.547,-7.389
"May 9, 2016",-7.946,-7.435
"May 21, 2016",-7.106,-7.483
"Jun 2, 2016",-7.955,-7.532
"Jun 14, 2016",-7.581,-7.58
"Jul 8, 2016",-7.615,-7.664
"Jul 20, 2016",-7.548,-7.697
"Aug 1, 2016",-7.746,-7.721
"Aug 13, 2016",-7.605,-7.737
"Aug 25, 2016",-8.276,-7.743
"Sep 6, 2016",-8.078,-7.738
"Sep 18, 2016",-8.363,-7.724
"Sep 30, 2016",-7.488,-7.7
"Oct 12, 2016",-7.165,-7.668
"Oct 24, 2016",-7.696,-7.63
"Nov 5, 2016",-7.73,-7.586
"Nov 17, 2016",-6.861,-7.538
"Nov 29, 2016",-7.237,-7.489
"Dec 11, 2016",-6.887,-7.441
"Dec 23, 2016",-7.054,-7.396
"Jan 4, 2017",-7.667,-7.355
"Jan 16, 2017",-7.597,-7.321
"Jan 28, 2017",-7.613,-7.294
"Feb 9, 2017",-6.583,-7.277
"Feb 21, 2017",-6.7,-7.269
"Mar 5, 2017",-7.67,-7.271
"Mar 17, 2017",-7.414,-7.283
"Mar 29, 2017",-7.019,-7.305
"Apr 10, 2017",-7.241,-7.335
"Apr 22, 2017",-7.729,-7.373
"May 4, 2017",-7.119,-7.416
"May 16, 2017",-7.763,-7.463
"May 28, 2017",-6.984,-7.512
"Jun 9, 2017",-7.395,-7.561
"Jun 21, 2017",-7.673,-7.607
"Jul 3, 2017",-7.738,-7.649
"Jul 15, 2017",-6.896,-7.685
"Jul 27, 2017",-7.743,-7.714
"Aug 8, 2017",-7.805,-7.733
"Aug 20, 2017",-7.951,-7.743
"Sep 1, 2017",-7.871,-7.743
"Sep 13, 2017",-7.199,-7.733
"Sep 25, 2017",-7.919,-7.714
"Oct 7, 2017",-7.821,-7.685
"Oct 19, 2017",-7.948,-7.649
"Oct 31, 2017",-7.925,-7.607
"Nov 12, 2017",-6.671,-7.561
"Nov 24, 2017",-7.487,-7.513
"Dec 6, 2017",-6.729,-7.464
"Dec 18, 2017",-7.543,-7.417
"Dec 30, 2017",-7.67,-7.374
"Jan 11, 2018",-7.396,-7.337
"Jan 23, 2018",-7.887,-7.306
"Feb 4, 2018",-6.516,-7.285
"Feb 16, 2018",-7.07,-7.273
"Feb 28, 2018",-7.647,-7.271
"Mar 12, 2018",-6.614,-7.279
"Mar 24, 2018",-6.913,-7.296
"Apr 5, 2018",-7.358,-7.323
"Apr 17, 2018",-7.056,-7.358
"Apr 29, 2018",-7.389,-7.399
"May 11, 2018",-7.702,-7.444
"May 23, 2018",-7.256,-7.493
"Jun 4, 2018",-7.447,-7.542
"Jun 16, 2018",-7.543,-7.589
"Jun 28, 2018",-7.543,-7.633
"Jul 10, 2018",-7.508,-7.672
"Jul 22, 2018",-7.324,-7.704
"Aug 3, 2018",-7.9,-7.728
"Aug 15, 2018",-7.962,-7.742
"Aug 27, 2018",-8.202,-7.746
"Sep 8, 2018",-8.243,-7.741
"Sep 20, 2018",-8.139,-7.725
"Oct 2, 2018",-7.977,-7.7
"Oct 14, 2018",-8.212,-7.668
"Oct 26, 2018",-7.262,-7.628
"Nov 7, 2018",-6.981,-7.583
"Nov 19, 2018",-7.609,-7.536
"Dec 1, 2018",-7.638,-7.487
"Dec 13, 2018",-7.574,-7.439
"Dec 25, 2018",-7.203,-7.394
"Jan 6, 2019",-7.605,-7.354
"Jan 18, 2019",-7.648,-7.32
"Jan 30, 2019",-7.086,-7.295
"Feb 11, 2019",-7.669,-7.279
"Feb 23, 2019",-7.536,-7.272
"Mar 7, 2019",-7.453,-7.276
"Mar 19, 2019",-7.568,-7.289
"Mar 31, 2019",-7.326,-7.312
"Apr 12, 2019",-6.762,-7.344
"Apr 24, 2019",-7.446,-7.382
"May 6, 2019",-7.582,-7.426
"May 18, 2019",-7.164,-7.473
"May 30, 2019",-7.712,-7.522
"Jun 11, 2019",-7.139,-7.57
"Jun 23, 2019",-7.979,-7.616
"Jul 5, 2019",-7.767,-7.658
"Jul 17, 2019",-8.207,-7.693
"Jul 29, 2019",-7.518,-7.72
"Aug 10, 2019",-6.919,-7.739
"Aug 22, 2019",-7.548,-7.748
"Sep 3, 2019",-7.727,-7.746
"Sep 15, 2019",-7.884,-7.735
"Sep 27, 2019",-7.799,-7.714
"Oct 9, 2019",-7.858,-7.685
"Oct 21, 2019",-7.831,-7.648
"Nov 2, 2019",-7.6,-7.605
"Nov 14, 2019",-7.956,-7.559
"Nov 26, 2019",-7.265,-7.51
"Dec 8, 2019",-6.602,-7.461
"Dec 20, 2019",-7.609,-7.415
"Jan 1, 2020",-7.767,-7.373
"Jan 13, 2020",-7.467,-7.336
"Feb 6, 2020",-7.602,-7.287
"Feb 18, 2020",-7.64,-7.276
"Mar 1, 2020",-7.824,-7.275
"Mar 13, 2020",-6.763,-7.284
"Mar 25, 2020",-7.016,-7.303
"Apr 6, 2020",-7.352,-7.331
"Apr 18, 2020",-6.827,-7.366
"Apr 30, 2020",-7.605,-7.408
"May 12, 2020",-7.601,-7.454
"May 24, 2020",-6.989,-7.502
"Jun 5, 2020",-7.64,-7.551
"Jun 17, 2020",-7.004,-7.599
"Jun 29, 2020",-7.482,-7.642
"Jul 11, 2020",-7.705,-7.68
"Jul 23, 2020",-7.672,-7.711
"Aug 4, 2020",-7.769,-7.734
"Aug 16, 2020",-7.387,-7.747
"Aug 28, 2020",-7.762,-7.75
"Sep 9, 2020",-8.646,-7.743
"Sep 21, 2020",-8.835,-7.726
"Oct 15, 2020",-8.372,-7.667
"Oct 27, 2020",-7.639,-7.626
"Nov 8, 2020",-8.232,-7.581
"Nov 20, 2020",-7.107,-7.533
"Dec 2, 2020",-7.521,-7.484
"Dec 14, 2020",-7.597,-7.437
"Dec 26, 2020",-7.615,-7.392
"Jan 7, 2021",-7.613,-7.353
"Jan 19, 2021",-7.796,-7.321
"Jan 31, 2021",-7.697,-7.296
"Feb 12, 2021",-7.641,-7.281
"Feb 24, 2021",-7.551,-7.276
"Mar 8, 2021",-7.52,-7.281
"Mar 20, 2021",-7.078,-7.296
"Apr 1, 2021",-7.169,-7.32
"Apr 13, 2021",-7.863,-7.352
"Apr 25, 2021",-7.486,-7.391
"May 7, 2021",-7.548,-7.435
"Aug 23, 2021",-7.697,-7.752
"Sep 4, 2021",-7.329,-7.749
"Sep 16, 2021",-7.802,-7.737
"Sep 28, 2021",-7.605,-7.715
"Oct 10, 2021",-7.38,-7.684
"Oct 22, 2021",-6.986,-7.647
"Nov 3, 2021",-6.857,-7.603
"Nov 15, 2021",-7.169,-7.556
"Nov 27, 2021",-7.704,-7.508
"Dec 9, 2021",-6.584,-7.459
"Dec 21, 2021",-6.954,-7.413
