"","Date","trend"
"1",2016-01-10,-7.48276011409199
"2",2016-01-22,-7.48301319654583
"3",2016-02-03,-7.48326627899966
"4",2016-02-15,-7.4835193614535
"5",2016-02-27,-7.48377244390733
"6",2016-03-10,-7.48402552636117
"7",2016-04-03,-7.48453169126884
"8",2016-04-15,-7.48478477372267
"9",2016-04-27,-7.48503785617651
"10",2016-05-09,-7.48529093863035
"11",2016-05-21,-7.48554402108418
"12",2016-06-02,-7.48579710353802
"13",2016-06-14,-7.48605018599185
"14",2016-07-08,-7.48655635089952
"15",2016-07-20,-7.48680943335336
"16",2016-08-01,-7.48706251580719
"17",2016-08-13,-7.48731559826103
"18",2016-08-25,-7.48756868071486
"19",2016-09-06,-7.4878217631687
"20",2016-09-18,-7.48807484562253
"21",2016-09-30,-7.48832792807637
"22",2016-10-12,-7.4885810105302
"23",2016-10-24,-7.48883409298404
"24",2016-11-05,-7.48908717543787
"25",2016-11-17,-7.48934025789171
"26",2016-11-29,-7.48959334034554
"27",2016-12-11,-7.48984642279938
"28",2016-12-23,-7.49009950525321
"29",2017-01-04,-7.49035258770705
"30",2017-01-16,-7.49060567016088
"31",2017-01-28,-7.49085875261472
"32",2017-02-09,-7.49111183506855
"33",2017-02-21,-7.49136491752239
"34",2017-03-05,-7.49161799997623
"35",2017-03-17,-7.49187108243006
"36",2017-03-29,-7.4921241648839
"37",2017-04-10,-7.49237724733773
"38",2017-04-22,-7.49263032979157
"39",2017-05-04,-7.4928834122454
"40",2017-05-16,-7.49313649469924
"41",2017-05-28,-7.49338957715307
"42",2017-06-09,-7.49364265960691
"43",2017-06-21,-7.49389574206074
"44",2017-07-03,-7.49414882451458
"45",2017-07-15,-7.49440190696841
"46",2017-07-27,-7.49465498942225
"47",2017-08-08,-7.49490807187608
"48",2017-08-20,-7.49516115432992
"49",2017-09-01,-7.49541423678375
"50",2017-09-13,-7.49566731923759
"51",2017-09-25,-7.49592040169142
"52",2017-10-07,-7.49617348414526
"53",2017-10-19,-7.49642656659909
"54",2017-10-31,-7.49667964905293
"55",2017-11-12,-7.49693273150676
"56",2017-11-24,-7.4971858139606
"57",2017-12-06,-7.49743889641443
"58",2017-12-18,-7.49769197886827
"59",2017-12-30,-7.4979450613221
"60",2018-01-11,-7.49819814377594
"61",2018-01-23,-7.49845122622977
"62",2018-02-04,-7.49870430868361
"63",2018-02-16,-7.49895739113745
"64",2018-02-28,-7.49921047359128
"65",2018-03-12,-7.49946355604512
"66",2018-03-24,-7.49971663849895
"67",2018-04-05,-7.49996972095279
"68",2018-04-17,-7.50022280340662
"69",2018-04-29,-7.50047588586046
"70",2018-05-11,-7.50072896831429
"71",2018-05-23,-7.50098205076813
"72",2018-06-04,-7.50123513322196
"73",2018-06-16,-7.5014882156758
"74",2018-06-28,-7.50174129812963
"75",2018-07-10,-7.50199438058347
"76",2018-07-22,-7.5022474630373
"77",2018-08-03,-7.50250054549114
"78",2018-08-15,-7.50275362794497
