"","system.time_start","RVI_median","fitted"
"1","Jan 10, 2016",0.856,0.835
"2","Jan 22, 2016",0.857,0.832
"3","Feb 3, 2016",0.84,0.828
"4","Feb 3, 2016",0.843,0.828
"5","Feb 15, 2016",0.835,0.822
"6","Feb 27, 2016",0.831,0.816
"7","Mar 10, 2016",0.817,0.81
"8","Apr 3, 2016",0.804,0.797
"9","Apr 15, 2016",0.805,0.79
"10","Apr 27, 2016",0.772,0.784
"11","May 9, 2016",0.782,0.779
"12","May 21, 2016",0.832,0.775
"13","Jun 2, 2016",0.778,0.772
"14","Jun 14, 2016",0.788,0.77
"15","Jul 8, 2016",0.769,0.77
"16","Jul 20, 2016",0.794,0.771
"17","Aug 1, 2016",0.766,0.774
"18","Aug 13, 2016",0.788,0.778
"19","Aug 25, 2016",0.781,0.782
"20","Sep 6, 2016",0.793,0.787
"21","Sep 18, 2016",0.817,0.792
"22","Sep 30, 2016",0.78,0.797
"23","Oct 12, 2016",0.794,0.802
"24","Oct 24, 2016",0.796,0.807
"25","Nov 5, 2016",0.807,0.81
"26","Nov 17, 2016",0.862,0.813
"27","Nov 29, 2016",0.799,0.815
"28","Dec 11, 2016",0.802,0.816
"29","Dec 23, 2016",0.796,0.816
"30","Jan 4, 2017",0.796,0.814
"31","Jan 16, 2017",0.787,0.811
"32","Jan 28, 2017",0.799,0.807
"33","Feb 9, 2017",0.851,0.802
"34","Feb 21, 2017",0.839,0.796
"35","Mar 5, 2017",0.774,0.79
"36","Mar 17, 2017",0.823,0.784
"37","Mar 29, 2017",0.812,0.777
"38","Apr 10, 2017",0.778,0.77
"39","Apr 22, 2017",0.756,0.764
"40","May 4, 2017",0.786,0.759
"41","May 16, 2017",0.769,0.754
"42","May 28, 2017",0.767,0.751
"43","Jun 9, 2017",0.734,0.748
"44","Jun 21, 2017",0.717,0.747
"45","Jul 3, 2017",0.778,0.747
"46","Jul 15, 2017",0.781,0.748
"47","Jul 27, 2017",0.747,0.75
"48","Aug 8, 2017",0.718,0.753
"49","Aug 20, 2017",0.721,0.757
"50","Sep 1, 2017",0.761,0.762
"51","Sep 13, 2017",0.772,0.767
"52","Sep 25, 2017",0.767,0.772
"53","Oct 7, 2017",0.77,0.777
"54","Oct 19, 2017",0.753,0.782
"55","Oct 31, 2017",0.79,0.786
"56","Nov 12, 2017",0.818,0.79
"57","Nov 24, 2017",0.786,0.792
"58","Dec 6, 2017",0.786,0.793
"59","Dec 18, 2017",0.812,0.793
"60","Dec 30, 2017",0.749,0.792
"61","Jan 11, 2018",0.776,0.79
"62","Jan 23, 2018",0.761,0.786
"63","Feb 4, 2018",0.824,0.782
"64","Feb 16, 2018",0.745,0.776
"65","Feb 28, 2018",0.752,0.77
"66","Mar 12, 2018",0.784,0.764
"67","Mar 24, 2018",0.769,0.757
"68","Apr 5, 2018",0.73,0.751
"69","Apr 17, 2018",0.768,0.744
"70","Apr 29, 2018",0.724,0.739
"71","May 11, 2018",0.735,0.734
"72","May 23, 2018",0.769,0.729
"73","Jun 4, 2018",0.761,0.726
"74","Jun 16, 2018",0.711,0.725
"75","Jun 28, 2018",0.713,0.724
"76","Jul 10, 2018",0.7,0.725
"77","Jul 22, 2018",0.706,0.726
"78","Aug 3, 2018",0.692,0.729
"79","Aug 15, 2018",0.721,0.733
"80","Aug 27, 2018",0.718,0.737
"81","Sep 8, 2018",0.732,0.742
"82","Sep 20, 2018",0.729,0.747
"83","Oct 2, 2018",0.726,0.753
"84","Oct 14, 2018",0.741,0.758
"85","Oct 26, 2018",0.797,0.762
"86","Nov 7, 2018",0.802,0.766
"87","Nov 19, 2018",0.764,0.769
