"","Date","detrend"
"1",2016-01-10,NA
"2",2016-01-22,-0.003
"3",2016-02-03,-0.004
"4",2016-02-15,-0.00600000000000001
"5",2016-02-27,-0.00600000000000001
"6",2016-03-10,-0.00599999999999989
"7",2016-04-03,-0.013
"8",2016-04-15,-0.00700000000000001
"9",2016-04-27,-0.00600000000000001
"10",2016-05-09,-0.005
"11",2016-05-21,-0.004
"12",2016-06-02,-0.003
"13",2016-06-14,-0.002
"14",2016-07-08,0
"15",2016-07-20,0.001
"16",2016-08-01,0.003
"17",2016-08-13,0.004
"18",2016-08-25,0.004
"19",2016-09-06,0.005
"20",2016-09-18,0.005
"21",2016-09-30,0.005
"22",2016-10-12,0.005
"23",2016-10-24,0.005
"24",2016-11-05,0.003
"25",2016-11-17,0.00299999999999989
"26",2016-11-29,0.002
"27",2016-12-11,0.001
"28",2016-12-23,0
"29",2017-01-04,-0.002
"30",2017-01-16,-0.00299999999999989
"31",2017-01-28,-0.004
"32",2017-02-09,-0.005
"33",2017-02-21,-0.00600000000000001
"34",2017-03-05,-0.00600000000000001
"35",2017-03-17,-0.00600000000000001
"36",2017-03-29,-0.00700000000000001
"37",2017-04-10,-0.00700000000000001
"38",2017-04-22,-0.00600000000000001
"39",2017-05-04,-0.005
"40",2017-05-16,-0.005
"41",2017-05-28,-0.003
"42",2017-06-09,-0.003
"43",2017-06-21,-0.001
"44",2017-07-03,0
"45",2017-07-15,0.001
"46",2017-07-27,0.002
"47",2017-08-08,0.003
"48",2017-08-20,0.004
"49",2017-09-01,0.005
"50",2017-09-13,0.005
"51",2017-09-25,0.005
"52",2017-10-07,0.005
"53",2017-10-19,0.005
"54",2017-10-31,0.004
"55",2017-11-12,0.004
"56",2017-11-24,0.002
"57",2017-12-06,0.001
"58",2017-12-18,0
"59",2017-12-30,-0.001
"60",2018-01-11,-0.002
"61",2018-01-23,-0.004
"62",2018-02-04,-0.004
"63",2018-02-16,-0.00600000000000001
"64",2018-02-28,-0.00600000000000001
"65",2018-03-12,-0.00600000000000001
"66",2018-03-24,-0.00700000000000001
"67",2018-04-05,-0.00600000000000001
"68",2018-04-17,-0.00700000000000001
"69",2018-04-29,-0.005
"70",2018-05-11,-0.005
"71",2018-05-23,-0.005
"72",2018-06-04,-0.003
"73",2018-06-16,-0.001
"74",2018-06-28,-0.001
"75",2018-07-10,0.001
"76",2018-07-22,0.001
"77",2018-08-03,0.003
"78",2018-08-15,0.004
"79",2018-08-27,0.004
"80",2018-09-08,0.005
"81",2018-09-20,0.005
"82",2018-10-02,0.00600000000000001
"83",2018-10-14,0.005
"84",2018-10-26,0.004
"85",2018-11-07,0.004
"86",2018-11-19,0.003
"87",2018-12-01,0.001
"88",2018-12-13,0.001
"89",2018-12-25,-0.001
"90",2019-01-06,-0.002
"91",2019-01-18,-0.003
"92",2019-01-30,-0.004
"93",2019-02-11,-0.005
"94",2019-02-23,-0.005
"95",2019-03-07,-0.00700000000000001
"96",2019-03-19,-0.00600000000000001
"97",2019-03-31,-0.00700000000000001
"98",2019-04-12,-0.00700000000000001
"99",2019-04-24,-0.00600000000000001
"100",2019-05-06,-0.005
"101",2019-05-18,-0.004
"102",2019-05-30,-0.004
"103",2019-06-11,-0.002
"104",2019-06-23,-0.001
"105",2019-07-05,0
"106",2019-07-17,0.001
"107",2019-07-29,0.002
"108",2019-08-10,0.004
"109",2019-08-22,0.004
"110",2019-09-03,0.005
"111",2019-09-15,0.005
"112",2019-09-27,0.005
"113",2019-10-09,0.005
"114",2019-10-21,0.005
"115",2019-11-02,0.004
"116",2019-11-14,0.003
"117",2019-11-26,0.002
"118",2019-12-08,0.001
"119",2019-12-20,0
"120",2020-01-01,-0.001
"121",2020-01-13,-0.003
"122",2020-02-06,-0.00800000000000001
"123",2020-02-18,-0.005
"124",2020-03-01,-0.00700000000000001
"125",2020-03-13,-0.00600000000000001
"126",2020-03-25,-0.00700000000000001
"127",2020-04-06,-0.00600000000000001
"128",2020-04-18,-0.00700000000000001
"129",2020-04-30,-0.005
"130",2020-05-12,-0.005
"131",2020-05-24,-0.00399999999999989
"132",2020-06-05,-0.003
"133",2020-06-17,-0.002
"134",2020-06-29,0
"135",2020-07-11,0.001
"136",2020-07-23,0.002
"137",2020-08-04,0.003
"138",2020-08-16,0.00299999999999989
"139",2020-08-28,0.005
"140",2020-09-09,0.005
"141",2020-09-21,0.005
"142",2020-10-15,0.01
"143",2020-10-27,0.004
"144",2020-11-08,0.004
"145",2020-11-20,0.003
"146",2020-12-02,0.001
"147",2020-12-14,0.001
"148",2020-12-26,-0.001
"149",2021-01-07,-0.002
"150",2021-01-19,-0.003
"151",2021-01-31,-0.004
"152",2021-02-12,-0.00600000000000001
"153",2021-02-24,-0.005
"154",2021-03-08,-0.00700000000000001
"155",2021-03-20,-0.00600000000000001
"156",2021-04-01,-0.0069999999999999
"157",2021-04-13,-0.00600000000000001
"158",2021-04-25,-0.00600000000000001
"159",2021-05-07,-0.00600000000000001
"160",2021-08-23,0.001
"161",2021-09-04,0.005
"162",2021-09-16,0.005
"163",2021-09-28,0.005
"164",2021-10-10,0.00499999999999989
"165",2021-10-22,0.005
"166",2021-11-03,0.004
"167",2021-11-15,0.003
"168",2021-11-27,0.002
"169",2021-12-09,0.001
"170",2021-12-21,0
