"","Date","trend"
"1",2016-01-10,-12.6873065107394
"2",2016-01-22,-12.6893769317719
"3",2016-02-03,-12.6914473528044
"4",2016-02-15,-12.6935177738368
"5",2016-02-27,-12.6955881948693
"6",2016-03-10,-12.6976586159018
"7",2016-04-03,-12.7017994579667
"8",2016-04-15,-12.7038698789992
"9",2016-04-27,-12.7059403000317
"10",2016-05-09,-12.7080107210642
"11",2016-05-21,-12.7100811420966
"12",2016-06-02,-12.7121515631291
"13",2016-06-14,-12.7142219841616
"14",2016-07-08,-12.7183628262265
"15",2016-07-20,-12.720433247259
"16",2016-08-01,-12.7225036682915
"17",2016-08-13,-12.724574089324
"18",2016-08-25,-12.7266445103564
"19",2016-09-06,-12.7287149313889
"20",2016-09-18,-12.7307853524214
"21",2016-09-30,-12.7328557734538
"22",2016-10-12,-12.7349261944863
"23",2016-10-24,-12.7369966155188
"24",2016-11-05,-12.7390670365513
"25",2016-11-17,-12.7411374575837
"26",2016-11-29,-12.7432078786162
"27",2016-12-11,-12.7452782996487
"28",2016-12-23,-12.7473487206812
"29",2017-01-04,-12.7494191417136
"30",2017-01-16,-12.7514895627461
"31",2017-01-28,-12.7535599837786
"32",2017-02-09,-12.7556304048111
"33",2017-02-21,-12.7577008258435
"34",2017-03-05,-12.759771246876
"35",2017-03-17,-12.7618416679085
"36",2017-03-29,-12.7639120889409
"37",2017-04-10,-12.7659825099734
"38",2017-04-22,-12.7680529310059
"39",2017-05-04,-12.7701233520384
"40",2017-05-16,-12.7721937730708
"41",2017-05-28,-12.7742641941033
"42",2017-06-09,-12.7763346151358
"43",2017-06-21,-12.7784050361683
"44",2017-07-03,-12.7804754572007
"45",2017-07-15,-12.7825458782332
"46",2017-07-27,-12.7846162992657
"47",2017-08-08,-12.7866867202982
"48",2017-08-20,-12.7887571413306
"49",2017-09-01,-12.7908275623631
"50",2017-09-13,-12.7928979833956
"51",2017-09-25,-12.7949684044281
"52",2017-10-07,-12.7970388254605
"53",2017-10-19,-12.799109246493
"54",2017-10-31,-12.8011796675255
"55",2017-11-12,-12.8032500885579
"56",2017-11-24,-12.8053205095904
"57",2017-12-06,-12.8073909306229
"58",2017-12-18,-12.8094613516554
"59",2017-12-30,-12.8115317726878
"60",2018-01-11,-12.8136021937203
"61",2018-01-23,-12.8156726147528
"62",2018-02-04,-12.8177430357853
"63",2018-02-16,-12.8198134568177
"64",2018-02-28,-12.8218838778502
"65",2018-03-12,-12.8239542988827
"66",2018-03-24,-12.8260247199152
"67",2018-04-05,-12.8280951409476
"68",2018-04-17,-12.8301655619801
"69",2018-04-29,-12.8322359830126
"70",2018-05-11,-12.834306404045
"71",2018-05-23,-12.8363768250775
"72",2018-06-04,-12.83844724611
"73",2018-06-16,-12.8405176671425
"74",2018-06-28,-12.8425880881749
"75",2018-07-10,-12.8446585092074
"76",2018-07-22,-12.8467289302399
"77",2018-08-03,-12.8487993512724
"78",2018-08-15,-12.8508697723048
"79",2018-08-27,-12.8529401933373
"80",2018-09-08,-12.8550106143698
"81",2018-09-20,-12.8570810354023
