,system.time_start,RVI_median
1,2016-01-03 00:00:00,0.819
2,2016-01-03 00:00:00,0.826
3,2016-01-15 00:00:00,0.79
4,2016-01-15 00:00:00,0.819
5,2016-01-27 00:00:00,0.775
6,2016-01-27 00:00:00,0.777
7,2016-02-08 00:00:00,0.735
8,2016-02-08 00:00:00,0.748
9,2016-02-20 00:00:00,0.739
10,2016-03-03 00:00:00,0.757
11,2016-03-03 00:00:00,0.768
12,2016-03-27 00:00:00,0.751
13,2016-03-27 00:00:00,0.777
14,2016-04-08 00:00:00,0.74
15,2016-04-20 00:00:00,0.751
16,2016-04-20 00:00:00,0.76
17,2016-05-02 00:00:00,0.762
18,2016-05-14 00:00:00,0.763
19,2016-05-14 00:00:00,0.777
20,2016-05-26 00:00:00,0.757
21,2016-05-26 00:00:00,0.777
22,2016-06-07 00:00:00,0.734
23,2016-06-07 00:00:00,0.77
24,2016-07-01 00:00:00,0.752
25,2016-07-01 00:00:00,0.787
26,2016-07-13 00:00:00,0.764
27,2016-07-13 00:00:00,0.769
28,2016-07-25 00:00:00,0.782
29,2016-07-25 00:00:00,0.796
30,2016-08-06 00:00:00,0.809
31,2016-08-06 00:00:00,0.822
32,2016-08-18 00:00:00,0.821
33,2016-08-18 00:00:00,0.832
34,2016-08-30 00:00:00,0.9
35,2016-08-30 00:00:00,0.879
36,2016-09-11 00:00:00,0.883
37,2016-09-11 00:00:00,0.881
38,2016-09-23 00:00:00,0.851
39,2016-09-23 00:00:00,0.847
40,2016-09-29 00:00:00,0.827
41,2016-10-11 00:00:00,0.863
42,2016-10-23 00:00:00,0.832
43,2016-11-04 00:00:00,0.817
44,2016-11-16 00:00:00,0.841
45,2016-11-28 00:00:00,0.777
46,2016-12-10 00:00:00,0.801
47,2016-12-22 00:00:00,0.738
48,2017-01-03 00:00:00,0.722
49,2017-01-15 00:00:00,0.793
50,2017-01-27 00:00:00,0.715
51,2017-02-08 00:00:00,0.786
52,2017-02-20 00:00:00,0.739
53,2017-03-04 00:00:00,0.732
54,2017-03-16 00:00:00,0.738
55,2017-03-28 00:00:00,0.786
56,2017-04-09 00:00:00,0.731
57,2017-05-03 00:00:00,0.754
58,2017-05-15 00:00:00,0.715
59,2017-05-27 00:00:00,0.684
60,2017-06-08 00:00:00,0.714
61,2017-06-20 00:00:00,0.761
62,2017-07-02 00:00:00,0.715
63,2017-07-14 00:00:00,0.738
64,2017-07-26 00:00:00,0.746
65,2017-08-07 00:00:00,0.785
66,2017-08-19 00:00:00,0.794
67,2017-08-31 00:00:00,0.8
68,2017-09-12 00:00:00,0.839
69,2017-09-24 00:00:00,0.902
70,2017-10-06 00:00:00,0.863
71,2017-10-18 00:00:00,0.872
72,2017-10-30 00:00:00,0.855
73,2017-11-11 00:00:00,0.847
74,2017-11-23 00:00:00,0.841
75,2017-12-05 00:00:00,0.769
76,2017-12-17 00:00:00,0.739
77,2017-12-29 00:00:00,0.746
78,2018-01-10 00:00:00,0.73
79,2018-01-22 00:00:00,0.722
80,2018-02-03 00:00:00,0.8
81,2018-02-15 00:00:00,0.73
82,2018-02-27 00:00:00,0.754
83,2018-03-11 00:00:00,0.762
84,2018-03-23 00:00:00,0.715
85,2018-04-04 00:00:00,0.746
86,2018-04-16 00:00:00,0.707
87,2018-04-28 00:00:00,0.683
88,2018-05-10 00:00:00,0.709
89,2018-05-22 00:00:00,0.662
90,2018-06-03 00:00:00,0.67
91,2018-06-15 00:00:00,0.7
92,2018-06-27 00:00:00,0.69
93,2018-07-09 00:00:00,0.67
94,2018-07-21 00:00:00,0.676
95,2018-08-02 00:00:00,0.744
96,2018-08-14 00:00:00,0.694
97,2018-08-26 00:00:00,0.705
98,2018-09-07 00:00:00,0.738
99,2018-09-19 00:00:00,0.761
100,2018-10-01 00:00:00,0.744
101,2018-10-13 00:00:00,0.803
102,2018-10-25 00:00:00,0.779
103,2018-11-06 00:00:00,0.795
104,2018-11-18 00:00:00,0.762
105,2018-11-30 00:00:00,0.723
106,2018-12-12 00:00:00,0.729
107,2018-12-24 00:00:00,0.745
108,2019-01-05 00:00:00,0.741
109,2019-01-17 00:00:00,0.716
110,2019-01-29 00:00:00,0.728
111,2019-02-10 00:00:00,0.724
112,2019-02-22 00:00:00,0.706
113,2019-03-06 00:00:00,0.729
114,2019-03-18 00:00:00,0.721
115,2019-03-30 00:00:00,0.715
116,2019-04-11 00:00:00,0.717
117,2019-04-23 00:00:00,0.725
118,2019-05-05 00:00:00,0.7
119,2019-05-17 00:00:00,0.728
120,2019-05-29 00:00:00,0.678
121,2019-06-10 00:00:00,0.732
