system:time_start,RVI_median,fitted
"Jan 3, 2016",0.819,0.805
"Jan 3, 2016",0.826,0.805
"Jan 15, 2016",0.79,0.794
"Jan 15, 2016",0.819,0.794
"Jan 27, 2016",0.775,0.783
"Jan 27, 2016",0.777,0.783
"Feb 8, 2016",0.735,0.772
"Feb 8, 2016",0.748,0.772
"Feb 20, 2016",0.739,0.763
"Mar 3, 2016",0.757,0.754
"Mar 3, 2016",0.768,0.754
"Mar 27, 2016",0.751,0.743
"Mar 27, 2016",0.777,0.743
"Apr 8, 2016",0.74,0.74
"Apr 20, 2016",0.751,0.739
"Apr 20, 2016",0.76,0.739
"May 2, 2016",0.762,0.741
"May 14, 2016",0.763,0.745
"May 14, 2016",0.777,0.745
"May 26, 2016",0.757,0.75
"May 26, 2016",0.777,0.75
"Jun 7, 2016",0.734,0.758
"Jun 7, 2016",0.77,0.758
"Jul 1, 2016",0.752,0.776
"Jul 1, 2016",0.787,0.776
"Jul 13, 2016",0.764,0.786
"Jul 13, 2016",0.769,0.786
"Jul 25, 2016",0.782,0.796
"Jul 25, 2016",0.796,0.796
"Aug 6, 2016",0.809,0.806
"Aug 6, 2016",0.822,0.806
"Aug 18, 2016",0.821,0.814
"Aug 18, 2016",0.832,0.814
"Aug 30, 2016",0.9,0.822
"Aug 30, 2016",0.879,0.822
"Sep 11, 2016",0.883,0.828
"Sep 11, 2016",0.881,0.828
"Sep 23, 2016",0.851,0.832
"Sep 23, 2016",0.847,0.832
"Sep 29, 2016",0.827,0.834
"Oct 11, 2016",0.863,0.835
"Oct 23, 2016",0.832,0.834
"Nov 4, 2016",0.817,0.83
"Nov 16, 2016",0.841,0.825
"Nov 28, 2016",0.777,0.818
"Dec 10, 2016",0.801,0.809
"Dec 22, 2016",0.738,0.799
"Jan 3, 2017",0.722,0.788
"Jan 15, 2017",0.793,0.777
"Jan 27, 2017",0.715,0.766
"Feb 8, 2017",0.786,0.755
"Feb 20, 2017",0.739,0.746
"Mar 4, 2017",0.732,0.737
"Mar 16, 2017",0.738,0.731
"Mar 28, 2017",0.786,0.726
"Apr 9, 2017",0.731,0.724
"May 3, 2017",0.754,0.725
"May 15, 2017",0.715,0.729
"May 27, 2017",0.684,0.735
"Jun 8, 2017",0.714,0.742
"Jun 20, 2017",0.761,0.751
"Jul 2, 2017",0.715,0.76
"Jul 14, 2017",0.738,0.77
"Jul 26, 2017",0.746,0.78
"Aug 7, 2017",0.785,0.79
"Aug 19, 2017",0.794,0.799
"Aug 31, 2017",0.8,0.806
"Sep 12, 2017",0.839,0.812
"Sep 24, 2017",0.902,0.816
"Oct 6, 2017",0.863,0.818
"Oct 18, 2017",0.872,0.818
"Oct 30, 2017",0.855,0.816
"Nov 11, 2017",0.847,0.811
"Nov 23, 2017",0.841,0.805
"Dec 5, 2017",0.769,0.797
"Dec 17, 2017",0.739,0.787
"Dec 29, 2017",0.746,0.777
"Jan 10, 2018",0.73,0.766
"Jan 22, 2018",0.722,0.754
"Feb 3, 2018",0.8,0.744
"Feb 15, 2018",0.73,0.733
"Feb 27, 2018",0.754,0.725
"Mar 11, 2018",0.762,0.717
"Mar 23, 2018",0.715,0.712
"Apr 4, 2018",0.746,0.708
"Apr 16, 2018",0.707,0.707
"Apr 28, 2018",0.683,0.708
"May 10, 2018",0.709,0.711
"May 22, 2018",0.662,0.715
"Jun 3, 2018",0.67,0.722
"Jun 15, 2018",0.7,0.73
"Jun 27, 2018",0.69,0.74
"Jul 9, 2018",0.67,0.749
"Jul 21, 2018",0.676,0.76
"Aug 2, 2018",0.744,0.769
"Aug 14, 2018",0.694,0.779
"Aug 26, 2018",0.705,0.787
"Sep 7, 2018",0.738,0.793
"Sep 19, 2018",0.761,0.798
"Oct 1, 2018",0.744,0.801
"Oct 13, 2018",0.803,0.802
"Oct 25, 2018",0.779,0.801
"Nov 6, 2018",0.795,0.797
"Nov 18, 2018",0.762,0.791
"Nov 30, 2018",0.723,0.784
"Dec 12, 2018",0.729,0.775
"Dec 24, 2018",0.745,0.765
"Jan 5, 2019",0.741,0.754
"Jan 17, 2019",0.716,0.743
"Jan 29, 2019",0.728,0.732
"Feb 10, 2019",0.724,0.721
"Feb 22, 2019",0.706,0.712
"Mar 6, 2019",0.729,0.704
"Mar 18, 2019",0.721,0.697
"Mar 30, 2019",0.715,0.693
"Apr 11, 2019",0.717,0.691
"Apr 23, 2019",0.725,0.691
"May 5, 2019",0.7,0.693
"May 17, 2019",0.728,0.697
"May 29, 2019",0.678,0.703
"Jun 10, 2019",0.732,0.71
"Jun 22, 2019",0.747,0.719
"Jul 4, 2019",0.713,0.729
"Jul 16, 2019",0.73,0.739
"Jul 28, 2019",0.752,0.749
"Aug 9, 2019",0.791,0.758
"Aug 21, 2019",0.825,0.767
"Sep 2, 2019",0.817,0.774
"Sep 14, 2019",0.842,0.78
"Sep 26, 2019",0.864,0.784
"Oct 8, 2019",0.887,0.786
