"","Date","trend"
"1",2016-01-03,-13.1352279087816
"2",2016-01-15,-13.135903778266
"3",2016-01-27,-13.1365796477505
"4",2016-02-08,-13.1372555172349
"5",2016-02-20,-13.1379313867194
"6",2016-03-03,-13.1386072562038
"7",2016-03-27,-13.1399589951728
"8",2016-04-08,-13.1406348646572
"9",2016-04-20,-13.1413107341417
"10",2016-05-02,-13.1419866036261
"11",2016-05-14,-13.1426624731106
"12",2016-05-26,-13.143338342595
"13",2016-06-07,-13.1440142120795
"14",2016-07-01,-13.1453659510484
"15",2016-07-13,-13.1460418205328
"16",2016-07-25,-13.1467176900173
"17",2016-08-06,-13.1473935595017
"18",2016-08-18,-13.1480694289862
"19",2016-08-30,-13.1487452984706
"20",2016-09-11,-13.1494211679551
"21",2016-09-23,-13.1500970374395
"22",2016-09-29,-13.1504349721817
"23",2016-10-11,-13.1511108416662
"24",2016-10-23,-13.1517867111506
"25",2016-11-04,-13.1524625806351
"26",2016-11-16,-13.1531384501196
"27",2016-11-28,-13.153814319604
"28",2016-12-10,-13.1544901890885
"29",2016-12-22,-13.1551660585729
"30",2017-01-03,-13.1558419280574
"31",2017-01-15,-13.1565177975418
"32",2017-01-27,-13.1571936670263
"33",2017-02-08,-13.1578695365107
"34",2017-02-20,-13.1585454059952
"35",2017-03-04,-13.1592212754796
"36",2017-03-16,-13.1598971449641
"37",2017-03-28,-13.1605730144485
"38",2017-04-09,-13.161248883933
"39",2017-05-03,-13.1626006229019
"40",2017-05-15,-13.1632764923863
"41",2017-05-27,-13.1639523618708
"42",2017-06-08,-13.1646282313552
"43",2017-06-20,-13.1653041008397
"44",2017-07-02,-13.1659799703241
"45",2017-07-14,-13.1666558398086
"46",2017-07-26,-13.167331709293
"47",2017-08-07,-13.1680075787775
"48",2017-08-19,-13.1686834482619
"49",2017-08-31,-13.1693593177464
"50",2017-09-12,-13.1700351872308
"51",2017-09-24,-13.1707110567153
"52",2017-10-06,-13.1713869261997
"53",2017-10-18,-13.1720627956842
"54",2017-10-30,-13.1727386651686
"55",2017-11-11,-13.1734145346531
"56",2017-11-23,-13.1740904041375
"57",2017-12-05,-13.174766273622
