system:time_start,VV_median,fitted
"Jan 3, 2016",-6.33,-6.783
"Jan 3, 2016",-6.451,-6.783
"Jan 15, 2016",-6.163,-6.733
"Jan 15, 2016",-6.45,-6.733
"Jan 27, 2016",-6.564,-6.694
"Jan 27, 2016",-6.555,-6.694
"Feb 8, 2016",-6.392,-6.669
"Feb 8, 2016",-6.796,-6.669
"Feb 20, 2016",-6.433,-6.657
"Mar 3, 2016",-6.522,-6.66
"Mar 3, 2016",-7.07,-6.66
"Mar 27, 2016",-6.611,-6.708
"Mar 27, 2016",-7.075,-6.708
"Apr 8, 2016",-6.689,-6.751
"Apr 20, 2016",-6.952,-6.803
"Apr 20, 2016",-7.204,-6.803
"May 2, 2016",-6.939,-6.864
"May 14, 2016",-6.212,-6.929
"May 14, 2016",-6.45,-6.929
"May 26, 2016",-6.331,-6.996
"May 26, 2016",-7.06,-6.996
"Jun 7, 2016",-6.301,-7.062
"Jun 7, 2016",-6.567,-7.062
"Jul 1, 2016",-6.575,-7.181
"Jul 1, 2016",-6.81,-7.181
"Jul 13, 2016",-6.739,-7.228
"Jul 13, 2016",-7.195,-7.228
"Jul 25, 2016",-7.336,-7.263
"Jul 25, 2016",-7.686,-7.263
"Aug 6, 2016",-7.157,-7.286
"Aug 6, 2016",-7.58,-7.286
"Aug 18, 2016",-7.412,-7.295
"Aug 18, 2016",-7.684,-7.295
"Aug 30, 2016",-7.242,-7.29
"Aug 30, 2016",-7.685,-7.29
"Sep 11, 2016",-7.648,-7.27
"Sep 11, 2016",-7.938,-7.27
"Sep 23, 2016",-7.104,-7.236
"Sep 23, 2016",-7.325,-7.236
"Sep 29, 2016",-7.184,-7.215
"Oct 11, 2016",-7.054,-7.164
"Oct 23, 2016",-7.064,-7.103
"Nov 4, 2016",-6.941,-7.036
"Nov 16, 2016",-6.181,-6.964
"Nov 28, 2016",-7.05,-6.891
"Dec 10, 2016",-6.064,-6.82
"Dec 22, 2016",-6.697,-6.753
"Jan 3, 2017",-6.802,-6.694
"Jan 15, 2017",-6.794,-6.644
"Jan 27, 2017",-6.818,-6.606
"Feb 8, 2017",-6.178,-6.582
"Feb 20, 2017",-6.942,-6.571
"Mar 4, 2017",-6.806,-6.575
"Mar 16, 2017",-6.947,-6.593
"Mar 28, 2017",-6.317,-6.625
"Apr 9, 2017",-6.943,-6.668
"May 3, 2017",-7.19,-6.782
"May 15, 2017",-6.813,-6.847
"May 27, 2017",-6.434,-6.915
"Jun 8, 2017",-6.704,-6.981
"Jun 20, 2017",-7.316,-7.043
"Jul 2, 2017",-7.184,-7.098
"Jul 14, 2017",-7.192,-7.145
"Jul 26, 2017",-7.427,-7.18
"Aug 7, 2017",-7.674,-7.202
"Aug 19, 2017",-7.545,-7.21
"Aug 31, 2017",-7.812,-7.203
"Sep 12, 2017",-7.702,-7.182
"Sep 24, 2017",-7.691,-7.148
"Oct 6, 2017",-7.304,-7.102
"Oct 18, 2017",-7.183,-7.045
"Oct 30, 2017",-6.93,-6.98
"Nov 11, 2017",-6.429,-6.91
"Nov 23, 2017",-6.304,-6.837
"Dec 5, 2017",-6.31,-6.765
"Dec 17, 2017",-6.804,-6.696
"Dec 29, 2017",-7.055,-6.633
"Jan 10, 2018",-7.053,-6.579
"Jan 22, 2018",-6.926,-6.536
"Feb 3, 2018",-6.324,-6.505
"Feb 15, 2018",-6.818,-6.488
"Feb 27, 2018",-6.059,-6.486
"Mar 11, 2018",-6.069,-6.498
"Mar 23, 2018",-6.444,-6.524
"Apr 4, 2018",-6.314,-6.562
"Apr 16, 2018",-6.688,-6.611
"Apr 28, 2018",-6.438,-6.669
"May 10, 2018",-6.682,-6.732
"May 22, 2018",-6.553,-6.799
"Jun 3, 2018",-6.433,-6.866
"Jun 15, 2018",-6.703,-6.931
"Jun 27, 2018",-6.931,-6.989
"Jul 9, 2018",-6.687,-7.04
"Jul 21, 2018",-6.818,-7.08
"Aug 2, 2018",-6.569,-7.108
"Aug 14, 2018",-6.927,-7.122
"Aug 26, 2018",-6.951,-7.122
"Sep 7, 2018",-7.191,-7.107
"Sep 19, 2018",-6.303,-7.079
"Oct 1, 2018",-6.811,-7.038
"Oct 13, 2018",-7.31,-6.985
"Oct 25, 2018",-6.431,-6.923
"Nov 6, 2018",-6.19,-6.855
"Nov 18, 2018",-6.568,-6.783
"Nov 30, 2018",-6.93,-6.71
"Dec 12, 2018",-6.923,-6.639
"Dec 24, 2018",-7.071,-6.574
"Jan 5, 2019",-6.434,-6.515
"Jan 17, 2019",-6.938,-6.467
"Jan 29, 2019",-7.065,-6.431
"Feb 10, 2019",-6.927,-6.408
"Feb 22, 2019",-6.691,-6.399
"Mar 6, 2019",-6.931,-6.405
"Mar 18, 2019",-6.668,-6.425
"Mar 30, 2019",-7.059,-6.458
"Apr 11, 2019",-6.93,-6.503
"Apr 23, 2019",-6.936,-6.557
"May 5, 2019",-6.805,-6.618
"May 17, 2019",-6.566,-6.684
"May 29, 2019",-6.807,-6.752
"Jun 10, 2019",-7.552,-6.817
"Jun 22, 2019",-7.562,-6.879
"Jul 4, 2019",-7.196,-6.933
"Jul 16, 2019",-7.706,-6.978
"Jul 28, 2019",-7.946,-7.012
"Aug 9, 2019",-7.685,-7.032
"Aug 21, 2019",-7.832,-7.038
"Sep 2, 2019",-7.827,-7.03
"Sep 14, 2019",-7.563,-7.007
"Sep 26, 2019",-7.681,-6.971
"Oct 8, 2019",-7.569,-6.924
"Oct 20, 2019",-7.561,-6.866
