"","Date","trend"
"1",2016-01-10,-13.2421058639423
"2",2016-01-22,-13.2446354944583
"3",2016-02-03,-13.2471651249743
"4",2016-02-15,-13.2496947554903
"5",2016-02-27,-13.2522243860062
"6",2016-03-10,-13.2547540165222
"7",2016-04-03,-13.2598132775542
"8",2016-04-15,-13.2623429080702
"9",2016-04-27,-13.2648725385862
"10",2016-05-09,-13.2674021691022
"11",2016-05-21,-13.2699317996182
"12",2016-06-02,-13.2724614301342
"13",2016-06-14,-13.2749910606501
"14",2016-07-08,-13.2800503216821
"15",2016-07-20,-13.2825799521981
"16",2016-08-01,-13.2851095827141
"17",2016-08-13,-13.2876392132301
"18",2016-08-25,-13.2901688437461
"19",2016-09-06,-13.2926984742621
"20",2016-09-18,-13.295228104778
"21",2016-10-06,-13.299022550552
"22",2016-10-18,-13.301552181068
"23",2016-10-30,-13.304081811584
"24",2016-11-11,-13.3066114421
"25",2016-11-23,-13.309141072616
"26",2016-12-05,-13.311670703132
"27",2016-12-17,-13.314200333648
"28",2016-12-29,-13.3167299641639
"29",2017-01-10,-13.3192595946799
"30",2017-01-22,-13.3217892251959
"31",2017-02-03,-13.3243188557119
"32",2017-02-15,-13.3268484862279
"33",2017-02-27,-13.3293781167439
"34",2017-03-11,-13.3319077472599
"35",2017-03-23,-13.3344373777759
"36",2017-04-04,-13.3369670082919
"37",2017-04-16,-13.3394966388078
"38",2017-04-28,-13.3420262693238
"39",2017-05-10,-13.3445558998398
"40",2017-05-22,-13.3470855303558
"41",2017-06-03,-13.3496151608718
"42",2017-06-15,-13.3521447913878
"43",2017-06-27,-13.3546744219038
"44",2017-07-09,-13.3572040524198
"45",2017-07-21,-13.3597336829357
"46",2017-08-02,-13.3622633134517
"47",2017-08-14,-13.3647929439677
"48",2017-09-07,-13.3698522049997
"49",2017-09-19,-13.3723818355157
"50",2017-10-01,-13.3749114660317
"51",2017-10-13,-13.3774410965477
"52",2017-10-25,-13.3799707270637
"53",2017-11-06,-13.3825003575796
"54",2017-11-18,-13.3850299880956
"55",2017-11-30,-13.3875596186116
"56",2017-12-12,-13.3900892491276
"57",2017-12-24,-13.3926188796436
"58",2018-01-05,-13.3951485101596
"59",2018-01-17,-13.3976781406756
"60",2018-01-29,-13.4002077711916
"61",2018-02-10,-13.4027374017075
"62",2018-02-22,-13.4052670322235
"63",2018-03-06,-13.4077966627395
"64",2018-03-18,-13.4103262932555
"65",2018-03-30,-13.4128559237715
"66",2018-04-11,-13.4153855542875
"67",2018-04-23,-13.4179151848035
"68",2018-05-05,-13.4204448153195
"69",2018-05-17,-13.4229744458355
"70",2018-05-29,-13.4255040763514
"71",2018-06-10,-13.4280337068674
"72",2018-06-22,-13.4305633373834
"73",2018-07-04,-13.4330929678994
"74",2018-07-16,-13.4356225984154
"75",2018-07-28,-13.4381522289314
"76",2018-08-09,-13.4406818594474
"77",2018-08-21,-13.4432114899634
"78",2018-09-02,-13.4457411204793
"79",2018-09-14,-13.4482707509953
"80",2018-09-26,-13.4508003815113
"81",2018-10-08,-13.4533300120273
"82",2018-10-20,-13.4558596425433
"83",2018-11-01,-13.4583892730593
"84",2018-11-13,-13.4609189035753
"85",2018-11-25,-13.4634485340913
"86",2018-12-07,-13.4659781646073
"87",2018-12-19,-13.4685077951232
"88",2018-12-31,-13.4710374256392
"89",2019-01-12,-13.4735670561552
"90",2019-01-24,-13.4760966866712
"91",2019-02-05,-13.4786263171872
"92",2019-02-17,-13.4811559477032
"93",2019-03-01,-13.4836855782192
"94",2019-03-13,-13.4862152087352
"95",2019-03-25,-13.4887448392511
"96",2019-04-06,-13.4912744697671
"97",2019-04-30,-13.4963337307991
"98",2019-05-12,-13.4988633613151
"99",2019-05-24,-13.5013929918311
"100",2019-06-05,-13.5039226223471
"101",2019-06-17,-13.5064522528631
"102",2019-07-11,-13.511511513895
"103",2019-07-23,-13.514041144411
"104",2019-08-04,-13.516570774927
"105",2019-08-16,-13.519100405443
"106",2019-08-28,-13.521630035959
"107",2019-09-09,-13.524159666475
"108",2019-09-21,-13.526689296991
"109",2019-10-03,-13.529218927507
"110",2019-10-15,-13.5317485580229
"111",2019-10-27,-13.5342781885389
"112",2019-11-08,-13.5368078190549
"113",2019-11-20,-13.5393374495709
"114",2019-12-02,-13.5418670800869
"115",2019-12-14,-13.5443967106029
"116",2019-12-26,-13.5469263411189
"117",2020-01-07,-13.5494559716349
"118",2020-01-19,-13.5519856021509
"119",2020-01-25,-13.5532504174088
"120",2020-01-31,-13.5545152326668
"121",2020-02-12,-13.5570448631828
"122",2020-02-24,-13.5595744936988
"123",2020-03-07,-13.5621041242148
"124",2020-03-19,-13.5646337547308
"125",2020-03-31,-13.5671633852468
"126",2020-04-12,-13.5696930157628
"127",2020-04-24,-13.5722226462788
"128",2020-05-06,-13.5747522767947
"129",2020-05-18,-13.5772819073107
"130",2020-05-30,-13.5798115378267
"131",2020-06-11,-13.5823411683427
"132",2020-06-23,-13.5848707988587
"133",2020-07-05,-13.5874004293747
"134",2020-07-17,-13.5899300598907
"135",2020-07-29,-13.5924596904067
"136",2020-08-10,-13.5949893209227
"137",2020-08-22,-13.5975189514386
"138",2020-09-03,-13.6000485819546
"139",2020-09-15,-13.6025782124706
"140",2020-09-27,-13.6051078429866
"141",2020-10-09,-13.6076374735026
"142",2020-10-21,-13.6101671040186
"143",2020-11-02,-13.6126967345346
"144",2020-11-14,-13.6152263650506
"145",2020-11-26,-13.6177559955665
"146",2020-12-20,-13.6228152565985
"147",2021-01-01,-13.6253448871145
"148",2021-01-13,-13.6278745176305
"149",2021-01-25,-13.6304041481465
"150",2021-02-06,-13.6329337786625
"151",2021-02-18,-13.6354634091785
"152",2021-03-02,-13.6379930396945
"153",2021-03-14,-13.6405226702104
"154",2021-03-26,-13.6430523007264
"155",2021-04-07,-13.6455819312424
"156",2021-04-19,-13.6481115617584
"157",2021-05-01,-13.6506411922744
"158",2021-05-13,-13.6531708227904
"159",2021-05-25,-13.6557004533064
"160",2021-06-06,-13.6582300838224
"161",2021-06-18,-13.6607597143383
"162",2021-06-30,-13.6632893448543
"163",2021-07-12,-13.6658189753703
"164",2021-07-24,-13.6683486058863
