"","system.time_start","RVI_median","fitted"
"1","Jan 10, 2016",0.884,0.855
"2","Jan 22, 2016",0.934,0.847
"3","Feb 3, 2016",0.842,0.84
"4","Feb 3, 2016",0.843,0.84
"5","Feb 15, 2016",0.843,0.833
"6","Feb 27, 2016",0.812,0.827
"7","Mar 10, 2016",0.808,0.821
"8","Apr 3, 2016",0.8,0.812
"9","Apr 15, 2016",0.828,0.809
"10","Apr 27, 2016",0.798,0.808
"11","May 9, 2016",0.83,0.808
"12","May 21, 2016",0.854,0.81
"13","Jun 2, 2016",0.808,0.813
"14","Jun 14, 2016",0.847,0.817
"15","Jul 8, 2016",0.808,0.828
"16","Jul 20, 2016",0.849,0.834
"17","Aug 1, 2016",0.801,0.841
"18","Aug 13, 2016",0.85,0.847
"19","Aug 25, 2016",0.843,0.853
"20","Sep 6, 2016",0.856,0.859
"21","Sep 18, 2016",0.892,0.864
"22","Sep 30, 2016",0.83,0.867
"23","Oct 12, 2016",0.876,0.869
"24","Oct 24, 2016",0.851,0.87
"25","Nov 5, 2016",0.854,0.869
"26","Nov 17, 2016",0.869,0.867
"27","Nov 29, 2016",0.835,0.864
"28","Dec 11, 2016",0.846,0.86
"29","Dec 23, 2016",0.823,0.854
"30","Jan 4, 2017",0.825,0.848
"31","Jan 16, 2017",0.804,0.841
"32","Jan 28, 2017",0.815,0.833
"33","Feb 9, 2017",0.892,0.826
"34","Feb 21, 2017",0.863,0.819
"35","Mar 5, 2017",0.813,0.813
"36","Mar 17, 2017",0.82,0.808
"37","Mar 29, 2017",0.858,0.803
"38","Apr 10, 2017",0.807,0.8
"39","Apr 22, 2017",0.822,0.798
"40","May 4, 2017",0.838,0.798
"41","May 16, 2017",0.835,0.799
"42","May 28, 2017",0.827,0.801
"43","Jun 9, 2017",0.804,0.805
"44","Jun 21, 2017",0.804,0.81
"45","Jul 3, 2017",0.845,0.815
"46","Jul 15, 2017",0.85,0.822
"47","Jul 27, 2017",0.804,0.828
"48","Aug 8, 2017",0.792,0.835
"49","Aug 20, 2017",0.826,0.841
"50","Sep 1, 2017",0.837,0.847
"51","Sep 13, 2017",0.891,0.852
"52","Sep 25, 2017",0.836,0.856
"53","Oct 7, 2017",0.839,0.858
"54","Oct 19, 2017",0.855,0.86
"55","Oct 31, 2017",0.875,0.86
"56","Nov 12, 2017",0.933,0.859
"57","Nov 24, 2017",0.846,0.856
"58","Dec 6, 2017",0.872,0.852
"59","Dec 18, 2017",0.818,0.847
