"","system.time_start","RVI_median","fitted"
"1","Jan 3, 2016",0.819,0.805
"2","Jan 3, 2016",0.826,0.805
"3","Jan 15, 2016",0.79,0.794
"4","Jan 15, 2016",0.819,0.794
"5","Jan 27, 2016",0.775,0.783
"6","Jan 27, 2016",0.777,0.783
"7","Feb 8, 2016",0.735,0.772
"8","Feb 8, 2016",0.748,0.772
"9","Feb 20, 2016",0.739,0.763
"10","Mar 3, 2016",0.757,0.754
"11","Mar 3, 2016",0.768,0.754
"12","Mar 27, 2016",0.751,0.743
"13","Mar 27, 2016",0.777,0.743
"14","Apr 8, 2016",0.74,0.74
"15","Apr 20, 2016",0.751,0.739
"16","Apr 20, 2016",0.76,0.739
"17","May 2, 2016",0.762,0.741
"18","May 14, 2016",0.763,0.745
"19","May 14, 2016",0.777,0.745
"20","May 26, 2016",0.757,0.75
"21","May 26, 2016",0.777,0.75
"22","Jun 7, 2016",0.734,0.758
"23","Jun 7, 2016",0.77,0.758
"24","Jul 1, 2016",0.752,0.776
"25","Jul 1, 2016",0.787,0.776
"26","Jul 13, 2016",0.764,0.786
"27","Jul 13, 2016",0.769,0.786
"28","Jul 25, 2016",0.782,0.796
"29","Jul 25, 2016",0.796,0.796
"30","Aug 6, 2016",0.809,0.806
"31","Aug 6, 2016",0.822,0.806
"32","Aug 18, 2016",0.821,0.814
"33","Aug 18, 2016",0.832,0.814
"34","Aug 30, 2016",0.9,0.822
"35","Aug 30, 2016",0.879,0.822
"36","Sep 11, 2016",0.883,0.828
"37","Sep 11, 2016",0.881,0.828
"38","Sep 23, 2016",0.851,0.832
"39","Sep 23, 2016",0.847,0.832
"40","Sep 29, 2016",0.827,0.834
"41","Oct 11, 2016",0.863,0.835
"42","Oct 23, 2016",0.832,0.834
"43","Nov 4, 2016",0.817,0.83
"44","Nov 16, 2016",0.841,0.825
"45","Nov 28, 2016",0.777,0.818
"46","Dec 10, 2016",0.801,0.809
"47","Dec 22, 2016",0.738,0.799
"48","Jan 3, 2017",0.722,0.788
"49","Jan 15, 2017",0.793,0.777
"50","Jan 27, 2017",0.715,0.766
"51","Feb 8, 2017",0.786,0.755
"52","Feb 20, 2017",0.739,0.746
"53","Mar 4, 2017",0.732,0.737
"54","Mar 16, 2017",0.738,0.731
"55","Mar 28, 2017",0.786,0.726
"56","Apr 9, 2017",0.731,0.724
"57","May 3, 2017",0.754,0.725
"58","May 15, 2017",0.715,0.729
"59","May 27, 2017",0.684,0.735
"60","Jun 8, 2017",0.714,0.742
"61","Jun 20, 2017",0.761,0.751
"62","Jul 2, 2017",0.715,0.76
"63","Jul 14, 2017",0.738,0.77
"64","Jul 26, 2017",0.746,0.78
"65","Aug 7, 2017",0.785,0.79
"66","Aug 19, 2017",0.794,0.799
"67","Aug 31, 2017",0.8,0.806
"68","Sep 12, 2017",0.839,0.812
"69","Sep 24, 2017",0.902,0.816
"70","Oct 6, 2017",0.863,0.818
"71","Oct 18, 2017",0.872,0.818
"72","Oct 30, 2017",0.855,0.816
"73","Nov 11, 2017",0.847,0.811
"74","Nov 23, 2017",0.841,0.805
"75","Dec 5, 2017",0.769,0.797
"76","Dec 17, 2017",0.739,0.787
"77","Dec 29, 2017",0.746,0.777
"78","Jan 10, 2018",0.73,0.766
"79","Jan 22, 2018",0.722,0.754
"80","Feb 3, 2018",0.8,0.744
"81","Feb 15, 2018",0.73,0.733
"82","Feb 27, 2018",0.754,0.725
"83","Mar 11, 2018",0.762,0.717
"84","Mar 23, 2018",0.715,0.712
"85","Apr 4, 2018",0.746,0.708
"86","Apr 16, 2018",0.707,0.707
"87","Apr 28, 2018",0.683,0.708
"88","May 10, 2018",0.709,0.711
"89","May 22, 2018",0.662,0.715
"90","Jun 3, 2018",0.67,0.722
"91","Jun 15, 2018",0.7,0.73
"92","Jun 27, 2018",0.69,0.74
"93","Jul 9, 2018",0.67,0.749
"94","Jul 21, 2018",0.676,0.76
"95","Aug 2, 2018",0.744,0.769
"96","Aug 14, 2018",0.694,0.779
"97","Aug 26, 2018",0.705,0.787
"98","Sep 7, 2018",0.738,0.793
"99","Sep 19, 2018",0.761,0.798
"100","Oct 1, 2018",0.744,0.801
"101","Oct 13, 2018",0.803,0.802
"102","Oct 25, 2018",0.779,0.801
"103","Nov 6, 2018",0.795,0.797
"104","Nov 18, 2018",0.762,0.791
"105","Nov 30, 2018",0.723,0.784
"106","Dec 12, 2018",0.729,0.775
"107","Dec 24, 2018",0.745,0.765
"108","Jan 5, 2019",0.741,0.754
"109","Jan 17, 2019",0.716,0.743
"110","Jan 29, 2019",0.728,0.732
"111","Feb 10, 2019",0.724,0.721
"112","Feb 22, 2019",0.706,0.712
"113","Mar 6, 2019",0.729,0.704
"114","Mar 18, 2019",0.721,0.697
"115","Mar 30, 2019",0.715,0.693
"116","Apr 11, 2019",0.717,0.691
"117","Apr 23, 2019",0.725,0.691
"118","May 5, 2019",0.7,0.693
"119","May 17, 2019",0.728,0.697
"120","May 29, 2019",0.678,0.703
"121","Jun 10, 2019",0.732,0.71
"122","Jun 22, 2019",0.747,0.719
"123","Jul 4, 2019",0.713,0.729
"124","Jul 16, 2019",0.73,0.739
"125","Jul 28, 2019",0.752,0.749
"126","Aug 9, 2019",0.791,0.758
"127","Aug 21, 2019",0.825,0.767
"128","Sep 2, 2019",0.817,0.774
"129","Sep 14, 2019",0.842,0.78
"130","Sep 26, 2019",0.864,0.784
"131","Oct 8, 2019",0.887,0.786
"132","Oct 20, 2019",0.863,0.785
"133","Nov 1, 2019",0.814,0.783
"134","Nov 13, 2019",0.803,0.778
"135","Nov 25, 2019",0.764,0.771
"136","Dec 19, 2019",0.689,0.753
"137","Dec 31, 2019",0.682,0.743
"138","Jan 12, 2020",0.681,0.732
"139","Jan 24, 2020",0.729,0.72
"140","Feb 5, 2020",0.686,0.71
"141","Feb 17, 2020",0.706,0.7
"142","Feb 29, 2020",0.74,0.691
"143","Mar 12, 2020",0.706,0.684
"144","Mar 24, 2020",0.698,0.678
"145","Apr 5, 2020",0.701,0.675
"146","Apr 17, 2020",0.715,0.674
"147","Apr 29, 2020",0.668,0.675
"148","May 11, 2020",0.676,0.678
"149","May 23, 2020",0.663,0.684
"150","Jun 4, 2020",0.66,0.69
"151","Jun 16, 2020",0.706,0.699
"152","Jun 28, 2020",0.651,0.708
"153","Jul 10, 2020",0.668,0.718
"154","Jul 22, 2020",0.692,0.728
"155","Aug 3, 2020",0.679,0.738
"156","Aug 15, 2020",0.717,0.747
"157","Aug 27, 2020",0.692,0.755
"158","Sep 8, 2020",0.722,0.762
"159","Sep 20, 2020",0.738,0.766
"160","Oct 2, 2020",0.753,0.769
"161","Oct 14, 2020",0.784,0.769
"162","Oct 26, 2020",0.8,0.768
"163","Nov 7, 2020",0.794,0.764
"164","Nov 19, 2020",0.748,0.758
"165","Dec 1, 2020",0.684,0.75
"166","Dec 13, 2020",0.692,0.741
"167","Dec 25, 2020",0.699,0.731
"168","Jan 6, 2021",0.668,0.72
"169","Jan 18, 2021",0.699,0.709
"170","Jan 30, 2021",0.692,0.698
"171","Feb 11, 2021",0.691,0.688
"172","Feb 23, 2021",0.723,0.678
"173","Mar 7, 2021",0.715,0.67
"174","Mar 19, 2021",0.686,0.664
"175","Mar 31, 2021",0.686,0.66
"176","Apr 12, 2021",0.666,0.658
"177","Apr 24, 2021",0.676,0.658
"178","May 6, 2021",0.676,0.66
"179","May 18, 2021",0.676,0.665
"180","May 30, 2021",0.682,0.671
"181","Jun 11, 2021",0.684,0.679
"182","Jun 23, 2021",0.699,0.688
"183","Jul 5, 2021",0.67,0.697
"184","Jul 17, 2021",0.698,0.707
"185","Jul 29, 2021",0.746,0.717
"186","Aug 10, 2021",0.723,0.727
"187","Aug 22, 2021",0.754,0.735
"188","Sep 3, 2021",0.77,0.743
"189","Sep 15, 2021",0.777,0.748
"190","Sep 27, 2021",0.809,0.752
"191","Oct 9, 2021",0.806,0.753
"192","Oct 21, 2021",0.808,0.752
"193","Nov 2, 2021",0.802,0.749
"194","Nov 14, 2021",0.754,0.744
"195","Nov 26, 2021",0.676,0.738
"196","Dec 8, 2021",0.714,0.729
"197","Dec 20, 2021",0.714,0.719
