"","system.time_start","RVI_median","fitted"
"1","Jan 10, 2016",0.974,0.855
"2","Jan 10, 2016",1.004,0.855
"3","Jan 22, 2016",0.946,0.845
"4","Feb 3, 2016",0.86,0.835
"5","Feb 3, 2016",0.858,0.835
"6","Feb 3, 2016",0.876,0.835
"7","Feb 3, 2016",0.878,0.835
"8","Feb 15, 2016",0.829,0.826
"9","Feb 15, 2016",0.817,0.826
"10","Feb 27, 2016",0.839,0.818
"11","Feb 27, 2016",0.83,0.818
"12","Mar 10, 2016",0.866,0.811
"13","Mar 10, 2016",0.806,0.811
"14","Apr 3, 2016",0.852,0.804
"15","Apr 3, 2016",0.82,0.804
"16","Apr 15, 2016",0.87,0.803
"17","Apr 15, 2016",0.832,0.803
"18","Apr 27, 2016",0.878,0.804
"19","Apr 27, 2016",0.856,0.804
"20","May 9, 2016",0.899,0.807
"21","May 9, 2016",0.912,0.807
"22","May 21, 2016",0.92,0.811
"23","May 21, 2016",0.919,0.811
"24","Jun 2, 2016",0.932,0.817
"25","Jun 2, 2016",0.94,0.817
"26","Jun 14, 2016",0.947,0.824
"27","Jun 14, 2016",0.928,0.824
"28","Jul 8, 2016",0.916,0.84
"29","Jul 8, 2016",0.942,0.84
"30","Jul 20, 2016",0.944,0.848
"31","Jul 20, 2016",0.937,0.848
"32","Aug 1, 2016",0.874,0.855
"33","Aug 1, 2016",0.923,0.855
"34","Aug 13, 2016",0.935,0.862
"35","Aug 13, 2016",0.92,0.862
"36","Aug 25, 2016",0.943,0.868
"37","Aug 25, 2016",0.926,0.868
"38","Sep 6, 2016",0.925,0.872
"39","Sep 6, 2016",0.921,0.872
"40","Sep 18, 2016",0.998,0.875
"41","Sep 18, 2016",1.013,0.875
"42","Oct 6, 2016",0.889,0.875
"43","Oct 18, 2016",0.905,0.873
"44","Oct 30, 2016",0.908,0.869
"45","Nov 11, 2016",0.835,0.864
"46","Nov 23, 2016",0.79,0.856
"47","Dec 5, 2016",0.78,0.848
"48","Dec 17, 2016",0.8,0.838
"49","Dec 29, 2016",0.737,0.828
"50","Jan 10, 2017",0.743,0.817
"51","Jan 22, 2017",0.721,0.807
