"","system.time_start","RVI_median","VH_median","VV_median","Date"
"1","Jan 6, 2019",0.799,-13.555,-7.605,2019-01-06
"2","Jan 18, 2019",0.783,-13.826,-7.648,2019-01-18
"3","Jan 30, 2019",0.799,-13.074,-7.086,2019-01-30
"4","Feb 11, 2019",0.814,-13.583,-7.669,2019-02-11
"5","Feb 23, 2019",0.768,-13.832,-7.536,2019-02-23
"6","Mar 7, 2019",0.771,-13.636,-7.453,2019-03-07
"7","Mar 19, 2019",0.789,-13.741,-7.568,2019-03-19
"8","Mar 31, 2019",0.76,-13.613,-7.326,2019-03-31
"9","Apr 12, 2019",0.804,-12.907,-6.762,2019-04-12
"10","Apr 24, 2019",0.745,-13.883,-7.446,2019-04-24
"11","May 6, 2019",0.754,-13.852,-7.582,2019-05-06
"12","May 18, 2019",0.772,-13.454,-7.164,2019-05-18
"13","May 30, 2019",0.77,-13.834,-7.712,2019-05-30
"14","Jun 11, 2019",0.831,-12.919,-7.139,2019-06-11
"15","Jun 23, 2019",0.808,-13.924,-7.979,2019-06-23
"16","Jul 5, 2019",0.768,-13.981,-7.767,2019-07-05
"17","Jul 17, 2019",0.794,-14.335,-8.207,2019-07-17
"18","Jul 29, 2019",0.757,-13.794,-7.518,2019-07-29
"19","Aug 10, 2019",0.839,-12.643,-6.919,2019-08-10
"20","Aug 22, 2019",0.794,-13.641,-7.548,2019-08-22
"21","Sep 3, 2019",0.791,-13.795,-7.727,2019-09-03
"22","Sep 15, 2019",0.768,-13.987,-7.884,2019-09-15
"23","Sep 27, 2019",0.8,-13.793,-7.799,2019-09-27
"24","Oct 9, 2019",0.816,-13.8,-7.858,2019-10-09
"25","Oct 21, 2019",0.813,-13.77,-7.831,2019-10-21
"26","Nov 2, 2019",0.816,-13.612,-7.6,2019-11-02
"27","Nov 14, 2019",0.842,-13.837,-7.956,2019-11-14
"28","Nov 26, 2019",0.854,-12.858,-7.265,2019-11-26
"29","Dec 8, 2019",0.858,-12.195,-6.602,2019-12-08
"30","Dec 20, 2019",0.816,-13.549,-7.609,2019-12-20
"31","Jan 1, 2020",0.798,-13.737,-7.767,2020-01-01
"32","Jan 13, 2020",0.779,-13.606,-7.467,2020-01-13
"33","Feb 6, 2020",0.78,-13.731,-7.602,2020-02-06
"34","Feb 18, 2020",0.784,-13.642,-7.64,2020-02-18
"35","Mar 1, 2020",0.781,-13.921,-7.824,2020-03-01
"36","Mar 13, 2020",0.807,-12.671,-6.763,2020-03-13
"37","Mar 25, 2020",0.787,-12.981,-7.016,2020-03-25
"38","Apr 6, 2020",0.764,-13.608,-7.352,2020-04-06
"39","Apr 18, 2020",0.798,-12.86,-6.827,2020-04-18
"40","Apr 30, 2020",0.737,-14.012,-7.605,2020-04-30
"41","May 12, 2020",0.757,-13.93,-7.601,2020-05-12
"42","May 24, 2020",0.769,-13.081,-6.989,2020-05-24
"43","Jun 5, 2020",0.759,-13.958,-7.64,2020-06-05
"44","Jun 17, 2020",0.799,-13.016,-7.004,2020-06-17
"45","Jun 29, 2020",0.781,-13.59,-7.482,2020-06-29
"46","Jul 11, 2020",0.74,-14.173,-7.705,2020-07-11
"47","Jul 23, 2020",0.74,-14.073,-7.672,2020-07-23
"48","Aug 4, 2020",0.753,-14.196,-7.769,2020-08-04
"49","Aug 16, 2020",0.77,-13.603,-7.387,2020-08-16
"50","Aug 28, 2020",0.782,-13.946,-7.762,2020-08-28
"51","Sep 9, 2020",0.897,-14.054,-8.646,2020-09-09
"52","Sep 21, 2020",0.943,-13.89,-8.835,2020-09-21
"53","Oct 15, 2020",0.941,-13.547,-8.372,2020-10-15
"54","Oct 27, 2020",0.982,-12.674,-7.639,2020-10-27
"55","Nov 8, 2020",0.972,-13.203,-8.232,2020-11-08
"56","Nov 20, 2020",0.816,-13.015,-7.107,2020-11-20
"57","Dec 2, 2020",0.791,-13.514,-7.521,2020-12-02
"58","Dec 14, 2020",0.754,-13.923,-7.597,2020-12-14
"59","Dec 26, 2020",0.757,-13.957,-7.615,2020-12-26
"60","Jan 7, 2021",0.757,-13.926,-7.613,2021-01-07
"61","Jan 19, 2021",0.775,-14.08,-7.796,2021-01-19
"62","Jan 31, 2021",0.78,-13.851,-7.697,2021-01-31
"63","Feb 12, 2021",0.772,-13.866,-7.641,2021-02-12
"64","Feb 24, 2021",0.751,-13.799,-7.551,2021-02-24
"65","Mar 8, 2021",0.744,-13.805,-7.52,2021-03-08
"66","Mar 20, 2021",0.78,-13.228,-7.078,2021-03-20
"67","Apr 1, 2021",0.78,-13.356,-7.169,2021-04-01
"68","Apr 13, 2021",0.765,-14.084,-7.863,2021-04-13
"69","Apr 25, 2021",0.761,-13.76,-7.486,2021-04-25
"70","May 7, 2021",0.786,-13.705,-7.548,2021-05-07
"71","Aug 23, 2021",0.831,-13.482,-7.697,2021-08-23
"72","Sep 4, 2021",0.821,-13.223,-7.329,2021-09-04
"73","Sep 16, 2021",0.822,-13.668,-7.802,2021-09-16
"74","Sep 28, 2021",0.85,-13.42,-7.605,2021-09-28
"75","Oct 10, 2021",0.892,-12.79,-7.38,2021-10-10
"76","Oct 22, 2021",0.853,-12.552,-6.986,2021-10-22
"77","Nov 3, 2021",0.845,-12.422,-6.857,2021-11-03
"78","Nov 15, 2021",0.835,-12.922,-7.169,2021-11-15
"79","Nov 27, 2021",0.796,-13.853,-7.704,2021-11-27
"80","Dec 9, 2021",0.82,-12.364,-6.584,2021-12-09
"81","Dec 21, 2021",0.799,-12.988,-6.954,2021-12-21
