"","system.time_start","RVI_median","VH_median","VV_median","Date"
"1","Jan 6, 2019",0.744,-12.991,-6.569,2019-01-06
"2","Jan 18, 2019",0.732,-13.192,-6.66,2019-01-18
"3","Jan 30, 2019",0.783,-12.459,-6.297,2019-01-30
"4","Feb 11, 2019",0.758,-12.944,-6.525,2019-02-11
"5","Feb 23, 2019",0.743,-12.757,-6.383,2019-02-23
"6","Mar 7, 2019",0.703,-13.106,-6.374,2019-03-07
"7","Mar 19, 2019",0.745,-13.449,-6.964,2019-03-19
"8","Mar 31, 2019",0.718,-13.02,-6.402,2019-03-31
"9","Apr 12, 2019",0.72,-12.86,-6.274,2019-04-12
"10","Apr 24, 2019",0.713,-12.726,-6.13,2019-04-24
"11","May 6, 2019",0.733,-12.551,-6.115,2019-05-06
"12","May 18, 2019",0.701,-12.931,-6.223,2019-05-18
"13","May 30, 2019",0.673,-12.726,-5.792,2019-05-30
"14","Jun 11, 2019",0.723,-12.538,-6.045,2019-06-11
"15","Jun 23, 2019",0.72,-12.791,-6.226,2019-06-23
"16","Jul 5, 2019",0.669,-13.317,-6.357,2019-07-05
"17","Jul 17, 2019",0.645,-13.518,-6.378,2019-07-17
"18","Jul 29, 2019",0.72,-12.692,-6.102,2019-07-29
"19","Aug 10, 2019",0.712,-12.946,-6.309,2019-08-10
"20","Aug 22, 2019",0.718,-12.711,-6.166,2019-08-22
"21","Sep 3, 2019",0.682,-13.058,-6.13,2019-09-03
"22","Sep 15, 2019",0.659,-13.274,-6.216,2019-09-15
"23","Sep 27, 2019",0.694,-12.772,-5.916,2019-09-27
"24","Oct 9, 2019",0.716,-12.738,-6.074,2019-10-09
"25","Oct 21, 2019",0.68,-13.084,-6.306,2019-10-21
"26","Nov 2, 2019",0.722,-12.571,-6.036,2019-11-02
"27","Nov 14, 2019",0.719,-12.975,-6.397,2019-11-14
"28","Nov 26, 2019",0.712,-13.29,-6.661,2019-11-26
"29","Dec 8, 2019",0.762,-12.493,-6.197,2019-12-08
"30","Dec 20, 2019",0.712,-12.997,-6.398,2019-12-20
"31","Jan 1, 2020",0.75,-12.448,-6.056,2020-01-01
"32","Jan 13, 2020",0.714,-13.065,-6.429,2020-01-13
"33","Feb 6, 2020",0.719,-13.084,-6.603,2020-02-06
"34","Feb 18, 2020",0.734,-12.824,-6.38,2020-02-18
"35","Mar 1, 2020",0.7,-13.394,-6.608,2020-03-01
"36","Mar 13, 2020",0.751,-12.49,-6.07,2020-03-13
"37","Mar 25, 2020",0.7,-13.334,-6.585,2020-03-25
"38","Apr 6, 2020",0.717,-12.917,-6.288,2020-04-06
"39","Apr 18, 2020",0.726,-12.583,-5.996,2020-04-18
"40","Apr 30, 2020",0.657,-13.132,-6.056,2020-04-30
"41","May 12, 2020",0.666,-13.429,-6.43,2020-05-12
"42","May 24, 2020",0.655,-12.946,-5.851,2020-05-24
"43","Jun 5, 2020",0.669,-13.214,-6.247,2020-06-05
"44","Jun 17, 2020",0.723,-12.867,-6.252,2020-06-17
"45","Jun 29, 2020",0.658,-13.1,-6.043,2020-06-29
"46","Jul 11, 2020",0.644,-12.9,-5.774,2020-07-11
"47","Jul 23, 2020",0.641,-13.285,-6.067,2020-07-23
"48","Aug 4, 2020",0.665,-13.261,-6.258,2020-08-04
"49","Aug 16, 2020",0.665,-12.633,-5.685,2020-08-16
"50","Aug 28, 2020",0.707,-12.763,-6.019,2020-08-28
"51","Sep 9, 2020",0.756,-13.131,-6.85,2020-09-09
"52","Sep 21, 2020",0.774,-13.241,-7.009,2020-09-21
"53","Oct 15, 2020",0.795,-12.959,-6.896,2020-10-15
"54","Oct 27, 2020",0.814,-13.01,-7.043,2020-10-27
"55","Nov 8, 2020",0.813,-12.804,-6.864,2020-11-08
"56","Nov 20, 2020",0.739,-12.692,-6.211,2020-11-20
"57","Dec 2, 2020",0.7,-13.019,-6.225,2020-12-02
"58","Dec 14, 2020",0.679,-13.194,-6.291,2020-12-14
"59","Dec 26, 2020",0.712,-13.117,-6.444,2020-12-26
"60","Jan 7, 2021",0.7,-13.261,-6.482,2021-01-07
"61","Jan 19, 2021",0.692,-13.228,-6.373,2021-01-19
"62","Jan 31, 2021",0.69,-13.152,-6.384,2021-01-31
"63","Feb 12, 2021",0.686,-13.307,-6.424,2021-02-12
"64","Feb 24, 2021",0.679,-13.291,-6.299,2021-02-24
"65","Mar 8, 2021",0.701,-13.573,-6.808,2021-03-08
"66","Mar 20, 2021",0.704,-12.895,-6.212,2021-03-20
"67","Apr 1, 2021",0.689,-13.45,-6.628,2021-04-01
"68","Apr 13, 2021",0.665,-13.505,-6.507,2021-04-13
"69","Apr 25, 2021",0.673,-13.103,-6.211,2021-04-25
"70","May 7, 2021",0.687,-12.945,-6.09,2021-05-07
"71","Aug 23, 2021",0.698,-12.801,-6.064,2021-08-23
"72","Sep 4, 2021",0.691,-12.849,-6.03,2021-09-04
"73","Sep 16, 2021",0.671,-13.052,-6.071,2021-09-16
"74","Sep 28, 2021",0.726,-12.746,-6.212,2021-09-28
"75","Oct 10, 2021",0.761,-12.512,-6.16,2021-10-10
"76","Oct 22, 2021",0.706,-13.134,-6.402,2021-10-22
"77","Nov 3, 2021",0.736,-12.708,-6.183,2021-11-03
"78","Nov 15, 2021",0.724,-13.019,-6.45,2021-11-15
"79","Nov 27, 2021",0.706,-13.218,-6.48,2021-11-27
"80","Dec 9, 2021",0.745,-12.446,-5.992,2021-12-09
"81","Dec 21, 2021",0.738,-12.59,-6.129,2021-12-21
