system:time_start,RVI_median,VH_median,VV_median
"Jan 10, 2016",0.884,-12.608,-7.304
"Jan 22, 2016",0.934,-11.514,-6.388
"Feb 3, 2016",0.842,-13.265,-7.445
"Feb 3, 2016",0.843,-13.25,-7.443
"Feb 15, 2016",0.843,-13.047,-7.265
"Feb 27, 2016",0.812,-13.389,-7.55
"Mar 10, 2016",0.808,-13.39,-7.446
"Apr 3, 2016",0.8,-13.547,-7.607
"Apr 15, 2016",0.828,-13.742,-7.795
"Apr 27, 2016",0.798,-13.567,-7.547
"May 9, 2016",0.83,-13.892,-7.946
"May 21, 2016",0.854,-12.835,-7.106
"Jun 2, 2016",0.808,-13.931,-7.955
"Jun 14, 2016",0.847,-13.301,-7.581
"Jul 8, 2016",0.808,-13.515,-7.615
"Jul 20, 2016",0.849,-13.196,-7.548
"Aug 1, 2016",0.801,-13.692,-7.746
"Aug 13, 2016",0.85,-13.367,-7.605
"Aug 25, 2016",0.843,-13.914,-8.276
"Sep 6, 2016",0.856,-13.669,-8.078
"Sep 18, 2016",0.892,-13.674,-8.363
"Sep 30, 2016",0.83,-13.273,-7.488
"Oct 12, 2016",0.876,-12.609,-7.165
"Oct 24, 2016",0.851,-13.299,-7.696
"Nov 5, 2016",0.854,-13.291,-7.73
"Nov 17, 2016",0.869,-12.42,-6.861
"Nov 29, 2016",0.835,-12.985,-7.237
"Dec 11, 2016",0.846,-12.521,-6.887
"Dec 23, 2016",0.823,-12.835,-7.054
