"","system.time_start","RVI_median","VH_median","Date"
"1","Jan 10, 2016",0.884,-12.608,2016-01-10
"2","Jan 22, 2016",0.934,-11.514,2016-01-22
"3","Feb 3, 2016",0.8425,-13.2575,2016-02-03
"4","Feb 15, 2016",0.843,-13.047,2016-02-15
"5","Feb 27, 2016",0.812,-13.389,2016-02-27
"6","Mar 10, 2016",0.808,-13.39,2016-03-10
"7","Apr 3, 2016",0.8,-13.547,2016-04-03
"8","Apr 15, 2016",0.828,-13.742,2016-04-15
"9","Apr 27, 2016",0.798,-13.567,2016-04-27
"10","May 9, 2016",0.83,-13.892,2016-05-09
"11","May 21, 2016",0.854,-12.835,2016-05-21
"12","Jun 2, 2016",0.808,-13.931,2016-06-02
"13","Jun 14, 2016",0.847,-13.301,2016-06-14
"14","Jul 8, 2016",0.808,-13.515,2016-07-08
"15","Jul 20, 2016",0.849,-13.196,2016-07-20
"16","Aug 1, 2016",0.801,-13.692,2016-08-01
"17","Aug 13, 2016",0.85,-13.367,2016-08-13
"18","Aug 25, 2016",0.843,-13.914,2016-08-25
"19","Sep 6, 2016",0.856,-13.669,2016-09-06
"20","Sep 18, 2016",0.892,-13.674,2016-09-18
"21","Sep 30, 2016",0.83,-13.273,2016-09-30
"22","Oct 12, 2016",0.876,-12.609,2016-10-12
"23","Oct 24, 2016",0.851,-13.299,2016-10-24
"24","Nov 5, 2016",0.854,-13.291,2016-11-05
"25","Nov 17, 2016",0.869,-12.42,2016-11-17
"26","Nov 29, 2016",0.835,-12.985,2016-11-29
"27","Dec 11, 2016",0.846,-12.521,2016-12-11
"28","Dec 23, 2016",0.823,-12.835,2016-12-23
"29","Jan 3, 2017",0.722,-13.463,2017-01-03
"30","Jan 15, 2017",0.793,-12.838,2017-01-15
"31","Jan 27, 2017",0.715,-13.464,2017-01-27
"32","Feb 8, 2017",0.786,-12.345,2017-02-08
"33","Feb 20, 2017",0.739,-13.475,2017-02-20
"34","Mar 4, 2017",0.732,-13.347,2017-03-04
"35","Mar 16, 2017",0.738,-13.467,2017-03-16
"36","Mar 28, 2017",0.786,-12.478,2017-03-28
"37","Apr 9, 2017",0.731,-13.537,2017-04-09
"38","May 3, 2017",0.754,-13.588,2017-05-03
"39","May 15, 2017",0.715,-13.532,2017-05-15
"40","May 27, 2017",0.684,-13.349,2017-05-27
