system:time_start,RVI_median,VH_median,VV_median
"Jan 6, 2019",0.744,-12.991,-6.569
"Jan 18, 2019",0.732,-13.192,-6.66
"Jan 30, 2019",0.783,-12.459,-6.297
"Feb 11, 2019",0.758,-12.944,-6.525
"Feb 23, 2019",0.743,-12.757,-6.383
"Mar 7, 2019",0.703,-13.106,-6.374
"Mar 19, 2019",0.745,-13.449,-6.964
"Mar 31, 2019",0.718,-13.02,-6.402
"Apr 12, 2019",0.72,-12.86,-6.274
"Apr 24, 2019",0.713,-12.726,-6.13
"May 6, 2019",0.733,-12.551,-6.115
"May 18, 2019",0.701,-12.931,-6.223
"May 30, 2019",0.673,-12.726,-5.792
"Jun 11, 2019",0.723,-12.538,-6.045
"Jun 23, 2019",0.72,-12.791,-6.226
"Jul 5, 2019",0.669,-13.317,-6.357
"Jul 17, 2019",0.645,-13.518,-6.378
"Jul 29, 2019",0.72,-12.692,-6.102
"Aug 10, 2019",0.712,-12.946,-6.309
"Aug 22, 2019",0.718,-12.711,-6.166
"Sep 3, 2019",0.682,-13.058,-6.13
"Sep 15, 2019",0.659,-13.274,-6.216
"Sep 27, 2019",0.694,-12.772,-5.916
"Oct 9, 2019",0.716,-12.738,-6.074
"Oct 21, 2019",0.68,-13.084,-6.306
"Nov 2, 2019",0.722,-12.571,-6.036
"Nov 14, 2019",0.719,-12.975,-6.397
"Nov 26, 2019",0.712,-13.29,-6.661
"Dec 8, 2019",0.762,-12.493,-6.197
"Dec 20, 2019",0.712,-12.997,-6.398
