system:time_start,RVI_median,VH_median,VV_median
"Jan 3, 2017",0.722,-13.463,-6.802
"Jan 15, 2017",0.793,-12.838,-6.794
"Jan 27, 2017",0.715,-13.464,-6.818
"Feb 8, 2017",0.786,-12.345,-6.178
"Feb 20, 2017",0.739,-13.475,-6.942
"Mar 4, 2017",0.732,-13.347,-6.806
"Mar 16, 2017",0.738,-13.467,-6.947
"Mar 28, 2017",0.786,-12.478,-6.317
"Apr 9, 2017",0.731,-13.537,-6.943
"May 3, 2017",0.754,-13.588,-7.19
"May 15, 2017",0.715,-13.532,-6.813
"May 27, 2017",0.684,-13.349,-6.434
"Jun 8, 2017",0.714,-13.464,-6.704
"Jun 20, 2017",0.761,-13.658,-7.316
"Jul 2, 2017",0.715,-13.836,-7.184
"Jul 14, 2017",0.738,-13.663,-7.192
"Jul 26, 2017",0.746,-13.901,-7.427
"Aug 7, 2017",0.785,-13.906,-7.674
"Aug 19, 2017",0.794,-13.721,-7.545
"Aug 31, 2017",0.8,-13.848,-7.812
"Sep 12, 2017",0.839,-13.594,-7.702
"Sep 24, 2017",0.902,-13.156,-7.691
"Oct 6, 2017",0.863,-12.852,-7.304
"Oct 18, 2017",0.872,-12.784,-7.183
"Oct 30, 2017",0.855,-12.658,-6.93
"Nov 11, 2017",0.847,-12.281,-6.429
"Nov 23, 2017",0.841,-12.098,-6.304
"Dec 5, 2017",0.769,-12.534,-6.31
"Dec 17, 2017",0.739,-13.341,-6.804
"Dec 29, 2017",0.746,-13.467,-7.055
