system:time_start,RVI_median,VH_median,VV_median
"Jan 10, 2016",0.974,-12.454,-7.574
"Jan 10, 2016",1.004,-12.714,-7.928
"Jan 22, 2016",0.946,-11.485,-6.389
"Feb 3, 2016",0.86,-12.484,-6.892
"Feb 3, 2016",0.858,-12.486,-6.891
"Feb 3, 2016",0.876,-12.559,-6.89
"Feb 3, 2016",0.878,-12.562,-6.889
"Feb 15, 2016",0.829,-12.64,-6.829
"Feb 15, 2016",0.817,-12.738,-7.03
"Feb 27, 2016",0.839,-12.985,-7.176
"Feb 27, 2016",0.83,-12.968,-7.195
"Mar 10, 2016",0.866,-13.455,-7.893
"Mar 10, 2016",0.806,-13.47,-7.592
"Apr 3, 2016",0.852,-13.483,-7.833
"Apr 3, 2016",0.82,-13.455,-7.735
"Apr 15, 2016",0.87,-13.671,-8.17
"Apr 15, 2016",0.832,-13.844,-8.035
"Apr 27, 2016",0.878,-13.798,-8.327
"Apr 27, 2016",0.856,-14.037,-8.36
"May 9, 2016",0.899,-13.987,-8.643
"May 9, 2016",0.912,-14.119,-8.882
"May 21, 2016",0.92,-13.389,-8.14
"May 21, 2016",0.919,-13.678,-8.373
"Jun 2, 2016",0.932,-13.548,-8.423
"Jun 2, 2016",0.94,-13.739,-8.835
"Jun 14, 2016",0.947,-13.639,-8.575
"Jun 14, 2016",0.928,-13.771,-8.855
"Jul 8, 2016",0.916,-13.174,-7.956
"Jul 8, 2016",0.942,-13.306,-8.347
"Jul 20, 2016",0.944,-13.576,-8.508
"Jul 20, 2016",0.937,-14.03,-8.824
"Aug 1, 2016",0.874,-13.542,-8.053
"Aug 1, 2016",0.923,-14.075,-8.985
"Aug 13, 2016",0.935,-13.832,-8.736
"Aug 13, 2016",0.92,-14.075,-8.824
"Aug 25, 2016",0.943,-13.968,-8.891
"Aug 25, 2016",0.926,-14.09,-8.983
"Sep 6, 2016",0.925,-13.298,-8.015
"Sep 6, 2016",0.921,-13.62,-8.281
"Sep 18, 2016",0.998,-13.419,-8.671
"Sep 18, 2016",1.013,-13.748,-9.069
"Oct 6, 2016",0.889,-13.051,-7.669
"Oct 18, 2016",0.905,-13.112,-7.759
"Oct 30, 2016",0.908,-12.17,-6.858
"Nov 11, 2016",0.835,-12.737,-7.016
"Nov 23, 2016",0.79,-12.918,-6.894
"Dec 5, 2016",0.78,-13.018,-6.889
"Dec 17, 2016",0.8,-12.547,-6.518
"Dec 29, 2016",0.737,-13.426,-6.956
