"","system.time_start","RVI_median","VH_median","VV_median","Date"
"1","Jan 10, 2016",0.989,-12.584,-7.751,2016-01-10
"2","Jan 22, 2016",0.946,-11.485,-6.389,2016-01-22
"3","Feb 3, 2016",0.868,-12.52275,-6.8905,2016-02-03
"4","Feb 15, 2016",0.823,-12.689,-6.9295,2016-02-15
"5","Feb 27, 2016",0.8345,-12.9765,-7.1855,2016-02-27
"6","Mar 10, 2016",0.836,-13.4625,-7.7425,2016-03-10
"7","Apr 3, 2016",0.836,-13.469,-7.784,2016-04-03
"8","Apr 15, 2016",0.851,-13.7575,-8.1025,2016-04-15
"9","Apr 27, 2016",0.867,-13.9175,-8.3435,2016-04-27
"10","May 9, 2016",0.9055,-14.053,-8.7625,2016-05-09
"11","May 21, 2016",0.9195,-13.5335,-8.2565,2016-05-21
"12","Jun 2, 2016",0.936,-13.6435,-8.629,2016-06-02
"13","Jun 14, 2016",0.9375,-13.705,-8.715,2016-06-14
"14","Jul 8, 2016",0.929,-13.24,-8.1515,2016-07-08
"15","Jul 20, 2016",0.9405,-13.803,-8.666,2016-07-20
"16","Aug 1, 2016",0.8985,-13.8085,-8.519,2016-08-01
"17","Aug 13, 2016",0.9275,-13.9535,-8.78,2016-08-13
"18","Aug 25, 2016",0.9345,-14.029,-8.937,2016-08-25
"19","Sep 6, 2016",0.923,-13.459,-8.148,2016-09-06
"20","Sep 18, 2016",1.0055,-13.5835,-8.87,2016-09-18
"21","Oct 6, 2016",0.889,-13.051,-7.669,2016-10-06
"22","Oct 18, 2016",0.905,-13.112,-7.759,2016-10-18
"23","Oct 30, 2016",0.908,-12.17,-6.858,2016-10-30
"24","Nov 11, 2016",0.835,-12.737,-7.016,2016-11-11
"25","Nov 23, 2016",0.79,-12.918,-6.894,2016-11-23
"26","Dec 5, 2016",0.78,-13.018,-6.889,2016-12-05
"27","Dec 17, 2016",0.8,-12.547,-6.518,2016-12-17
"28","Dec 29, 2016",0.737,-13.426,-6.956,2016-12-29
"29","Jan 10, 2017",0.743,-13.523,-7.07,2017-01-10
"30","Jan 22, 2017",0.721,-13.672,-7.107,2017-01-22
"31","Feb 3, 2017",0.731,-13.555,-7.084,2017-02-03
"32","Feb 15, 2017",0.775,-12.519,-6.329,2017-02-15
"33","Feb 27, 2017",0.716,-13.428,-6.822,2017-02-27
"34","Mar 11, 2017",0.694,-13.859,-7.107,2017-03-11
"35","Mar 23, 2017",0.747,-13.608,-7.181,2017-03-23
"36","Apr 4, 2017",0.704,-13.947,-7.24,2017-04-04
"37","Apr 16, 2017",0.755,-14.133,-7.765,2017-04-16
"38","Apr 28, 2017",0.818,-12.983,-7.075,2017-04-28
"39","May 10, 2017",0.724,-13.476,-6.894,2017-05-10
"40","May 22, 2017",0.835,-12.138,-6.391,2017-05-22
"41","Jun 3, 2017",0.738,-13.646,-7.175,2017-06-03
"42","Jun 15, 2017",0.734,-13.514,-7.021,2017-06-15
"43","Jun 27, 2017",0.782,-12.65,-6.483,2017-06-27
"44","Jul 9, 2017",0.769,-12.802,-6.568,2017-07-09
"45","Jul 21, 2017",0.702,-13.631,-6.957,2017-07-21
"46","Aug 2, 2017",0.728,-13.171,-6.669,2017-08-02
"47","Aug 14, 2017",0.724,-13.949,-7.41,2017-08-14
"48","Sep 7, 2017",0.736,-13.896,-7.475,2017-09-07
"49","Sep 19, 2017",0.827,-12.736,-6.923,2017-09-19
"50","Oct 1, 2017",0.802,-13.337,-7.301,2017-10-01
