system:index,bottom,id,left,mean_doubl,right,top,.geo
00000000000000000042,-19.77156899600007,21060,-42.592474993,1.1499,-42.591578993000006,-19.77067299600007,"{""type"":""Polygon"",""coordinates"":[[[-42.5924771234929,-19.771569331492266],[-42.59158086573178,-19.771569374210696],[-42.59158086573178,-19.77067306544572],[-42.5924771234929,-19.77067303178655],[-42.5924771234929,-19.771569331492266]]]}"
00000000000000000057,-19.77873699600007,64384,-42.485850993,9.4423,-42.484954993,-19.77784099600007,"{""type"":""Polygon"",""coordinates"":[[[-42.48585110070027,-19.778735156420343],[-42.48495480586283,-19.778735155752074],[-42.48495480586283,-19.777838840164424],[-42.48585110070027,-19.777838849860487],[-42.48585110070027,-19.778735156420343]]]}"
00000000000000000053,-19.637168996000067,50758,-42.519002993,8.2279,-42.518106993,-19.636272996000066,"{""type"":""Polygon"",""coordinates"":[[[-42.519004479924675,-19.637167569064736],[-42.518108229704204,-19.637167548342052],[-42.518108229704204,-19.63627132038688],[-42.519004479924675,-19.636271277312268],[-42.519004479924675,-19.637167569064736]]]}"
0000000000000000000f,-19.76350499600007,65823,-42.482266993,10.8554,-42.481370993000006,-19.76260899600007,"{""type"":""Polygon"",""coordinates"":[[[-42.48226597898852,-19.763502830816925],[-42.48136969761171,-19.763502848184736],[-42.48136969761171,-19.762610995053354],[-42.48226597898852,-19.76261098666856],[-42.48226597898852,-19.763502830816925]]]}"
00000000000000000030,-19.64523299600007,37299,-42.552154993,10.1353,-42.551258993000005,-19.644336996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.55215349605125,-19.645234099141536],[-42.55125721689264,-19.645234058062638],[-42.55125721689263,-19.644337772787093],[-42.55215349605124,-19.644337822923926],[-42.55215349605125,-19.645234099141536]]]}"
0000000000000000003f,-19.698096996000068,10422,-42.61845899300001,5.5303,-42.61756299300001,-19.697200996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.61846030744103,-19.698096732985025],[-42.61756404954418,-19.698096711859787],[-42.61756404954418,-19.697200478233277],[-42.61846030744104,-19.69720043564984],[-42.61846030744103,-19.698096732985025]]]}"
00000000000000000015,-19.65329699600007,40220,-42.544986993,9.9319,-42.544090993000005,-19.65240099600007,"{""type"":""Polygon"",""coordinates"":[[[-42.54498769426208,-19.65329618005894],[-42.544091441487836,-19.65329612631802],[-42.544091441487836,-19.652399886365835],[-42.544987694262076,-19.65239987633249],[-42.54498769426208,-19.65329618005894]]]}"
00000000000000000056,-19.708848996000068,40282,-42.544986993,5.8269,-42.544090993000005,-19.707952996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.544987694262076,-19.70884761533151],[-42.544091441487836,-19.70884761280727],[-42.544091441487836,-19.707951327766498],[-42.54498769426208,-19.707951339341008],[-42.544987694262076,-19.70884761533151]]]}"
00000000000000000060,-19.683760996000068,11862,-42.614874993,9.4311,-42.613978993,-19.682864996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.614875183017865,-19.68376073586383],[-42.613978863231246,-19.683760762574984],[-42.613978863231246,-19.682864469074595],[-42.614875183017865,-19.68286445143717],[-42.614875183017865,-19.68376073586383]]]}"
00000000000000000004,-19.609392996000068,41627,-42.541402993,5.7566,-42.540506993,-19.608496996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.54140259069938,-19.609391818708147],[-42.54050627628204,-19.60939187861022],[-42.540506276282045,-19.60849553670971],[-42.54140259069938,-19.608495558685956],[-42.54140259069938,-19.609391818708147]]]}"
0000000000000000003d,-19.712432996000068,43198,-42.537818993,2.3905,-42.536922993000005,-19.711536996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.537817465054516,-19.71243277611358],[-42.53692116383106,-19.71243273720603],[-42.53692116383107,-19.711536440404657],[-42.53781746505451,-19.71153648836056],[-42.537817465054516,-19.71243277611358]]]}"
00000000000000000059,-19.779632996000068,14881,-42.607706993,0.5436,-42.606810993,-19.778736996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.607704938802726,-19.779631400227117],[-42.606813128468985,-19.779631426240783],[-42.606813128468985,-19.7787350987996],[-42.607704938802726,-19.778735154616207],[-42.607704938802726,-19.779631400227117]]]}"
00000000000000000036,-19.67121699600007,31140,-42.567386993,8.3324,-42.566490993,-19.67032099600007,"{""type"":""Polygon"",""coordinates"":[[[-42.567385788577326,-19.671217288394306],[-42.56648947237363,-19.671217267739614],[-42.566489472373625,-19.670320973799836],[-42.567385788577326,-19.670321003515237],[-42.567385788577326,-19.671217288394306]]]}"
0000000000000000003e,-19.77694499600007,31258,-42.567386993,10.6949,-42.566490993,-19.776048996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.567385788577326,-19.77694699233065],[-42.566489472373625,-19.776947020357824],[-42.566489472373625,-19.77605073139815],[-42.56738578857733,-19.77605071242277],[-42.567385788577326,-19.77694699233065]]]}"
00000000000000000044,-19.77784099600007,2867,-42.637274993,7.5298,-42.636378993,-19.77694499600007,"{""type"":""Polygon"",""coordinates"":[[[-42.63727321945116,-19.7778388545825],[-42.63637698770068,-19.77783884245892],[-42.63637698770068,-19.77694704177825],[-42.63727321945116,-19.776947062927576],[-42.63727321945116,-19.7778388545825]]]}"
0000000000000000002e,-19.66046499600007,46052,-42.530650993,9.4742,-42.529754993000005,-19.65956899600007,"{""type"":""Polygon"",""coordinates"":[[[-42.530651712914235,-19.660466363065964],[-42.52975536337011,-19.660466382604966],[-42.52975536337011,-19.659570118754804],[-42.53065171291424,-19.659570108266855],[-42.530651712914235,-19.660466363065964]]]}"
00000000000000000058,-19.716016996000068,46114,-42.530650993,2.6812,-42.529754993000005,-19.715120996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.530651712914235,-19.716017878463933],[-42.52975536337011,-19.71601787604366],[-42.52975536337011,-19.715121567565948],[-42.53065171291424,-19.715121579032903],[-42.530651712914235,-19.716017878463933]]]}"
0000000000000000003a,-19.719600996000068,17726,-42.600538993,7.3402,-42.599642993,-19.718704996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.60053916057833,-19.71960300476557],[-42.5996428923452,-19.7196029870048],[-42.5996428923452,-19.718706716979224],[-42.60053916057833,-19.718706743805537],[-42.60053916057833,-19.71960300476557]]]}"
00000000000000000061,-19.739312996000066,32672,-42.563802993,2.3462,-42.562906993000006,-19.73841699600007,"{""type"":""Polygon"",""coordinates"":[[[-42.56380506821346,-19.739312206008368],[-42.5629088399474,-19.739312221863496],[-42.5629088399474,-19.738415950573458],[-42.56380506821346,-19.73841594377117],[-42.56380506821346,-19.739312206008368]]]}"
00000000000000000063,-19.565488996000074,32478,-42.563802993,3.2212,-42.562906993000006,-19.56459299600007,"{""type"":""Polygon"",""coordinates"":[[[-42.56380506821346,-19.56548752558895],[-42.5629088399474,-19.5654875317966],[-42.5629088399474,-19.564591279765086],[-42.56380506821346,-19.564591282624942],[-42.56380506821346,-19.56548752558895]]]}"
00000000000000000046,-19.669424996000068,47518,-42.527066993,7.6148,-42.526170993,-19.668528996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.52706659654262,-19.669424712166045],[-42.52617026024149,-19.669424702218414],[-42.52617026024149,-19.668528444136843],[-42.52706659654261,-19.668528463133416],[-42.52706659654262,-19.669424712166045]]]}"
0000000000000000004d,-19.69003299600007,47541,-42.527066993,9.8322,-42.526170993,-19.68913699600007,"{""type"":""Polygon"",""coordinates"":[[[-42.52706659654262,-19.6900347002423],[-42.52617026024149,-19.69003467980628],[-42.52617026024149,-19.689138423812384],[-42.52706659654262,-19.689138380441907],[-42.52706659654262,-19.6900347002423]]]}"
0000000000000000004e,-19.651504996000067,47498,-42.527066993,8.7795,-42.526170993,-19.650608996000066,"{""type"":""Polygon"",""coordinates"":[[[-42.52706659654262,-19.651503596615573],[-42.52617026024149,-19.651503624250942],[-42.52617026024149,-19.65060735516967],[-42.52706659654262,-19.650607336585022],[-42.52706659654262,-19.651503596615573]]]}"
0000000000000000000a,-19.69899299600007,19159,-42.59695499300001,7.1418,-42.59605899300001,-19.698096996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.596954069641335,-19.698993033303157],[-42.59605773957834,-19.698993000066167],[-42.59605773957834,-19.69809676412655],[-42.596954069641335,-19.698096733631285],[-42.596954069641335,-19.698993033303157]]]}"
00000000000000000009,-19.56100899600007,33929,-42.560218993,6.2684,-42.559322993,-19.56011299600007,"{""type"":""Polygon"",""coordinates"":[[[-42.56021998779793,-19.56101060999264],[-42.5593236978279,-19.56101061844962],[-42.5593236978279,-19.5601143460089],[-42.560219987797936,-19.56011434661959],[-42.56021998779793,-19.56101060999264]]]}"
00000000000000000054,-19.68107299600007,34063,-42.560218993,7.3182,-42.559322993,-19.680176996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.560219987797936,-19.68107186339171],[-42.55932369782789,-19.68107192092347],[-42.55932369782789,-19.680175593472566],[-42.56021998779793,-19.680175617822833],[-42.560219987797936,-19.68107186339171]]]}"
0000000000000000005f,-19.53592099600007,35357,-42.556634993,5.927,-42.555738993000006,-19.535024996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.556634884970535,-19.535919233733612],[-42.555738608106495,-19.5359192325896],[-42.55573860810649,-19.535022940319493],[-42.556634884970535,-19.535022950532337],[-42.556634884970535,-19.535919233733612]]]}"
00000000000000000026,-19.74916899600007,8659,-42.622938993,1.336,-42.622042993,-19.74827299600007,"{""type"":""Polygon"",""coordinates"":[[[-42.622937255997826,-19.74916679598447],[-42.62204092598258,-19.74916685766978],[-42.62204092598258,-19.748275008687397],[-42.622937255997826,-19.748275028819073],[-42.622937255997826,-19.74916679598447]]]}"
00000000000000000037,-19.71422499600007,23544,-42.586202993,7.4111,-42.585306993,-19.71332899600007,"{""type"":""Polygon"",""coordinates"":[[[-42.5862031442192,-19.71422534649626],[-42.585306853068296,-19.71422532571559],[-42.585306853068296,-19.713329001834378],[-42.5862031442192,-19.713329031677617],[-42.5862031442192,-19.71422534649626]]]}"
0000000000000000003c,-19.76977699600007,23606,-42.586202993,0.0,-42.585306993,-19.768880996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.5862031442192,-19.7697768027387],[-42.585306853068296,-19.769776833749198],[-42.585306853068296,-19.768880540418152],[-42.5862031442192,-19.768880518465355],[-42.5862031442192,-19.7697768027387]]]}"
00000000000000000038,-19.519792996000067,38251,-42.549466993,9.8924,-42.548570993000006,-19.518896996000066,"{""type"":""Polygon"",""coordinates"":[[[-42.54946910101703,-19.519795156202754],[-42.548572775682274,-19.519795138246465],[-42.548572775682274,-19.518898831110516],[-42.54946910101703,-19.518898858135497],[-42.54946910101703,-19.519795156202754]]]}"
0000000000000000000b,-19.73483299600007,10099,-42.619354993,4.5963,-42.61845899300001,-19.733936996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.61935654986491,-19.734830823867128],[-42.61846030744103,-19.734830816944157],[-42.61846030744103,-19.733938980206656],[-42.61935654986491,-19.7339389961543],[-42.61935654986491,-19.734830823867128]]]}"
00000000000000000062,-19.62104099600007,24896,-42.58261899300001,7.4981,-42.58172299300001,-19.620144996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.58261803646294,-19.621038995630798],[-42.581721758293554,-19.621039004380744],[-42.581721758293554,-19.620147187487987],[-42.58261803646294,-19.620147187761923],[-42.58261803646294,-19.621038995630798]]]}"
